,datetime,Unnamed: 0.1,Unnamed: 0,temp,ws,wdir,katabaticity,ws_model,wdir_model,temp_model,dewpoint_temp,pressure,lapse_rate
1436,2022-09-03 20:00:00,1436.0,1436.0,4.7,2.45,137.4779566,0.8786334703804182,0.17943784428965306,317.7422428400542,15.507480097686605,281.42243908837355,86152.62845176397,-0.005108291266530878
1437,2022-09-03 21:00:00,1437.0,1437.0,5.1,4.0,169.4773417,0.9981588627457668,0.22328987824059454,315.29262203288005,14.9548911960618,281.27400579422687,86179.59685435791,-0.005124104986663867
1438,2022-09-03 22:00:00,1438.0,1438.0,4.25,2.45,304.5767292,-0.7498424145795193,0.07775435696307277,308.757516204494,14.551396421070516,281.1870403652143,86213.78502101138,-0.005266259833946315
1439,2022-09-03 23:00:00,1439.0,1439.0,3.65,2.65,153.9795177,0.9780732132202636,0.048942401871774746,354.01728326964997,13.977845824874272,281.05617906732044,86238.18635418813,-0.005388142175398135
1440,2022-09-04 00:00:00,1440.0,1440.0,4.75,2.9,150.2987327,0.9626857608994364,0.07694487848059174,50.246263197712224,13.288067318534905,280.8812890281157,86281.95249711744,-0.00528705970485101
1441,2022-09-04 01:00:00,1441.0,1441.0,4.0,2.9,155.1285092,0.982052681131719,0.09201536857719338,88.40862099103853,12.701174382172939,280.652167111794,86257.00912113454,-0.005316773229026786
1442,2022-09-04 02:00:00,1442.0,1442.0,3.65,1.75,41.59938537,-0.5649758546466377,0.10369426851157135,96.03563283304216,12.2881071506164,280.4016815341784,86282.88146072708,-0.005404007373229733
1443,2022-09-04 03:00:00,1443.0,1443.0,4.35,2.9,142.0261667,0.9137311169863104,0.07842647215502736,139.40100954905455,12.025750781005275,280.1740162936852,86291.42603402743,-0.005520067807121279
1444,2022-09-04 04:00:00,1444.0,1444.0,4.0,3.1,158.6114292,0.991696834434282,0.04408187202024853,200.88742165753493,11.539957249485141,279.92216973417885,86280.32712557526,-0.005501957408269406
1445,2022-09-04 05:00:00,1445.0,1445.0,4.0,3.6,162.6380262,0.9982789686672574,0.00970266915271575,226.88086005054603,10.967187067842003,279.6125308103299,86269.2413973695,-0.0054185740407821795
1446,2022-09-04 06:00:00,1446.0,1446.0,3.95,2.9,158.1119104,0.9905380132175676,0.04078768386180199,152.352834583671,10.73213962175167,279.3794831259394,86307.62040568056,-0.005565326883639537
1447,2022-09-04 07:00:00,1447.0,1447.0,3.7,3.8,137.0575922,0.8751065830003012,0.12650898788220272,148.20139495419247,11.151221550528447,279.8935446682189,86354.44021848736,-0.005632464814553076
1448,2022-09-04 08:00:00,1448.0,1448.0,3.65,1.35,15.64813341,-0.8690796688467137,0.04044335048096323,114.10911008096213,13.560856905160257,281.9744936769205,86464.6884206569,-0.005157506474590607
1449,2022-09-04 09:00:00,1449.0,1449.0,4.75,1.1,139.4734675,0.8947276406004212,0.16050788933434879,66.2690949814426,16.14488891161725,281.6334269716646,86504.74158340877,-0.004853052881781918
1450,2022-09-04 10:00:00,1450.0,1450.0,5.4,0.65,108.4376367,0.5363813051227944,0.2985144875361454,58.05810597096466,17.72657003314762,281.48652562920097,86509.03526432595,-0.004851380797848822
1451,2022-09-04 11:00:00,1451.0,1451.0,6.8,0.65,117.1425417,0.6579345798823903,0.15127870212901767,84.62112010633902,18.84672656931702,281.3447859505732,86538.1511903142,-0.0047668535320038695
1452,2022-09-04 12:00:00,1452.0,1452.0,7.15,1.55,11.94500649,-0.899214388664507,0.14241333091354938,209.810948336912,19.779179742470472,281.1713164040485,86534.6814554095,-0.004770798994262665
1453,2022-09-04 13:00:00,1453.0,1453.0,7.35,3.55,162.5403113,0.9981775029884524,0.25860619902938864,250.9657180042174,20.448032547537352,281.07132392106826,86522.92711329274,-0.004846996891038642
1454,2022-09-04 14:00:00,1454.0,1454.0,7.65,3.55,159.924876,0.9943839868848918,0.2680310562339611,269.858366905848,20.84182376921186,281.17753833665216,86526.30969695986,-0.00489583001100166
1455,2022-09-04 15:00:00,1455.0,1455.0,7.4,0.9,14.44698425,-0.8792582510978177,0.24780756842691906,300.4278744309911,21.08945147746147,281.23744990497096,86523.38886023214,-0.004992698390850999
1456,2022-09-04 16:00:00,1456.0,1456.0,7.85,1.1,10.32698064,-0.911209393067868,0.20972687676907478,342.2180225048789,20.974391617122567,281.40728579583185,86530.84877394146,-0.0050554988141493975
1457,2022-09-04 17:00:00,1457.0,1457.0,7.45,1.75,157.2548874,0.988374483182654,0.28685709407350196,37.161931814954904,20.56752394646417,281.71383207691565,86519.16129754117,-0.005167082848300722
