,datetime,Unnamed: 0.1,Unnamed: 0,temp,ws,wdir,katabaticity,ws_model,wdir_model,temp_model,dewpoint_temp,pressure,lapse_rate
3097,2017-06-08 06:00:00,9521.0,9521.0,-2.05,1.29,17.38,0.802609304541895,0.5366102808743214,207.61041162791207,7.746029040587397,280.2073253630846,68211.75139656677,-0.005149206017964479
3098,2017-06-08 07:00:00,9522.0,9522.0,-0.36,1.25,13.04,0.7551674118731591,0.94829132994735,209.8970309960659,8.867264139908334,280.2131184839976,68214.31175582841,-0.00519203525479366
3099,2017-06-08 08:00:00,9523.0,9523.0,-1.13,0.8,13.17,0.7566528216719455,1.2770045284191403,210.4176433861982,10.040460260539867,280.0459418342264,68240.28380840612,-0.005035196772261252
3100,2017-06-08 09:00:00,9524.0,9524.0,0.51,1.02,331.99,0.1390002644584463,1.5830339320505513,210.7429484650325,11.129166589366958,280.0594665341812,68266.96397700535,-0.004889624887825149
3101,2017-06-08 10:00:00,9525.0,9525.0,2.31,0.96,265.07,-0.8565374234312819,1.8585835960109605,211.69992911056642,11.9990751979951,280.11800311534273,68268.21985545578,-0.004736325046257273
3102,2017-06-08 11:00:00,9526.0,9526.0,1.43,1.86,253.8,-0.9408807689542256,2.1580318317216154,215.6338986165659,12.887565880628557,280.3554585114396,68245.42517849707,-0.0047230806175528875
3103,2017-06-08 12:00:00,9527.0,9527.0,1.51,2.24,237.79,-0.9978130200723072,2.32398964948218,213.98596080475718,12.985671239717815,280.8262168739144,68206.55501231863,-0.0042011915709349425
3104,2017-06-08 13:00:00,9528.0,9528.0,0.62,2.8,214.22,-0.9409989534702832,2.2447339615468103,216.32220963666865,12.724172216292441,280.6311111303566,68169.17158281655,-0.003996087411227064
3105,2017-06-08 14:00:00,9529.0,9529.0,0.32,2.42,220.3,-0.971549119997646,2.1846839277995325,217.1077249925063,12.662560028373163,280.6278801597274,68143.85370737533,-0.0041273726389485475
3106,2017-06-08 15:00:00,9530.0,9530.0,0.79,2.04,238.27,-0.997224255600904,2.0194263789135696,217.33908901451275,12.226731248781736,280.42061859148845,68089.17078471277,-0.004117351738722148
3107,2017-06-08 16:00:00,9531.0,9531.0,1.26,1.37,276.58,-0.7363333165553094,1.7090540080027554,217.22003999553047,11.543055518189995,280.2152525975675,68060.79983544578,-0.004187322852825987
3108,2017-06-08 17:00:00,9532.0,9532.0,0.82,1.31,331.23,0.1258526864030212,1.3975250936816068,215.29687457243153,10.8341844714931,280.2703781358356,68071.03204074947,-0.00432605634623649
3109,2017-06-08 18:00:00,9533.0,9533.0,-0.17,0.81,296.79,-0.4572531525372573,0.987436344679553,209.66676038576287,9.90654096425482,280.22305550658507,68110.6203443691,-0.004550007820252042
3110,2017-06-08 19:00:00,9534.0,9534.0,-0.61,0.62,148.08,-0.071149267468767,0.6586703964959508,205.27074218086247,9.049390822101584,280.29920327455386,68168.38468710167,-0.004771080720811296
3111,2017-06-08 20:00:00,9535.0,9535.0,-0.49,0.68,196.49,-0.7932470792953589,0.4189678283927993,205.07750237343188,8.253562450422983,280.2248822981481,68195.05914594168,-0.00493068567953701
3112,2017-06-08 21:00:00,9536.0,9536.0,-0.44,0.45,186.42,-0.6745601160390953,0.3676737998171582,199.26902100421088,7.6216552455952,279.9889490115969,68225.96737748833,-0.005114501245643482
3113,2017-06-08 22:00:00,9537.0,9537.0,-0.57,0.89,215.63,-0.9490411550163388,0.4072157561725464,197.3040263466546,7.147377865195755,279.74856913196857,68242.7207842531,-0.0052782618137107015
3114,2017-06-08 23:00:00,9538.0,9538.0,-0.89,1.01,215.37,-0.9476012733953602,0.3309560327204772,207.1578132853325,6.695605739115416,279.5053691965012,68241.28932128244,-0.00537148734612469
3115,2017-06-09 00:00:00,9539.0,9539.0,-1.28,0.75,299.27,-0.418342710268401,0.10937856727400339,247.0865861983973,6.122709546383474,279.0678856576794,68218.32414352083,-0.0054197679188192245
3116,2017-06-09 01:00:00,9540.0,9540.0,-1.63,0.86,304.08,-0.3407077519439523,0.08216883365104376,252.24692018253708,6.008799305279535,278.8930061826618,68184.821213412,-0.00543529926411928
3117,2017-06-09 02:00:00,9541.0,9541.0,-1.83,1.02,323.8,-0.0034906514152236,0.03533963156702582,242.69438924166022,5.989596885890529,278.79888370541624,68150.19165936347,-0.005470606262364549
3118,2017-06-09 03:00:00,9542.0,9542.0,-2.0,0.68,205.21,-0.8763907485744893,0.052658908566214094,302.90954923300364,5.783583380339444,278.4965221512014,68118.08194330387,-0.005514619929896918
3119,2017-06-09 04:00:00,9543.0,9543.0,-2.42,0.6,146.3,-0.0401317925325598,0.07178533686846843,358.3586032729814,5.5499548433920385,278.26323121948633,68115.66811645056,-0.00552461975239024
3120,2017-06-09 05:00:00,9544.0,9544.0,-2.97,1.32,58.06,0.9974904544890436,0.1668956806569245,22.43909983894374,5.397260669038413,278.1741632647459,68144.74592796997,-0.005507831997652938
3121,2017-06-09 06:00:00,9545.0,9545.0,-2.72,2.28,38.0,0.9612616959383188,0.020435300573421595,260.5935872331207,6.4910162064740735,279.0982128417875,68160.90134156214,-0.005536541551968492
3122,2017-06-09 07:00:00,9546.0,9546.0,-0.71,1.9,19.37,0.8228389334246344,0.4653086255176407,205.49442308215714,8.390125856284435,279.23626990100433,68179.09041065047,-0.00541334245453837
3123,2017-06-09 08:00:00,9547.0,9547.0,1.55,1.23,16.4,0.7922896433551907,1.0276094767212192,202.9858392127064,10.146734946502773,279.39812606090356,68190.57522461517,-0.0051983186931537275
3124,2017-06-09 09:00:00,9548.0,9548.0,2.36,0.65,282.6,-0.6613118653236516,1.4586047554161945,203.76576370655025,11.528589124963739,279.4961198518363,68207.93686246696,-0.004979142577005096
3125,2017-06-09 10:00:00,9549.0,9549.0,2.64,1.06,261.89,-0.8838472857870295,1.906875174440982,206.88369317826908,12.539550063583208,279.75990897741826,68188.49350914406,-0.004932157071008863
3126,2017-06-09 11:00:00,9550.0,9550.0,1.31,2.3,238.68,-0.99666592803403,2.325145661640839,211.20290962679493,13.307076812701258,279.91201482257776,68161.17584514128,-0.004833672727029888
3127,2017-06-09 12:00:00,9551.0,9551.0,1.38,2.32,236.22,-0.9992494556590916,2.350048114002256,213.19114326549692,13.402355766203868,280.0826121954015,68113.71789474659,-0.004518074767697748
3128,2017-06-09 13:00:00,9552.0,9552.0,0.1,3.49,231.17,-0.998780422748766,2.3226382561960928,216.26627126572558,13.30619267359031,280.3014326820892,68095.99345965513,-0.004382734969455966
3129,2017-06-09 14:00:00,9553.0,9553.0,0.46,2.08,248.29,-0.9690588261079088,2.0598799281910964,217.26245307139058,12.7752474835453,280.393134409158,68044.42020080535,-0.004135863271804514
3130,2017-06-09 15:00:00,9554.0,9554.0,1.14,1.29,240.11,-0.994319382409452,2.124437662800177,216.60662821607875,12.534976503784387,280.53961081690943,68007.16541325512,-0.004346716747973461
3131,2017-06-09 16:00:00,9555.0,9555.0,0.36,1.24,264.61,-0.8606531694072052,1.840593402070634,219.51924254681182,11.942904157042314,280.4411035927122,67995.36084143342,-0.0044989322765723525
3132,2017-06-09 17:00:00,9556.0,9556.0,0.15,2.64,232.39,-0.9996052265701636,1.5197980773035946,216.4439807072879,11.156861673853466,280.3456066956779,67979.23281066147,-0.004655292647447263
3133,2017-06-09 18:00:00,9557.0,9557.0,-0.33,2.31,254.58,-0.9361822946126775,1.1398966540141748,208.04334916139243,10.19557345238177,280.4515883235332,68017.16652453307,-0.004777260904000099
3134,2017-06-09 19:00:00,9558.0,9558.0,-0.69,1.59,311.16,-0.222229226251396,0.914952649042929,195.9363986637875,9.402339307231712,280.54714924763147,68084.56897369586,-0.00490849243560303
3135,2017-06-09 20:00:00,9559.0,9559.0,-0.92,0.55,320.88,-0.0544273647350094,0.797768742650428,189.76130709014777,8.695447167952798,280.4661439418702,68144.72311023,-0.005115088687402153
3136,2017-06-09 21:00:00,9560.0,9560.0,-0.97,0.94,54.45,0.9999691576447896,0.6981322822340169,189.12471127496107,7.931052090311531,280.2919099558241,68209.18443567373,-0.005284909727674969
3137,2017-06-09 22:00:00,9561.0,9561.0,-0.84,0.82,201.53,-0.8436726596068168,0.6729038361621051,190.94218881095387,7.515325250549633,280.1454886849991,68239.92971201468,-0.00531516872774036
3138,2017-06-09 23:00:00,9562.0,9562.0,-1.17,,,,0.4900983036857564,190.22927605403274,7.052915192166305,279.8725815187416,68245.67587838921,-0.0053058160685557154
3139,2017-06-10 00:00:00,9563.0,9563.0,-1.6,,,,0.2668286053852312,186.90116887526383,6.739284188451247,279.7972534844027,68179.96650384885,-0.005226524730824666
3140,2017-06-10 01:00:00,9564.0,9564.0,-1.85,,,,0.19554719375051616,173.81401751808602,6.565253982720059,279.5655099764413,68146.36666809671,-0.005209790264592129
3141,2017-06-10 02:00:00,9565.0,9565.0,-1.91,,,,0.2786379361465128,168.97461158130162,6.396436597506316,279.3170235220326,68109.12520331815,-0.005289918935147826
3142,2017-06-10 03:00:00,9566.0,9566.0,-2.31,,,,0.2549954855559038,162.18356544058108,6.1892125188175395,279.12774380259174,68095.6367133875,-0.005311106543190833
3143,2017-06-10 04:00:00,9567.0,9567.0,-2.55,,,,0.2297752411022176,148.47842436122437,6.032965123122147,278.91770646521184,68069.81407046733,-0.005312480119573761
3144,2017-06-10 05:00:00,9568.0,9568.0,-2.47,,,,0.21133971089853226,136.38203401003778,5.833363451221427,278.71529924834505,68096.7629550525,-0.005359262404731611
3145,2017-06-10 06:00:00,9569.0,9569.0,-2.42,1.21,339.68,0.2702643866836275,0.4271612362988254,177.24214475588917,7.040693868367891,279.1268911029155,68147.25502442275,-0.00538526068846657
3146,2017-06-10 07:00:00,9570.0,9570.0,-1.86,2.12,28.34,0.9013795528647912,0.9025200694885678,186.8108127048681,8.549801314735136,279.03045728092115,68160.62924593066,-0.0053432298972422585
3147,2017-06-10 08:00:00,9571.0,9571.0,-0.41,1.07,25.27,0.8768945990445054,1.5720232244648733,191.1592874726054,10.086319588349513,279.0456680336756,68170.81103096202,-0.005186766273840764
3148,2017-06-10 09:00:00,9572.0,9572.0,2.14,0.76,176.22,-0.5331716207371886,2.032505456770313,197.04031924212737,11.387891718366157,279.28942134039505,68188.69728883737,-0.0049586584508883565
3149,2017-06-10 10:00:00,9573.0,9573.0,3.12,0.96,270.49,-0.803960664534197,2.323380522191904,203.17953716054345,12.258853677129036,279.5267932994341,68183.35299553227,-0.0048376427912045295
3150,2017-06-10 11:00:00,9574.0,9574.0,2.55,1.69,243.87,-0.9851992129804024,2.565705108465224,207.4009938005548,12.802959383412695,279.898482296621,68159.05275789376,-0.004721883314506696
3151,2017-06-10 12:00:00,9575.0,9575.0,2.29,2.1,238.31,-0.9971720320806634,2.70594016622109,212.0173734286694,13.4762465510477,280.1732299547335,68109.90054085372,-0.004617335716239335
3152,2017-06-10 13:00:00,9576.0,9576.0,1.81,2.69,244.66,-0.9827421768262964,2.613228768588822,213.23176168393894,13.244906803430661,280.4125422787263,68066.03189519401,-0.004424784554072152
3153,2017-06-10 14:00:00,9577.0,9577.0,1.68,2.1,237.51,-0.9981241282392748,2.520489169235138,216.32420237193205,12.960176264914612,280.5844677694876,68024.51301986304,-0.004378077920530755
3154,2017-06-10 15:00:00,9578.0,9578.0,1.74,3.05,227.85,-0.9942448326331054,2.2162604067939644,218.04291630756592,12.703509892688892,280.63069910774027,67999.5728744301,-0.004528565344870943
3155,2017-06-10 16:00:00,9579.0,9579.0,1.67,1.25,263.85,-0.867331431407573,1.9514776794654751,218.15895216241316,12.047677347038931,280.36209313945733,67961.1275786307,-0.004567875560250801
3156,2017-06-10 17:00:00,9580.0,9580.0,0.71,1.56,229.33,-0.9966801531019732,1.4935986961680034,216.49252291208958,11.253940130184994,280.09833031441366,67921.05772746498,-0.004572829500589033
3157,2017-06-10 18:00:00,9581.0,9581.0,-0.91,0.94,330.86,0.1194437342427283,1.1590553973180533,207.3926462633121,10.29247706000201,280.0728535369558,67943.5384674079,-0.0047474215330486165
3158,2017-06-10 19:00:00,9582.0,9582.0,-1.35,0.71,359.57,0.5816971518176628,0.9912319796535112,193.01013763209622,9.285519074908994,280.1717065709788,68025.62783649372,-0.004970318362081455
3159,2017-06-10 20:00:00,9583.0,9583.0,-1.58,0.5,20.63,0.8351359798525971,0.8382665151408172,185.687128396506,8.319044725338244,280.15795892452525,68104.10838307768,-0.0052249558003259235
3160,2017-06-10 21:00:00,9584.0,9584.0,-2.11,1.04,24.71,0.8721546725001574,0.7320580040221025,188.73597985663685,7.811778495033617,279.9397450308121,68161.1971609017,-0.005362220578239117
3161,2017-06-10 22:00:00,9585.0,9585.0,-2.47,1.0,44.76,0.987024406397454,0.6056615047454632,191.27412153562946,7.272951896691507,279.7367580152726,68183.46374197153,-0.005484956296551907
3162,2017-06-10 23:00:00,9586.0,9586.0,-2.29,0.98,30.05,0.913900054425756,0.4384542176791655,198.66440368254072,6.831507575888157,279.49340451097095,68178.12414444015,-0.00553875981556917
3163,2017-06-11 00:00:00,9587.0,9587.0,-2.43,0.39,327.34,0.0582609869453574,0.23034360845069776,196.91662965568796,6.297104694903098,279.2425364136537,68149.35952515206,-0.005490436286383519
3164,2017-06-11 01:00:00,9588.0,9588.0,-2.93,0.6,66.87,0.9748779540551212,0.05980835114084489,227.84631906828056,5.786420789979283,278.84336475851893,68100.10496344267,-0.0054543399356248865
3165,2017-06-11 02:00:00,9589.0,9589.0,-3.74,1.26,42.76,0.9808193151494232,0.11365908321468017,55.67629610911054,5.447217283523432,278.4931928037268,68110.70613232994,-0.005474935938729677
3166,2017-06-11 03:00:00,9590.0,9590.0,-3.95,2.23,39.57,0.9684528146428742,0.24393956159060554,51.067863826949484,5.101422453883788,278.18151258284246,68054.11579798129,-0.005677962056877332
3167,2017-06-11 04:00:00,9591.0,9591.0,-3.99,1.83,39.1,0.9663760793213292,0.32223236134031036,47.106059704835786,4.9327397918054885,277.8206663016131,68051.12627874344,-0.005797122159538742
3168,2017-06-11 05:00:00,9592.0,9592.0,-3.77,2.92,45.01,0.9877156285164308,0.3119557919224294,43.393015480279594,4.862799051512476,277.5937021677813,68053.88462305733,-0.005856952397463345
3169,2017-06-11 06:00:00,9593.0,9593.0,-1.38,3.37,60.31,0.9939417880660764,0.24655173686993787,51.45914148316401,6.116877300346912,278.1351513949582,68085.365551303,-0.00578066592139423
3170,2017-06-11 07:00:00,9594.0,9594.0,0.36,1.32,52.92,0.999822352380809,0.26628658861965443,180.091219631298,8.194130575120479,277.75524288700456,68104.69349749961,-0.005625101434340422
3171,2017-06-11 08:00:00,9595.0,9595.0,1.82,0.77,35.44,0.9479908546311784,0.8181099014840403,195.5086800366428,9.852580778260114,277.8510722347187,68099.0970864386,-0.00531766569984579
3172,2017-06-11 09:00:00,9596.0,9596.0,2.72,0.94,329.67,0.0987987262748248,1.3860508745460276,198.40198375183104,11.354794988301945,278.0322444912033,68107.78585307789,-0.005021894904213056
3173,2017-06-11 10:00:00,9597.0,9597.0,3.13,1.34,320.47,-0.0615711533009108,1.8302631479495388,204.33299862823208,12.660286006686523,278.2627626379045,68101.01292900577,-0.004812215170640952
3174,2017-06-11 11:00:00,9598.0,9598.0,2.9,1.08,276.57,-0.7364513976299026,2.1154371174511906,209.9994999877625,13.396272383826295,278.3455610066918,68084.17579917637,-0.004615615970505293
3175,2017-06-11 12:00:00,9599.0,9599.0,2.29,2.27,212.45,-0.930097381089946,2.234448017085327,215.35433137901418,14.057602008339817,278.7562439856614,68062.12667649305,-0.00444921388703784
3176,2017-06-11 13:00:00,9600.0,9600.0,1.23,3.37,208.83,-0.9050498659398376,2.3691877349692323,218.79318003142686,14.214045330760642,279.05937757714656,68008.92018134691,-0.004391296111747759
3177,2017-06-11 14:00:00,9601.0,9601.0,0.33,2.99,215.25,-0.9469301294951056,2.321785293348082,221.11817106613685,13.86754300306363,279.15158664234315,67987.7703511106,-0.004305213958232959
3178,2017-06-11 15:00:00,9602.0,9602.0,1.63,2.09,239.76,-0.9949510169813002,2.0427210091767156,221.06794956460584,13.45310840139918,279.4635632835341,67927.12165957793,-0.004387366439503352
3179,2017-06-11 16:00:00,9603.0,9603.0,0.95,2.14,239.97,-0.9945764900142456,1.8501421515184904,217.6009546377812,12.955852634542447,279.62246851213195,67902.74571101568,-0.004561570115674376
3180,2017-06-11 17:00:00,9604.0,9604.0,0.32,0.99,285.43,-0.6234703080455554,1.6661012124939172,211.42655627326252,11.98927424633066,279.7136394332406,67885.27131683304,-0.004715577376201856
3181,2017-06-11 18:00:00,9605.0,9605.0,-0.24,0.81,346.47,0.3821996377377535,1.3093579856477897,205.2742979201071,10.83904723274294,279.96501591486634,67941.90401671904,-0.004884432722805992
3182,2017-06-11 19:00:00,9606.0,9606.0,-0.8,0.73,337.63,0.2356509984363966,1.0118384791276807,197.55659265399234,9.921346778435192,280.279014169948,68014.41703428376,-0.005105906459159518
3183,2017-06-11 20:00:00,9607.0,9607.0,-0.85,0.98,100.35,0.6902512402344373,0.76457359483333,195.19472502001722,9.070323974857219,280.4140509195998,68064.26113943917,-0.005299291690054589
3184,2017-06-11 21:00:00,9608.0,9608.0,-0.95,2.08,326.71,0.047280789163114,0.6789008448852868,192.40641639170195,8.416469881275221,280.3451703691232,68084.83171838232,-0.00538687710644312
