datetime,Unnamed: 0.1,Unnamed: 0_x,temp,ws,wdir,katabaticity,Unnamed: 0_y,ws_model,wdir_model,temp_model,dewpoint_temp,pressure,lapse_rate,temp_era5_uncorrected,u_x,u_y,D_x,D_y,along_valley_component_of_wind,along_valley%
0,1248.0,1248.0,-19.425172413793106,2.7661206896551724,122.86327586206896,-0.2441824258240989,703.0,0.5095808859631232,250.7344002622155,-8.151706581595095,269.5931204434099,50663.861462823275,-0.004362067224664602,-2.750200521534864,-1.2660964039240425,2.2253471449994495,-1.0,-6.123233995736766e-17,1.5298664880748847,0.43237443919851537
1,1249.0,1249.0,-19.62913793103448,2.8822241379310345,111.69137931034483,-0.17744519855006347,704.0,0.49455526717392095,260.7165727909046,-8.462783131925933,269.3207515848094,50635.671403556036,-0.0044029587566629235,-3.0106414794921648,-1.298581337837248,2.2336806814820895,-1.0,-6.123233995736766e-17,1.602504629671497,0.4772871764681318
2,1250.0,1250.0,-19.809827586206897,2.847844827586207,136.90189655172415,-0.3654950825289534,705.0,0.47277039064882403,272.36208627508915,-8.73942312941814,269.0713345757846,50616.9126481681,-0.004437360946069727,-3.2446815753805,-1.0768309935953357,2.346769218031587,-1.0,-6.123233995736766e-17,1.2010807236255665,0.33808963288803084
3,1251.0,1251.0,-20.021724137931034,2.704637931034483,135.26913793103446,-0.29956193852007346,706.0,0.4616255290410043,278.1690576149227,-8.985922600816304,268.8387995752795,50599.53744612069,-0.004469043951794906,-3.4519482842806886,-0.9624513279206264,2.2697411171662445,-1.0,-6.123233995736766e-17,1.1164435403879263,0.41457599880486745
4,1252.0,1252.0,-20.156206896551723,2.655586206896552,133.4201724137931,-0.22130824383147346,707.0,0.4631961608160228,287.96859415978014,-9.208829572160834,268.6409641134328,50597.14480064655,-0.004492347008798757,-3.645999303357332,-1.0956577830278686,2.07164275815198,-1.0,-6.123233995736766e-17,1.2969010492982933,0.3506094180483483
5,1241.0,1241.0,-20.319322033898302,2.7877457627118645,128.04237288135593,-0.22003045104292843,696.0,0.4508568310739482,291.83216852368463,-9.261970423378767,268.4995882713188,50614.92306673729,-0.004499153081791656,-3.690712259583531,-1.1493392070815818,2.215400279820466,-1.0,-6.123233995736766e-17,1.3562202643562664,0.40515755437357437
6,1242.0,1242.0,-20.14864406779661,2.760033898305085,120.99135593220339,-0.1892559012293456,697.0,0.4491840313595787,268.50375992068166,-8.211968689682257,269.04158795890163,50648.50595868644,-0.004406212066356932,-2.7557984950178533,-0.9794768694719681,2.3015972893735235,-1.0,-6.123233995736766e-17,1.2039403187259607,0.3923549723232975
7,1243.0,1243.0,-19.248305084745763,2.5525084745762716,126.43830508474576,-0.30779418677966264,698.0,0.5064882076460439,212.95064762289525,-6.950106598478294,269.4769610388804,50677.75880561441,-0.004333501749961164,-1.583972892114649,-0.8954351330077901,2.203307762638226,-1.0,-6.123233995736766e-17,1.1240568690948853,0.3405321248565628
8,1244.0,1244.0,-18.022542372881354,2.6504576271186444,124.30779661016949,-0.2702161702534885,699.0,0.6862057781486512,187.4699021879876,-5.954540160806425,269.51579569153864,50694.47470868644,-0.004218294840439969,-0.7310660669358883,-0.8390566428218658,2.2802517242586764,-1.0,-6.123233995736766e-17,0.9900868385298014,0.3455223929863124
9,1245.0,1245.0,-16.503220338983052,2.7050508474576267,157.11054237288133,-0.3599362116518399,700.0,0.8552748318598176,187.18352697513438,-5.291927018006309,269.9833216263076,50713.80746822034,-0.004117338797984497,-0.19346582445045402,-0.6579669864445831,2.371310476829602,-1.0,-6.123233995736766e-17,0.7324538150986866,0.11696196482985144
10,1246.0,1246.0,-15.502576271186442,2.847559322033898,134.93542372881356,-0.35472346323762455,701.0,1.0114862644877884,192.78178757708645,-4.867676648408753,270.40054347151414,50717.75953389831,-0.0040257326275452004,0.11734950178762862,-0.6035631753587122,2.5653103205587837,-1.0,-6.123233995736766e-17,0.7576644116205108,0.24844946254487565
11,1247.0,1247.0,-14.911152542372882,3.1779152542372877,142.5684745762712,-0.4756247335447085,702.0,1.1377637830289882,197.41948362447908,-4.520466056188339,270.801293324616,50715.08600370763,-0.003927443682521302,0.3428498348947526,-0.7303620294769398,2.8287641058769624,-1.0,-6.123233995736766e-17,0.8286799949834507,0.21332798792590055
12,1248.0,1248.0,-14.158237288135593,3.5293389830508475,156.99881355932203,-0.6127423557962477,703.0,1.2112771566378466,199.53027891141258,-4.095359046049172,271.03789921130164,50704.94968220339,-0.003732052852997061,0.5260062524828087,-0.8122838553634348,3.20453944296958,-1.0,-6.123233995736766e-17,0.9216297589700507,0.05513759626521613
13,1249.0,1249.0,-13.249118644067796,3.951203389830509,188.15254237288136,-0.767981096450795,704.0,1.2320859450935278,201.40599095254495,-3.90790168062679,271.3119843046544,50680.772378177964,-0.003652722678900905,0.6152298232256583,-0.8464068268406238,3.5899439464863754,-1.0,-6.123233995736766e-17,0.8761053119929262,-0.1299166349389536
14,1250.0,1250.0,-13.044322033898306,4.273,181.75084745762712,-0.7886342435624302,705.0,1.218195518308631,202.250013999206,-3.9200565452033294,271.5629660396253,50654.823358050846,-0.003618029364605859,0.5601145598848215,-1.1296057313064194,3.8934383034439013,-1.0,-6.123233995736766e-17,1.169241020124188,-0.07025567790694962
15,1251.0,1251.0,-13.482677966101694,4.289779661016949,183.9271186440678,-0.804149593992442,706.0,1.1476572251686024,200.6893447715093,-4.131192428342654,271.66324188749667,50633.890956038136,-0.003655187874298678,0.39499170335674944,-1.3147025191075665,3.8864035736224603,-1.0,-6.123233995736766e-17,1.3373698039197657,-0.013296439353116897
16,1252.0,1252.0,-14.054728813559322,4.574067796610169,165.05525423728815,-0.7146649063948386,707.0,1.003981814180991,206.1285535858017,-4.5366973459465125,271.68658033467955,50613.953125,-0.0037323033253519934,0.08497811010330664,-1.4881183543965584,4.153896649178808,-1.0,-6.123233995736766e-17,1.5678389805249449,0.09416114011130139
17,1253.0,1253.0,-14.879474576271187,4.303627118644068,156.30322033898304,-0.6084144700002851,708.0,0.8896079535685323,216.6497386383624,-5.00993636282365,271.52352232852223,50617.66532044492,-0.0038134595616776696,-0.28776591672733426,-1.4316438837622916,3.8745602621993203,-1.0,-6.123233995736766e-17,1.6243651758072153,0.10388265210281483
18,1254.0,1254.0,-15.891101694915253,3.839457627118644,158.96745762711865,-0.6281483165856098,709.0,0.7441836284924874,222.73847391989327,-5.706851447719434,271.19460050938494,50643.482786016946,-0.003918177028430584,-0.855010365631598,-1.4932736534138296,3.39753723767367,-1.0,-6.123233995736766e-17,1.6018753736621079,0.17124234070062547
19,1255.0,1255.0,-17.78791525423729,3.091559322033898,119.42491525423728,-0.16879915907599066,710.0,0.6577146677948582,227.38993387241092,-6.39555059877551,270.7825307037871,50678.52846927966,-0.0040244841082853425,-1.412070478019045,-1.4890918565465914,2.6067363801369776,-1.0,-6.123233995736766e-17,2.142839500884119,0.35266806703090975
20,1244.0,1244.0,-18.792275862068966,3.1302241379310343,119.331,-0.24291164794521272,699.0,0.5975073312192064,234.78039976671764,-6.899487729768473,270.500195207267,50709.45642510776,-0.0041277734082882,-1.7881054582266744,-1.4956331283409465,2.4672255313363336,-1.0,-6.123233995736766e-17,1.8857982922559757,0.35563268343564897
21,1245.0,1245.0,-18.964258620689655,2.7668620689655175,122.55120689655173,-0.19840037999358487,700.0,0.5725383776598151,237.2281803589428,-7.300400820293922,270.2435636849239,50725.055899784486,-0.004212084543113048,-2.084616878114875,-1.320640813208515,2.1871176462906297,-1.0,-6.123233995736766e-17,1.6651558079585624,0.39398882522156536
22,1246.0,1246.0,-19.114310344827587,2.514103448275862,133.53362068965518,-0.18665881620113342,701.0,0.574090548655692,238.0389791738696,-7.616972579286654,270.020042156351,50718.28185614224,-0.004275931502194376,-2.322127559267219,-1.2724239727558144,1.9306677930272604,-1.0,-6.123233995736766e-17,1.570225328081643,0.259283301060927
23,1247.0,1247.0,-19.262931034482758,2.713,127.17172413793104,-0.18566191104439872,702.0,0.5586369885801921,242.58458080578384,-7.8924097005222125,269.8292833525559,50696.744881465514,-0.004319743541799292,-2.5433126515355378,-1.3693028920458123,2.0731228306510796,-1.0,-6.123233995736766e-17,1.72651234214472,0.3506442451228532
