datetime,Unnamed: 0_x,temp,ws,wdir,Unnamed: 0_y,ws_model,wdir_model,temp_model,dewpoint_temp,pressure,lapse_rate,temp_era5_uncorrected,u_x,u_y,D_x,D_y,along_valley_component_of_wind,along_valley%
0,444.63157894736844,6.026315789473684,3.4026315789473687,135.33773481,2146.6315789473683,0.5094252134546212,217.86070800479732,6.415185939868117,275.121472408897,74985.74917763157,-0.00428055508194551,6.576152921977819,-2.561297616404796,1.4723485357251314,-0.39073112848927377,0.9205048534524404,2.35608268116331,0.645806409208527
1,445.63157894736844,5.868421052631579,3.138157894736842,137.86462004210526,2147.6315789473683,0.5286721754912161,189.18013870711175,5.8912577545748945,275.1545285676655,74973.24619654605,-0.004239005902816032,6.050662311754752,-2.4962078181089766,1.331892680106028,-0.39073112848927377,0.9205048534524404,2.201359774028846,0.6395174751233711
2,446.63157894736844,5.8052631578947365,3.3328947368421056,130.356140911,2148.6315789473683,0.5405255378516755,191.1167576450238,5.348836133200039,275.1174830386513,74955.05674342105,-0.004237440989145971,5.508181843004752,-2.535444419359821,1.2673633309267462,-0.39073112848927377,0.9205048534524404,2.1572911564040154,0.5451131049528346
3,447.63157894736844,5.5552631578947365,3.4236842105263157,131.69558098157896,2149.6315789473683,0.5602674131094215,187.05889354944506,4.785958243847875,275.15231965717516,74922.87654194079,-0.004248739461400121,4.94572882401318,-2.6666851743089084,1.5086017826303415,-0.39073112848927377,0.9205048534524404,2.430632170321568,0.663380569298894
4,448.63157894736844,5.522368421052631,3.3934210526315787,125.02889760831579,2150.6315789473683,0.5852094693524649,161.2703556875151,4.351250022771368,275.06817867881375,74901.60228207237,-0.004204023715300823,4.509339101691018,-2.666558841691268,1.601829346868979,-0.39073112848927377,0.9205048534524404,2.5163992335925274,0.706314691661723
5,449.63157894736844,5.342105263157895,3.3526315789473684,131.81924426473682,2151.6315789473683,0.600080023949893,174.93030499011468,3.9754646052966964,274.88837713944287,74881.64751233552,-0.004170899579376787,4.132308076557383,-2.6245394294305333,1.2203987869582646,-0.39073112848927377,0.9205048534524404,2.1488722595685403,0.5849569064425273
6,450.63157894736844,5.285526315789474,3.293421052631579,132.23907868763158,2152.6315789473683,0.6045792349964367,168.86936213919512,3.5787468804454234,274.7159905684622,74865.27641858552,-0.004154808824775166,3.7349852712531066,-2.609022647503652,1.3970963580976385,-0.39073112848927377,0.9205048534524404,2.3054603416827795,0.6858085319956856
7,451.63157894736844,5.214473684210526,3.4947368421052634,134.08983722105262,2153.6315789473683,0.6198197702544255,156.4483530201281,3.2649975503479474,274.5241446244089,74860.12428042763,-0.004142777560791258,3.4207835147255574,-2.676739115486333,1.1749843467495327,-0.39073112848927377,0.9205048534524404,2.1274640891789454,0.5994954458192805
8,452.63157894736844,5.507894736842106,3.4105263157894736,138.41145733863158,2154.6315789473683,0.6430883760920552,162.53594101810626,3.6114731744244573,274.72560762104234,74878.17619243421,-0.004165556312189008,3.7681157162315193,-2.48361312931973,1.4811100175844065,-0.39073112848927377,0.9205048534524404,2.33379392043335,0.6371727378472635
9,453.63157894736844,5.873684210526315,3.2986842105263157,130.84623934894736,2155.6315789473683,0.572477329017667,174.60565456583197,5.560628867030087,275.5736063907021,74917.82894736843,-0.004131162080224242,5.71597804019328,-2.677552185266911,1.196451900591689,-0.39073112848927377,0.9205048534524404,2.1475427683553074,0.5833470332449725
10,454.63157894736844,6.453947368421052,3.055263157894737,127.19342168378948,2156.6315789473683,0.7147789931071443,235.5192340537893,7.679699639331611,274.5880191200658,74941.82144325657,-0.00405545290550545,7.832201827199858,-2.277157332306847,1.0768969616370867,-0.39073112848927377,0.9205048534524404,1.8810451340550032,0.6340390409728135
11,455.63157894736844,6.873684210526315,2.580263157894737,146.80528878947368,2157.6315789473683,0.9839556795921807,265.7642852287043,9.26301788600471,273.4750952469675,74965.71875,-0.003998237866654849,9.413368546335343,-1.8029129299536464,0.9510200152964026,-0.39073112848927377,0.9205048534524404,1.579872743499444,0.5653218869641441
12,456.63157894736844,7.1157894736842096,2.5842105263157897,139.43204477921054,2158.6315789473683,1.1659547019674465,280.3097699028547,10.492388289974198,273.0006215948808,74981.53638980263,-0.003984252421493481,10.642213038394349,-1.9296280497042388,0.9013168969470451,-0.39073112848927377,0.9205048534524404,1.5836323235639418,0.5454788120746877
