datetime,Unnamed: 0.1,Unnamed: 0_x,temp,ws,wdir,katabaticity,Unnamed: 0_y,ws_model,wdir_model,temp_model,dewpoint_temp,pressure,lapse_rate,temp_era5_uncorrected,u_x,u_y,D_x,D_y,along_valley_component_of_wind,along_valley%
0,15917.478468899522,15917.478468899522,-14.539473684210526,2.7971985645933017,166.358509569378,-0.029737163372588235,5973.550724637681,0.5563920428520559,243.06848596417046,-8.776482953043399,269.29441405955146,50516.18113111413,-0.004422362506599641,-3.020692414362051,0.8415173163286506,0.6815569589180871,0.9743700647852351,0.22495105434386525,1.1332180716067461,0.15931607911743423
1,15918.478468899522,15918.478468899522,-14.7077990430622,2.8204401913875596,168.2771124401914,-0.03165150345013011,5974.550724637681,0.5339908746168852,248.68992314888794,-9.040904356745463,269.033611205465,50486.643332955915,-0.0044507086021225535,-3.2482208251952898,0.7936071870408268,0.7243378978678708,0.9743700647852351,0.22495105434386523,1.114913965562492,0.165356462118478
2,15919.478468899522,15919.478468899522,-14.875023923444976,2.83232057416268,172.45286842105264,-0.04182665827941826,5975.550724637681,0.49978930634316826,257.797528005166,-9.304662006968787,268.77928353277383,50467.23454483696,-0.0044808582727339325,-3.4727380946062385,0.9309790201421124,0.7142604343286266,0.9743700647852351,0.22495105434386525,1.2432783884295842,0.1758063059360403
3,15920.478468899522,15920.478468899522,-15.006698564593302,2.837366028708134,171.43825598086127,-0.04331345768170355,5976.550724637681,0.4852719376601991,261.9861339195133,-9.55579772388573,268.5281603532137,50447.95376660628,-0.004514592232300793,-3.6799684091466407,0.9431660061376788,0.6985919595231161,0.9743700647852351,0.22495105434386525,1.2565006678999158,0.17267957461535985
4,15921.478468899522,15921.478468899522,-15.092224880382776,2.8299856459330144,170.06953588516748,-0.0335227548351475,5977.550724637681,0.4724028855912661,265.67856846268734,-9.786754776315535,268.29853455916697,50446.98897003321,-0.0045462099110480615,-3.8697744397149343,0.9014113396932134,0.7362675059690021,0.9743700647852351,0.22495105434386525,1.2188931108111303,0.15822766390691695
5,15885.035799522673,15885.035799522673,-15.12622009569378,2.8905751789976137,174.63742959427208,-0.05769086392007025,5970.359712230216,0.46860330603015493,269.42306231105925,-9.904402491742507,268.11148901923383,50465.58653702038,-0.004569843331960625,-3.9566627996430754,0.9290251146132795,0.7463355507966569,0.974370064785235,0.22495105434386525,1.2455131674143107,0.1775721136765692
6,15886.035799522673,15886.035799522673,-14.829147971360383,2.957494033412888,173.71147016706445,-0.055176990467117916,5971.359712230216,0.5008561240939903,252.71496437271858,-9.007245366374915,268.5821527714352,50499.579520758394,-0.004489718384307332,-3.1637898470286046,0.9054203175315256,0.6943170979622423,0.9743700647852351,0.22495105434386528,1.208584336643617,0.1880786301290253
7,15887.035799522673,15887.035799522673,-14.344105011933175,3.0569546539379475,172.44142482100239,-0.029710115060870387,5972.359712230216,0.6049046871718193,215.1112435934345,-7.757486957757937,269.0185604690076,50530.46772894185,-0.004425885891009427,-1.9971106659593971,0.9143105532216683,0.5615229625086865,0.9743700647852352,0.22495105434386525,1.1550229118309108,0.1541370468730579
8,15888.035799522673,15888.035799522673,-13.717945107398569,3.1183412887828164,175.80138663484487,-0.0311159086386907,5973.359712230216,0.7876151571206708,190.5463043447003,-6.734858890795542,269.2439134995714,50552.447176633694,-0.00430000922207551,-1.1383135239854765,1.024515330999992,0.5638658116668273,0.9743700647852351,0.22495105434386525,1.2740989124338118,0.1612637593732888
9,15889.035799522673,15889.035799522673,-13.206528708133972,3.1634988066825778,180.2678520286396,-0.033232684325259096,5974.359712230216,0.9744800041469699,188.17386978737383,-5.990996005061521,269.49457972684354,50573.215199715225,-0.004191409246755933,-0.5357956115576061,1.055094438204822,0.47081784551255246,0.9743700647852351,0.22495105434386525,1.27040285420961,0.16805705241724614
