datetime,temp,ws,wdir,katabaticity,ws_model,wdir_model,temp_model,dewpoint_temp,pressure,lapse_rate,u_x,u_y,D_x,D_y,along_valley_component_of_wind,along_valley%
0,4.584683333333333,3.170958333333333,170.5855,0.5355576055037493,0.5205181403944726,158.59637384980522,7.809961539852328,278.52771111496355,87222.03929227941,-0.002710037188503129,-0.5127164416151863,1.9247299182295123,-0.3420201433256688,0.9396926207859083,1.9840138520127903,0.6144608640901873
1,4.421034722222222,3.132361111111111,169.3967986111111,0.556400790464403,0.5120486394234885,154.80208097358394,7.09276372692369,278.53506854401917,87222.45936186975,-0.0027360912308048474,-0.6307303656422037,1.9221616659049519,-0.3420201433256688,0.9396926207859083,2.02196362346523,0.6287935583964713
2,4.325180555555556,3.1191319444444447,174.06231944444443,0.5421004143578835,0.5081194665272113,148.91711851842433,6.4252537444044036,278.51219876072986,87222.22766215862,-0.002743920591837069,-0.5062297562829872,1.936495827059831,-0.3420201433256688,0.9396926207859083,1.9928516126704532,0.6248071639542508
3,4.249645833333333,2.997916666666667,174.09026388888887,0.5313906158177822,0.5062733263003181,145.85262475058985,5.80445953272966,278.43177000414425,87218.7722393645,-0.002745472048997692,-0.41061383349760433,1.8454193885092351,-0.3420201433256688,0.9396926207859083,1.8745651838217248,0.6198483027965204
4,4.144173611111111,3.0001666666666664,171.77864583333334,0.5176261876466127,0.5041695525447165,140.79924807802806,5.3135496770097435,278.35451578092176,87217.7593388918,-0.0027385936764718526,-0.4433075394620403,1.792462397267313,-0.3420201433256688,0.9396926207859083,1.8359837959324699,0.6036464929695207
5,4.047138888888889,3.055826388888889,172.3202013888889,0.5302656601872622,0.5098142313426728,139.60303649523325,4.96251021329729,278.3007011734137,87216.78422071954,-0.002709837746099648,-0.48793315392621067,1.794305577020735,-0.3420201433256688,0.9396926207859083,1.8529786774005743,0.6139954451385273
6,3.9949652777777778,2.984611111111111,169.0110347222222,0.5171490113884022,0.5136709698727218,140.20892119396746,5.268103207338219,278.6519098362001,87230.72500328257,-0.0026565071558449305,-0.5592137699682974,1.6606518239719665,-0.3420201433256688,0.9396926207859083,1.751764638435361,0.5988982969481073
7,4.1591875,2.9563888888888887,166.8977013888889,0.527678894861281,0.5429228924687799,155.2577822973281,6.761163928937418,279.3180088075269,87237.4376148897,-0.002574527614920912,-0.7052770387529417,1.6292738179806545,-0.3420201433256688,0.9396926207859083,1.7722355378746888,0.601502163751299
8,4.494395833333333,2.910708333333333,163.06859722222222,0.5162731586614618,0.6544670142468891,177.6827498085318,8.768215611259668,279.5084370845506,87235.02066373425,-0.0024649661986504323,-0.7858669781184316,1.5429611809722463,-0.3420201433256688,0.9396926207859083,1.7186915724097067,0.6002290231183262
9,4.861043055555555,3.0209402777777776,157.66968749999998,0.5551918130089799,0.7908202709062797,195.35091460034133,10.454680877388078,279.0827793153394,87224.83598673844,-0.0023832598153402844,-1.1042341119985422,1.5840750460563195,-0.3420201433256688,0.9396926207859083,1.8662139408010554,0.609579665773842
