datetime,Unnamed: 0_x,temp,ws,wdir,Unnamed: 0_y,ws_model,wdir_model,temp_model,dewpoint_temp,pressure,lapse_rate,temp_era5_uncorrected,u_x,u_y,D_x,D_y,along_valley_component_of_wind,along_valley%
0,60863.488980716254,2.209146694214876,1.3480027548209366,144.97486225895318,7251.443213296399,0.4731108896285404,143.89198445546648,0.33720621838470044,272.14624285499804,53510.03273242729,-0.0046635547838869374,-0.5555920545413987,-0.7564214756646601,0.3746309557687507,-0.7431448254773944,0.6691306063588582,0.8128077441145095,0.5939542653982017
1,60882.696132596684,2.0391975138121547,1.3296270718232044,152.84930939226518,7256.333333333333,0.49395513277533093,146.4301036523881,0.20751107612610187,271.9425643497043,53482.75924479167,-0.0046766681024424765,-0.6877976311577464,-0.5802041600545739,0.4859678252072011,-0.7431448254773942,0.6691306063588582,0.7563516648168044,0.5696413933745008
2,60886.696132596684,1.8740773480662984,1.1894337016574585,155.4486187845304,7257.333333333333,0.5042163778997083,129.30942396051094,0.10178666039082983,271.7554273393419,53459.41828342014,-0.004694793187189157,-0.7969919416639313,-0.4898155941872206,0.4918834802634516,-0.7431448254773942,0.6691306063588582,0.693138215664957,0.5891771164524724
3,60890.696132596684,1.7256125690607733,1.1812154696132597,175.64433701657458,7258.333333333333,0.5190561232235718,115.50029594854507,-0.030306100352206898,271.5406563652886,53435.67022569444,-0.004719139817826893,-0.9337456597221995,-0.21701464036331575,0.44680363351392777,-0.7431448254773942,0.6691306063588582,0.46024329325535135,0.38221909924654307
4,60894.696132596684,1.6604633977900554,1.1285911602209946,181.73618784530387,7259.333333333333,0.5396883725059716,99.7316673728521,-0.15714058313846127,271.3395677354601,53430.57587890625,-0.004740515532207227,-1.064672342936175,-0.04202545611342627,0.4291477131333548,-0.7431448254773942,0.6691306063588582,0.3183868697554591,0.35038412099635147
5,60674.436111111114,1.6412256944444443,1.1129166666666666,189.36979166666666,7232.8245125348185,0.5654141548200274,85.67303193637827,-0.25874102441389624,271.1695698177582,53447.365729456826,-0.00476486238201974,-1.170933783486006,0.08113788346899761,0.47822096337576186,-0.7431448254773941,0.6691306063588582,0.2596950849469675,0.2965260593076193
6,60763.784122562676,1.8798105849582172,1.0618384401114205,180.14456824512536,7239.011173184357,0.5486020900802647,94.55536081549774,0.25351079709099406,271.42504081512965,53484.38174319134,-0.004751868466884971,-0.6561943864022992,0.005492416763211185,0.4825843053270671,-0.7431448254773942,0.6691306063588582,0.3188302677458231,0.38478619814251874
7,60762.96280991736,3.230842975206612,1.1345959595959596,149.5203168044077,7238.397790055249,0.5326310871648477,137.83334316054132,1.3328895525265712,271.69020906732885,53517.97334685773,-0.004715803490111528,0.4300887049891241,-0.40154038842149803,0.5228325927999238,-0.7431448254773944,0.6691306063588582,0.6482459517200062,0.6006220396786218
8,60795.52479338843,4.594040633608816,1.3556014692378329,127.30247933884299,7246.558011049724,0.7866287413458739,182.39370214263297,2.0713330004710295,272.009896884307,53546.173245424725,-0.004572723022421945,1.1959237030198129,-0.9659386364967347,0.5491703260558084,-0.7431448254773944,0.6691306063588582,1.085298972709253,0.8134084909534872
9,60799.52479338843,5.375787190082645,2.0419421487603304,114.13684573002756,7247.558011049724,1.0107492590390301,195.93162816842445,2.4517821958811004,272.53822364596374,53569.97083261395,-0.004434952360826516,1.6027479308745047,-1.76633403519069,0.5784677244285952,-0.7431448254773944,0.6691306063588582,1.6997124575225018,0.8573245577329299
10,60885.991758241755,5.6675892857142856,2.8585851648351652,105.55693681318681,7253.0,1.2173525996704315,205.35600129422136,2.7275158160736828,273.25557660399716,53576.647479769286,-0.004318487094182226,1.900777845146265,-2.644835263198809,0.4565470757020802,-0.7431448254773942,0.6691306063588582,2.2709852616822332,0.8135009178317503
11,60889.991758241755,5.651622252747253,3.488804945054945,100.02026098901099,7254.0,1.3749129541839085,210.07287359582895,3.0193997194990883,273.9131724039714,53569.35191761364,-0.004201658254054598,2.2150276457311264,-3.3034361238845524,0.3532332688239468,-0.7431448254773942,0.6691306063588582,2.6912906531141942,0.7882858698540364
12,60893.991758241755,5.363338598901099,3.8494505494505495,97.31373626373626,7255.0,1.4785737458051134,209.14810420466978,3.225831634256882,274.3333136188097,53556.69788438361,-0.00408766279552626,2.4432830306124322,-3.66445257552843,0.2328194935129119,-0.7431448254773942,0.6691306063588582,2.87900561857772,0.7637023859784828
13,60897.991758241755,5.033140796703297,3.925549450549451,97.89148351648352,7256.0,1.5290701067669663,211.72158673176764,3.250524067527882,274.66660819565953,53535.91137224518,-0.004015199456814065,2.4818479595762537,-3.75999532955905,0.25696833660931334,-0.7431448254773942,0.6691306063588582,2.9661664518713944,0.7712041358234509
14,60917.108815427,4.685046831955923,3.58202479338843,100.214738292011,7260.845303867403,1.4651808535080613,213.83988366519597,3.1324198675388075,274.69711329001746,53500.73596123964,-0.003994409832979463,2.3677237579177324,-3.3545988599091605,0.2792517946052607,-0.7431448254773944,0.6691306063588582,2.6798087069448764,0.7678790451912243
15,60905.991758241755,4.32234065934066,3.1401785714285717,100.49491758241759,7258.0,1.3687865752752424,215.62051574488518,2.8717218346263795,274.5320247513532,53472.93940470041,-0.004054552603330014,2.095511898324532,-2.96626494450225,0.240281034074309,-0.7431448254773942,0.6691306063588582,2.3651438385285126,0.7764291865026761
16,60909.991758241755,3.96062706043956,2.6993818681318684,103.60787545787547,7259.0,1.1667893152227684,217.46568277669877,2.4670563894955926,274.0965498827049,53452.41179192493,-0.004134486048055825,1.6755438686402604,-2.500305967982182,0.2706895085521817,-0.7431448254773942,0.6691306063588582,2.039216077208709,0.776446016365585
17,60913.991758241755,3.560723901098901,2.201923076923077,105.75061813186812,7260.0,0.9502964366940013,219.0730300954456,2.1146140524077315,273.64659480155336,53460.717759986226,-0.004214360906540731,1.3078101628411472,-2.019154963841798,0.2795179973467084,-0.7431448254773942,0.6691306063588582,1.6875586102688436,0.7911135575656754
18,60917.991758241755,3.2331043956043954,1.904532967032967,109.38372252747253,7261.0,0.7343649458943158,217.38266856691538,1.7662275933349276,273.41715654525547,53488.129863980714,-0.00428959787186826,0.9450202206278207,-1.6853811048265888,0.2470956577188055,-0.7431448254773942,0.6691306063588582,1.4178215142872783,0.7598887936035367
19,60921.991758241755,3.048538461538462,1.6473214285714286,118.34594780219781,7262.0,0.6450306207750796,201.96892764973362,1.4494797509428035,273.24955089558586,53535.76328985881,-0.00438221661002574,0.6105413011283156,-1.3691165165982189,0.2848945369749124,-0.7431448254773942,0.6691306063588582,1.2080835090599507,0.7300229546684509
20,60925.991758241755,2.903306318681319,1.461813186813187,128.46160714285713,7263.0,0.5895747610535403,189.21821391269046,1.2161470915795722,273.1002522197965,53573.336809142565,-0.004474391630023578,0.359562510761042,-1.0385875800385795,0.3408656893544237,-0.7431448254773942,0.6691306063588582,0.9999046513154151,0.6764831664198736
21,60929.991758241755,2.7627005494505497,1.4510989010989013,139.25528846153847,7264.0,0.5412909016117016,188.69779317902152,0.9752651131771852,272.8800635639958,53585.677954975894,-0.004549600523761777,0.10428242328740647,-0.9219781074587544,0.3850558444848279,-0.7431448254773942,0.6691306063588582,0.9428159104635695,0.6366557888988621
22,60933.991758241755,2.6079725274725276,1.3705357142857142,139.4537774725275,7265.0,0.515164403822123,181.88357756195475,0.737540179050115,272.6436247181958,53575.70386751033,-0.004598897650577344,-0.1428800304402106,-0.8524393162030495,0.40533003428366743,-0.7431448254773942,0.6691306063588582,0.9047045984854717,0.6330511485845356
23,60937.991758241755,2.414183379120879,1.358241758241758,138.98289835164834,7266.0,0.4884862299931819,177.53804489224527,0.5206559493944539,272.38458705933624,53553.13156422176,-0.0046326528825658625,-0.36622641487224394,-0.8368016867694156,0.4473379506991588,-0.7431448254773942,0.6691306063588582,0.9211923576721036,0.678763098487519
