datetime,temp,ws,wdir,katabaticity,ws_model,wdir_model,temp_model,dewpoint_temp,pressure,lapse_rate,u_x,u_y,D_x,D_y,along_valley_component_of_wind,along_valley%
0,5.784192546583851,1.5435921325051758,189.8954761904762,-0.4846292003012088,0.5223361429042592,217.42642523212314,4.09617039801018,275.07728870462927,74827.84746215062,-0.003527414251377351,0.5021443506729973,0.6014148463843643,-1.2246467991473535e-16,1.0,0.6089798130055512,0.485963011406326
1,5.619130434782608,1.4990855762594892,192.1587939958592,-0.47482124083324534,0.5212613273261247,216.1913658581877,3.685785864650533,274.8432277892687,74806.22796163302,-0.003521531916620634,0.5415185835017673,0.6086989415223747,-1.224646799147353e-16,1.0,0.6189507131690672,0.4728133562794989
2,5.46554979253112,1.548246887966805,192.91907676348546,-0.47958458461588915,0.5254129424497372,216.34335984451934,3.310065400770113,274.58897444222475,74779.60858888745,-0.0035240818690003292,0.5545229147351207,0.6086940272996376,-1.2246467991473532e-16,1.0,0.6215900872000536,0.48102063420372915
3,5.341436721991702,1.55975622406639,198.89281639004147,-0.4826740749720975,0.5247533417857481,213.94861344930783,2.9768135160203952,274.3445356376933,74756.59753468621,-0.003525793659268993,0.6779123319055242,0.613801505094722,-1.2246467991473532e-16,1.0,0.6281365720926878,0.4875816954263193
4,5.215363070539419,1.5923599585062242,199.0023547717842,-0.4710223723986775,0.523147826411508,215.09032715246457,2.697642460398636,274.1272561164318,74743.32471310944,-0.003529843599835581,0.7555493801659643,0.6471849583663389,-1.2246467991473532e-16,1.0,0.6651239870630604,0.4714911643378574
5,5.1443049792531115,1.491561203319502,199.4659284232365,-0.48439321258535684,0.5437927694250377,216.92053933768136,2.8765703137502365,274.2475020855789,74748.85880770229,-0.003533849715387315,0.7203878999365456,0.610811568599086,-1.2246467991473532e-16,1.0,0.6277423796689967,0.48238040034537594
6,5.375072614107884,1.3421784232365144,190.35099066390043,-0.5550526201468742,0.5727771055025953,224.92932073134764,4.3168714398986685,275.16654357277014,74780.42314736774,-0.00353707380301111,0.4828418425440935,0.5846024538873009,-1.2246467991473532e-16,1.0,0.599528473986551,0.5572700233256352
7,6.239559128630706,1.2537966804979255,173.0002074688797,-0.5801745920486265,0.7136138332487333,229.68601619338912,6.40817590872805,275.7982887489667,74833.1766808221,-0.0034431274537821337,0.1927592710509495,0.5720898376352157,-1.224646799147353e-16,1.0,0.5829752679496278,0.5842719310248539
8,7.306654564315353,1.3510373443983403,147.08871887966805,-0.4571148973660261,0.8453018085528206,223.83761247582666,7.97589763434771,275.3779525756836,74850.9040213304,-0.0033630235100617764,-0.16992636812086334,0.48094168548130956,-1.2246467991473535e-16,1.0,0.4870039756344353,0.45982563048046066
9,8.09926867219917,1.6056224066390041,130.81414937759337,-0.27081027202108726,0.9577871087372449,222.58876067889477,9.182908921754757,275.0054568532097,74869.57964859958,-0.003286986609081535,-0.45414750538044946,0.34028491548914774,-1.2246467991473532e-16,1.0,0.34099236853590276,0.2711972417223675
10,8.749133817427387,1.8906639004149377,124.7316908713693,-0.1345083678451947,1.0196523219970597,215.5935564895841,10.053969258672282,274.91271906176047,74880.92756418568,-0.003265178032707508,-0.5254597051492323,0.15888957364788972,-1.2246467991473532e-16,1.0,0.15888957364788978,0.13450836784519477
11,9.349006211180123,2.1219185645272605,123.0624430641822,-0.09587702421634225,1.0628382972443824,215.2563925535955,10.629279823066147,275.04724446488217,74877.65017630694,-0.0032642113008934056,-0.5781036889449644,0.11956115839050191,-1.2246467991473532e-16,1.0,0.11956115839050199,0.0958770242163423
12,9.857375776397516,2.3029347826086957,123.39725672877847,-0.10594572361805095,1.078210043277988,209.66908797731955,10.885485783644802,275.21230674727855,74873.34220529244,-0.0033004601015753955,-0.7282604541355622,0.08069674864608067,-1.2246467991473532e-16,1.0,0.08069674864608077,0.10594572361805098
13,10.105108695652174,2.47962215320911,122.40884057971014,-0.09459848603477419,1.0813896296738577,220.28681243584896,10.832281349832277,275.3921159384907,74862.9358744177,-0.0033599212713903838,-0.8239853723584933,0.027066266105606616,-1.2246467991473532e-16,1.0,0.027066266105606734,0.09459848603477423
14,10.128887163561076,2.6306832298136644,117.84812111801243,-0.06847928131464844,1.058283408950238,213.7776975343319,10.5361113026748,275.558999892841,74854.54761096014,-0.0034237316152446527,-1.036672359032357,-0.11760062680571276,-1.2246467991473532e-16,1.0,-0.11760062680571261,0.0684792813146485
15,9.951454451345755,2.6599741200828158,115.31663561076604,-0.05391969588885283,1.0075488608688534,222.98327921465506,10.080185943375952,275.6875607824227,74856.98023421325,-0.0034846168170616747,-1.1397984067841385,-0.17657686691175326,-1.2246467991473532e-16,1.0,-0.17657686691175312,0.053919695888852884
16,9.572805383022775,2.6031521739130437,115.71763457556936,-0.05364348864447547,0.9315761625726711,215.7185846663676,9.46750142139961,275.8896155821364,74851.90549786491,-0.003528936265303045,-1.160570893099588,-0.2185926188257592,-1.2246467991473532e-16,1.0,-0.21859261882575903,0.05364348864447553
17,8.984280538302277,2.5178623188405798,122.09290372670807,-0.08802176451610337,0.8233773591558131,212.05636944769697,8.77934892828788,276.0864468529111,74860.47444358178,-0.003543416407966652,-1.0465253962646572,-0.17981022570563898,-1.2246467991473532e-16,1.0,-0.18018327596643893,0.08615094337953039
18,8.2982867494824,2.3085559006211183,132.50451863354039,-0.15019964301259678,0.7092981058168307,213.3278381401664,7.978358433578263,276.3135393667912,74868.81608275103,-0.003561396662274562,-0.7531988936113277,-0.0006745065024243907,-1.2246467991473532e-16,1.0,-0.0006759058935081668,0.14855191391994566
19,7.524435817805384,2.138638716356108,143.15419254658386,-0.19898317581936914,0.6407882115180339,217.55143120679924,7.396409959298895,275.847015317676,74866.51424204193,-0.0035531380519822193,-0.4445824811282317,0.10364851671578865,-1.2246467991473532e-16,1.0,0.10407948767926392,0.19835184726035368
20,6.92314182194617,1.873271221532091,155.2822463768116,-0.32248861493392744,0.5746455088484518,220.90310811379857,6.53013774996772,275.72447691101956,74882.02036425984,-0.00358034791276487,-0.20271981020616314,0.34757376108222704,-1.2246467991473532e-16,1.0,0.34829486847036445,0.3236190879763186
21,6.500734989648033,1.681765010351967,167.0221066252588,-0.37807778426652955,0.5331447183788767,225.39083249513618,5.781427517412356,275.62474514979016,74884.51116880176,-0.0035626397194360748,0.04080045128820305,0.3657169544451991,-1.2246467991473532e-16,1.0,0.3680026854104816,0.37792632645234864
22,6.205978260869566,1.5824482401656315,178.89733954451344,-0.4420122052519665,0.5206675135865869,221.0855385857721,5.118062984591479,275.4674184732062,74867.95382052277,-0.003538310166313611,0.26055644845837767,0.47208863918778493,-1.2246467991473532e-16,1.0,0.4770268048696655,0.44043077175673906
23,5.969296066252588,1.5912577639751553,184.33433229813664,-0.47053481118793555,0.5219953076541775,218.83819611794624,4.54113140741033,275.27144813932495,74849.89041472567,-0.003523179952668734,0.3726515904939857,0.5412834298489688,-1.2246467991473532e-16,1.0,0.5458035419980207,0.47264013465993543
