datetime,Unnamed: 0.1,temp,ws,wdir,ws_model,wdir_model,temp_model,dewpoint_temp,pressure,lapse_rate,u_x,u_y,D_x,D_y,along_valley_component_of_wind,along_valley%
0,599.0,2.8007666666666666,2.1694166666666668,129.0593333333333,0.7801846120539679,158.1723749592337,5.444163260227072,278.4569369506836,78403.12265625,-0.003374545615060908,-0.4632976401250856,0.3386046158203901,-0.49999999999999994,-0.8660254037844388,-0.06159137907658529,-0.07491174327397815
1,588.0,2.9488673469387754,1.949374149659864,129.22006802721089,0.7754797685019801,187.67914143331936,5.222884187808784,278.3681176633251,78382.33091517857,-0.0033126398068239384,-0.43151747678219365,0.2143780393212529,-0.49999999999999994,-0.8660254037844387,0.0301019103253925,-0.0391952587012146
2,589.0,2.8222755102040815,2.1005374149659866,119.61020408163265,0.7571495395654269,161.3693609415342,4.918882133002984,278.19305388781487,78367.74402104592,-0.00329062268890591,-0.506503581673056,-0.08898718592148148,-0.49999999999999994,-0.8660254037844387,0.3303169544558199,0.016566699794247
3,590.0,2.774374149659864,2.1240238095238095,118.19863945578231,0.744056535929694,156.5459669233665,4.676291738231436,277.99600282007333,78352.27455357143,-0.0032781554423861404,-0.6146676866147666,-0.026373954326236248,-0.49999999999999994,-0.8660254037844387,0.33705299020532414,-0.0023309337651326255
4,591.0,2.893765306122449,2.5245680272108846,117.2438775510204,0.7516178166270109,152.40758608294567,4.528600465222986,277.85689435686385,78333.44690688775,-0.003255140775715902,-0.7668296368500254,-0.03553501316678096,-0.49999999999999994,-0.8660254037844387,0.422817980937744,0.03818258256811461
5,592.0,2.973404761904762,2.466081632653061,119.46462585034013,0.7469682403478296,156.8525841691293,4.337835152166378,277.67727038325097,78314.51618303571,-0.0032457734055214697,-0.49483260642604493,-0.02446726096581053,-0.49999999999999994,-0.8660254037844387,0.27420152220315513,-0.03541260464373993
6,593.0,3.5735408163265308,2.288853741496599,135.5221088435374,0.7689057425793034,155.45027629406704,4.318426886515762,277.5896665612046,78314.99864477041,-0.0032442123659049615,-0.2449610586742602,0.03968591072735792,-0.49999999999999994,-0.8660254037844387,0.0899471791931441,-0.16823154151607048
7,594.0,4.1682891156462585,2.237537414965986,156.55204081632652,0.7705286961663251,154.57864699187112,5.389499076915827,278.3087239168128,78329.89732142857,-0.0033078547464053124,-0.225907946300973,0.5538941545070581,-0.49999999999999994,-0.8660254037844387,-0.36673243566032887,-0.45942637457647045
8,595.0,4.568996598639456,2.375170068027211,178.41020408163266,0.7176806291888639,176.71998929612792,7.309225592389719,279.1686323516223,78364.48294005102,-0.00331544084968659,0.02311649531768221,1.1607942059635148,-0.49999999999999994,-0.8660254037844387,-1.016835518589031,-0.7389387379587915
9,596.0,5.0191224489795925,2.671517006802721,177.25170068027208,0.8248840472939116,176.56423128751044,8.817037176969064,278.7987742521325,78378.7578125,-0.0033106900281918835,0.1825492456265388,1.8726608384770542,-0.49999999999999994,-0.8660254037844387,-1.7130464816066657,-0.7486713166288528
