datetime,Unnamed: 0.1,Unnamed: 0_x,temp,ws,wdir,katabaticity,Unnamed: 0_y,ws_model,wdir_model,temp_model,dewpoint_temp,pressure,lapse_rate,temp_era5_uncorrected,u_x,u_y,D_x,D_y,along_valley_component_of_wind,along_valley%
0,30622.9,30622.9,3.1958333333333333,3.666951388888889,195.82484027777775,-0.22863583602806462,1453.4,0.5611026130105252,244.3249802183482,1.6985607952931254,273.9101732889811,72940.51995442709,-0.0038825297887390958,1.9820227305094629,1.727132309477675,1.66221212886888,0.8660254037844386,-0.5000000000000001,0.670219554221963,0.07541671603758973
1,30628.9,30628.9,3.1796918767507,3.6224611111111114,196.80881527777777,-0.24734193839076848,1454.4,0.5670866866358016,252.90130890540613,1.035343753925315,273.5945011138916,72920.0470703125,-0.0038997216107322353,1.3200608571370671,1.7903575532716929,2.0166476740186665,0.8660254037844386,-0.5000000000000001,0.5560731138269781,0.051928047863533354
2,30489.7,30489.7,3.08921568627451,3.672298611111111,190.74112916666667,-0.23072049984598533,1431.2,0.5765799220249754,256.22332986757476,0.43240082306280875,273.1274289449056,72892.57978515625,-0.003947247797069962,0.7205877939860253,1.6264576012919052,1.9788788035969385,0.8660254037844386,-0.5000000000000001,0.4298607170242279,0.04267466148907735
3,30495.7,30495.7,3.031372549019608,3.9083944444444447,192.7507736111111,-0.1819392253243485,1432.2,0.5860852792379799,256.8696813048504,-0.04377587715554361,272.7396634419759,72869.79163411459,-0.0039560220969192894,0.24505170186362948,1.7787595573104258,1.885611428980544,0.8660254037844386,-0.5000000000000001,0.6129694865281217,0.061860646872463246
4,30501.7,30501.7,2.965406162464986,3.7366666666666664,202.00979166666667,-0.19377117508157612,1433.2,0.5974051919785003,259.1662322997406,-0.3788079305190327,272.45224634806317,72836.36923828124,-0.0039378293893206195,-0.09130859374997731,1.7936986374106687,1.6958246728974835,0.8660254037844386,-0.5000000000000001,0.7235653849050563,0.15035900249485196
5,30507.7,30507.7,2.846078431372549,3.7189875,193.0999972222222,-0.1260378533112928,1434.2,0.5979529201217277,258.70681390866844,-0.740917642281866,272.14227930704754,72812.68977864583,-0.003932466261471523,-0.4538098653157325,1.6660520069653524,1.7017938271542,0.8660254037844386,-0.5000000000000001,0.6123583949802864,0.09980566927710711
6,30513.7,30513.7,2.7927170868347337,3.644543055555556,185.023775,-0.12664774630303482,1435.2,0.6065299998812049,264.51207442542034,-1.0521779251427588,271.85842247009276,72801.13268229166,-0.003929467968646736,-0.7652890523274513,1.3591556645471776,1.6642079116778836,0.8660254037844386,-0.5000000000000001,0.3568545282997598,0.009413130532902061
7,30519.7,30519.7,3.0358543417366946,3.5948194444444446,179.2932375,-0.14006732564886526,1436.2,0.6427722539883987,260.5169831225787,-0.8957908726311616,271.9391227722168,72807.55029296875,-0.003920800121876495,-0.6095348358154069,1.2912050849163692,1.7031484413674116,0.8660254037844386,-0.5000000000000001,0.27347916343539797,-0.021339736904818038
8,30525.7,30525.7,3.4733333333333336,3.633126388888889,170.61035277777776,-0.22099272317759383,1437.2,0.6762404923394912,252.71476148898174,0.34243339285607693,272.8867584228516,72837.90384114583,-0.003954805932153361,0.631172180175804,1.09676527685875,1.8766542207700376,0.8660254037844386,-0.5000000000000001,0.011896015203446332,-0.12527463393863522
9,30531.7,30531.7,4.113888888888889,3.6028333333333333,168.58762083333335,-0.3472026714782151,1438.2,0.7474515322078028,238.38431002330873,1.928393367774216,274.0188065846761,72887.24052734375,-0.003961651020443947,2.217631912231468,0.9839233627013814,2.0713049827890417,0.8660254037844386,-0.5000000000000001,-0.18666087856079436,-0.19428813719789642
10,30537.7,30537.7,4.574166666666667,3.880813888888889,175.7626486111111,-0.43891157797095814,1439.2,0.8411326936977261,234.9262943476771,3.5933512907467713,274.19092953999836,72922.3162109375,-0.003829981335516249,3.872976684570335,1.138115885996046,2.5402193007015197,0.8660254037844386,-0.5000000000000001,-0.2868629048345045,-0.21248665855383186
11,30543.7,30543.7,5.151944444444444,4.195554166666667,175.57297916666667,-0.44090452938412417,1440.2,0.9533547535912583,221.75064717518345,5.040283269885392,273.9001064300537,72954.541796875,-0.003684736928697419,5.309304428100608,1.3747607448619925,2.6428224817554526,0.8660254037844386,-0.5000000000000001,-0.13083351170162377,-0.16042798460677984
12,30549.7,30549.7,5.602361111111111,4.203334722222222,182.44050416666667,-0.5104042355839519,1441.2,1.0622415585435374,222.54750941345648,5.995189941623247,273.5722240447998,72974.75380859376,-0.0036093627819664418,6.258708063761416,1.4366658596241006,2.847937847950151,0.8660254037844386,-0.5000000000000001,-0.17977979279079645,-0.1666343997983638
13,30555.7,30555.7,5.963472222222222,4.254566666666666,188.339,-0.489734265317519,1442.2,1.169424550176014,220.3595338056755,6.667220435816764,273.4201494852702,72985.32457682291,-0.0035653482577084968,6.927525075276716,1.7179912688321746,2.787754330892812,0.8660254037844386,-0.5000000000000001,0.09394691684211774,-0.05833559564425545
14,30561.7,30561.7,6.150555555555556,4.210688888888889,191.5847652777778,-0.4892151388588216,1443.2,1.2175222787735362,219.05995255583633,7.117088135712666,273.460630162557,72981.71276041666,-0.0035480824039583964,7.37613220214846,1.61838286508436,2.716767213582964,0.8660254037844386,-0.5000000000000001,0.04317706742101688,-0.04010004248113318
15,30567.7,30567.7,6.2091666666666665,4.139815277777777,191.15314583333333,-0.4977687521968704,1444.2,1.2103012886300053,223.17129507508395,7.4716800622620925,273.5865509033203,72976.33245442709,-0.0035323111747930093,7.729572677612327,1.5737705907590274,2.806185641855535,0.8660254037844386,-0.5000000000000001,-0.04016750960160682,-0.04540915656463529
16,30573.7,30573.7,6.055138888888889,4.163391666666667,193.74215555555557,-0.4694435811526152,1445.2,1.1548512520838274,233.22360605654325,7.491174367661403,273.7250764211019,72968.69775390625,-0.0035422568979561215,7.7497931162516505,1.729592269321848,2.596600235337449,0.8660254037844386,-0.5000000000000001,0.19957072575317186,-0.0005115236729924612
17,30579.7,30579.7,5.784861111111111,4.107598611111111,194.88936944444444,-0.44738792492185464,1446.2,1.0638461510210642,230.09848683797733,7.2324759170151935,273.93651885986327,72964.58701171874,-0.003576494790628566,7.493594360351585,1.6076223536365994,2.511070879565575,0.8660254037844386,-0.5000000000000001,0.1367063581582375,-0.00960413351652671
18,30585.7,30585.7,5.382361111111111,4.166415277777777,197.14669166666667,-0.3815790997201037,1447.2,0.9355704140910046,217.11351193543115,6.758122440132141,274.2528720855713,72960.6638671875,-0.0036181348982589124,7.022281010945661,1.7170592044793993,2.507448705783746,0.8660254037844386,-0.5000000000000001,0.23329253798918573,-0.008386934317724476
19,30591.7,30591.7,4.935694444444445,3.9016124999999997,184.50641249999998,-0.3427073972691027,1448.2,0.822359766259186,202.2070141409939,6.078217299221969,274.55513153076174,72960.35882161459,-0.003653984155218943,6.34499320983889,1.409517235308787,2.1785687734637924,0.8660254037844386,-0.5000000000000001,0.13249749188321486,-0.04553018736108401
20,30597.7,30597.7,4.4366666666666665,3.844848611111111,185.29351805555555,-0.23827502093586883,1449.2,0.703687450627898,205.49873076080115,5.21237151470368,274.89059689839684,72963.59059244792,-0.0037067494966734884,5.482999801635765,1.390673913912285,1.8187558046829317,0.8660254037844386,-0.5000000000000001,0.2974598677178886,0.011685100200535922
21,30603.7,30603.7,4.050694444444444,3.6922944444444443,186.19650555555555,-0.21177075730121422,1450.2,0.6644716516915197,207.9855588531186,4.388640112070806,274.6283568064372,72943.97867838542,-0.00373472609075655,4.661310958862328,1.326176533343759,1.7257683200137102,0.8660254037844386,-0.5000000000000001,0.2880185624587771,-0.007560907273317229
22,30609.7,30609.7,3.736111111111111,3.858390277777778,189.9005111111111,-0.2164157422845533,1451.2,0.6328102541088961,217.85074241619833,3.3744336357450715,274.4639506022135,72954.8314453125,-0.0038201506247173417,3.6533412933349836,1.4531909529015707,1.8586971958168546,0.8660254037844386,-0.5000000000000001,0.33473052595326963,0.04455170683812762
23,30615.7,30615.7,3.4908333333333337,3.8370319444444445,190.2739986111111,-0.24624153255276213,1452.2,0.5954944573835828,228.09572377224399,2.457321889677628,274.2220190684001,72949.69254557292,-0.0038597734085488024,2.739122390747093,1.6042490995217003,1.845576348740714,0.8660254037844386,-0.5000000000000001,0.4704527393079786,0.03253308913212126
