datetime,Unnamed: 0.1,Unnamed: 0_x,temp,ws,wdir,katabaticity,Unnamed: 0_y,ws_model,wdir_model,temp_model,dewpoint_temp,pressure,lapse_rate,temp_era5_uncorrected,u_x,u_y,D_x,D_y,along_valley_component_of_wind,along_valley%
0,2600.3072916666665,2600.3072916666665,4.4738541666666665,4.16546875,222.30338541666666,0.9176316833752532,1406.5,0.4080471046615591,82.69058373404009,-0.5694917391529235,268.82249482472736,56429.80126953125,-0.0043856484835932226,-2.7038546244303157,2.787797758224681,2.8197544746490277,0.6946583704589973,0.7193398003386511,3.964928668695652,0.9394020053918304
1,2605.9210526315787,2605.9210526315787,4.198384210526315,4.059342105263158,222.62052631578948,0.940972112122341,1412.0,0.4133643078016181,78.6780566526022,-1.0674893063104345,268.28621633429276,56401.785690789475,-0.004436010872304752,-3.2263620476973456,2.7259821504639863,2.7651940380754247,0.6946583704589973,0.7193398003386512,3.8827404457884294,0.9460623848977141
2,2607.9210526315787,2607.9210526315787,3.859415789473684,3.907921052631579,220.76326315789473,0.9245837058725865,1413.0,0.4258928284700069,74.02843745259362,-1.4774536052364686,267.7707354093853,56376.96981907895,-0.004505796792054818,-3.6702890496504708,2.5735877080705403,2.712879810981363,0.6946583704589973,0.7193398003386512,3.7392466650956786,0.940498252367195
3,2609.9210526315787,2609.9210526315787,3.5905526315789476,3.7057894736842107,221.34984210526315,0.8892576126208456,1414.0,0.43787235667637137,68.87808476529814,-1.8547778680692835,267.2676462273849,56359.81373355263,-0.004565652656110597,-4.076743356805076,2.460256393912709,2.4815113070388435,0.6946583704589973,0.7193398003386512,3.494087545650158,0.9063921204809497
4,2611.9210526315787,2611.9210526315787,3.211457894736842,3.6545,217.71236842105262,0.9082983727673004,1415.0,0.4663875831435698,66.56472642310501,-2.204452518830487,266.7945784719367,56352.77467105263,-0.004618324704868488,-4.452051905581803,2.3953722526250436,2.5347835197564366,0.6946583704589973,0.7193398003386512,3.487336056654509,0.9149040997537491
5,2589.8125,2589.8125,3.0292499999999998,3.5753645833333336,217.84338541666668,0.8748702884055417,1401.25,0.4942562416160474,63.64866198723962,-2.560321606507902,266.34499979019165,56349.0536702474,-0.004678472753001043,-4.837193234761533,2.363913239840033,2.4718470702069593,0.6946583704589973,0.7193398003386511,3.420210097044079,0.9101815666893146
6,2591.8125,2591.8125,2.9467916666666665,3.4729166666666664,219.73776041666667,0.9015393774672437,1402.25,0.5203476941968097,65.9705883350445,-2.5112779263980016,266.18064880371094,56368.05391438802,-0.0047434140074690484,-4.819754505157448,2.3542821121227084,2.3511078314511047,0.6946583704589973,0.7193398003386511,3.3266672136586037,0.9120124812804281
7,2593.8125,2593.8125,3.6284947916666668,3.3433333333333333,218.17182291666666,0.8960850474109594,1403.25,0.5314478413859924,79.36439443898861,-1.412709313882944,266.90496794382733,56392.879720052086,-0.005000556917129833,-3.8463295936584245,2.2058285634571093,2.273096268286992,0.6946583704589973,0.7193398003386511,3.167425891183125,0.8984194305339996
8,2595.8125,2595.8125,5.141526041666666,2.917760416666667,212.65307291666667,0.8547237358783892,1404.25,0.5536926220393227,100.95008966603513,0.3623384602952861,267.57900285720825,56413.099365234375,-0.0051584771559835116,-2.1481368382771584,1.8721244478870132,2.014805184726798,0.6946583704589973,0.7193398003386511,2.7498164775682965,0.8751116712074373
9,2597.8125,2597.8125,6.541104166666667,2.849817708333333,212.46562500000002,0.8391758213621534,1405.25,0.65363001651829,132.42652181298476,2.0852165869397976,267.8491056760152,56431.06884765625,-0.005088159461402077,-0.391037209828672,1.810311517581326,1.9183040863776661,0.6946583704589973,0.7193398003386511,2.637460527309927,0.8420082397324723
