datetime,Unnamed: 0_x,temp,ws,wdir,Unnamed: 0_y,ws_model,wdir_model,temp_model,dewpoint_temp,pressure,lapse_rate,temp_era5_uncorrected,u_x,u_y,D_x,D_y,along_valley_component_of_wind,along_valley%
0,4530.5,3.2529100529100528,3.2616402116402115,158.85714285714286,2110.0,0.6796851492466612,210.16148571478416,2.7194779044774284,274.61646355523004,72892.6941344246,-0.003600170055255865,2.926523795960464,0.13230158835465872,0.07444679501444994,0.9396926207859084,0.34202014332566855,0.15727438628591178,0.12569325021475203
1,4536.5,3.1074074074074076,3.0441798941798943,157.1031746031746,2111.0,0.6551536264186534,208.03665591659987,2.2571318697479255,274.4930688767206,72876.94326636905,-0.0035677310979910348,2.4623121957930536,0.3542618097547956,0.25082535685162427,0.9396926207859084,0.34202014332566855,0.43961875960059466,0.1623153905789027
2,4542.5,3.028042328042328,2.9677248677248675,159.65079365079364,2112.0,0.6419680037055484,219.7518800872877,1.8705202450018736,274.3563254220145,72858.05474950396,-0.0035669970547476575,2.0756583561973194,0.5146351846536076,0.1917361919405364,0.9396926207859084,0.34202014332566855,0.5965193291660783,0.24082738292596367
3,4548.5,2.9224867724867725,2.8203703703703704,151.68518518518516,2113.0,0.6294667437304444,220.90018868138054,1.5683555030227785,274.19326975988963,72842.02870783731,-0.003558945177667841,1.773030550517756,0.4152999929808988,0.03303588821516862,0.9396926207859084,0.34202014332566855,0.42877722909231314,0.13795150782264687
4,4554.5,2.885978835978836,2.7537037037037035,153.2010582010582,2114.0,0.6506418843470775,229.39621051651824,1.2246959023307675,273.95508466448103,72816.24559771825,-0.0035637284305321615,1.429646034846253,0.16644347651890748,0.18241567309598727,0.9396926207859084,0.34202014332566855,0.23362913734159643,0.15375706900988848
5,4560.5,2.8182539682539685,2.7753968253968253,147.52380952380952,2115.0,0.6434857126299588,225.9981311033167,0.96479807510215,273.7353750561911,72790.25917658731,-0.00353885886767656,1.168317958286853,-0.046900231383995725,-0.06463864146775623,0.9396926207859084,0.3420201433256686,-0.07314578389691004,0.09882804531087717
6,4566.5,2.8550264550264552,2.805026455026455,142.05820105820104,2116.0,0.6594598553137496,232.30025545721702,0.6880936751736639,273.5108216300843,72772.88349454365,-0.003529641058037981,0.8910834418403004,-0.20427592582107357,-0.3034778923446143,0.9396926207859084,0.34202014332566855,-0.3212480058112311,0.0206067774672999
7,4572.5,3.250793650793651,2.941005291005291,151.4126984126984,2117.0,0.6819426300761078,231.65171341334698,0.48253837433675695,273.308342827691,72772.39620535714,-0.0035284287731874825,0.6854584224640604,-0.3429794630438029,-0.06722516457823889,0.9396926207859084,0.34202014332566855,-0.3750538060074739,0.05220937843340916
8,4578.5,3.82962962962963,3.19021164021164,161.97883597883597,2118.0,0.7787971740642251,235.98989747298037,1.145145444092603,273.6628577822731,72802.6433531746,-0.0035306487927300825,1.348193165612622,-0.23677879967395812,0.41247993514241454,0.9396926207859084,0.34202014332566855,-0.08694303710804926,0.16563360254057366
9,4584.5,4.45,3.435978835978836,172.30423280423278,2119.0,0.8605201634666196,218.74400169286125,2.6087477585326155,274.1924244714162,72843.41071428571,-0.003596519042659511,2.8155836801680536,0.2517069565948931,0.6695281909698823,0.9396926207859084,0.34202014332566855,0.48879526242623444,0.2905021383468454
10,4590.5,4.983862433862434,3.8764550264550266,176.86507936507937,2120.0,0.984898203893143,189.49969980232714,4.127592667458734,273.81863984607514,72870.48766121031,-0.003529252019924367,4.330560060531397,0.534325586623013,1.0265932516989298,0.9396926207859084,0.34202014332566855,0.8811917223211261,0.2943417264475539
11,4596.5,5.440476190476191,4.082010582010582,184.66931216931215,2121.0,1.1132871267233262,175.63911995896484,5.308521288021599,273.3630896674262,72899.55536954365,-0.0034250963674380018,5.505498686290945,1.022875386433048,1.2870460139798408,0.9396926207859084,0.34202014332566855,1.423987084376056,0.3843550618564789
