datetime,temp,ws,wdir,katabaticity,ws_model,wdir_model,temp_model,dewpoint_temp,pressure,lapse_rate,u_x,u_y,D_x,D_y,along_valley_component_of_wind,along_valley%
0,7.8097270955165685,0.5276003898635477,52.98701169590643,0.46319057820696613,0.604332748075647,91.49657737387128,9.270606036111799,277.14752735636154,61839.06996984649,-0.0046248032699416795,-0.30701978343649877,-0.2295961955185282,-0.3420201433256687,-0.9396926207859084,0.3584928952621699,0.5770743095110615
1,7.940294921875,0.498994140625,55.716537109375,0.42220614725286726,0.5115443161993094,120.13930418407044,9.935113495292745,277.58458837866783,61867.76217651367,-0.004571553276902691,-0.2888996616913635,-0.21935496438079155,-0.3420201433256687,-0.9396926207859084,0.3343192750976855,0.542426865855377
2,8.921615234375,0.470302734375,79.65467968749999,0.08091058534083098,0.48495938483255513,178.1358485335717,10.962626419253255,277.6960854232311,61884.71395111084,-0.004506079964342385,-0.32897716968515084,0.008979807827103847,-0.3420201433256687,-0.9396926207859084,0.11009963326982673,0.2537923873496311
3,10.042638671875,0.896802734375,118.867595703125,-0.48321472212141253,0.7595669218079147,190.7295546798927,11.570968027812292,278.2106422185898,61898.8129196167,-0.004396111386801667,-0.7089351060434341,0.5073816190603002,-0.3420201433256687,-0.9396926207859084,-0.23850515011771037,-0.21324519432656536
4,10.886822265625,1.508810546875,125.169333984375,-0.5721473543204079,0.9513782021424552,195.8967203225939,11.991896865730132,278.8125251531601,61916.018226623535,-0.004309040113070326,-1.18704733496838,0.9098030282681705,-0.3420201433256687,-0.9396926207859084,-0.45070164569553284,-0.2726824267708094
5,11.6186328125,2.09185546875,128.2412109375,-0.6152239720219773,1.0602562119037826,200.74420840729735,12.229963360858306,279.4047699868679,61913.784744262695,-0.004231633662249804,-1.5877184384489864,1.3380077190085846,-0.3420201433256687,-0.9396926207859084,-0.7142842922278231,-0.3176053753729864
6,12.112528265107212,2.526861598440546,131.21797270955167,-0.6563287168917917,1.134494210544241,203.2268524637188,12.400045770239847,279.94920108192844,61899.040516873785,-0.00414464210360022,-1.8622876481168211,1.6952302704346727,-0.3420201433256687,-0.9396926207859084,-0.9579227832115308,-0.36653355176678865
7,12.229551656920078,2.6174814814814815,131.79619883040934,-0.6645896052612827,1.2045545553819696,205.6077934673792,12.431577045423246,280.3154286167078,61878.22937225877,-0.004044597335905866,-1.9099737955602243,1.7760805745598631,-0.3420201433256687,-0.9396926207859084,-1.0157202985293203,-0.3745377033331941
8,12.058571150097466,2.520269005847953,131.4011695906433,-0.6581333784357065,1.177102697924055,209.08045978779006,12.453189801106035,280.72873796310574,61845.71600115741,-0.003999960363274514,-1.855386955376095,1.6906008130492316,-0.3420201433256687,-0.9396926207859084,-0.954065396314712,-0.3649472449558858
9,11.64938596491228,2.345820662768031,130.26456140350876,-0.642178170618027,1.112392689684186,210.30094061046213,12.334422895649604,280.7986884461044,61806.123979653996,-0.003994665324145403,-1.7429629217905673,1.5507142002488736,-0.3420201433256687,-0.9396926207859084,-0.8627480326437919,-0.34968455745443144
10,11.04716179337232,2.021925925925926,128.49494541910332,-0.6170586020513767,1.013530218769544,211.41484774953344,12.156160479177892,280.7200100249947,61780.76446759259,-0.004041278760912716,-1.527979888127082,1.295741441809631,-0.3420201433256687,-0.9396926207859084,-0.6949987709790397,-0.31879027302587043
11,10.369202729044835,1.6028830409356725,125.87344834307991,-0.579732667669642,0.8673582994866176,214.55872865620665,11.78863565911323,280.42068430880124,61763.1575749269,-0.004108057592918091,-1.236556477341256,0.9887588360054255,-0.3420201433256687,-0.9396926207859084,-0.507190834411092,-0.28127941075505875
12,9.86780506822612,1.177961013645224,121.68876218323587,-0.5184548637170535,0.6837939725169767,214.60950311168122,11.30423636840445,279.9936826531185,61782.71887183236,-0.004174994464849541,-0.9505261121861817,0.6563469641793868,-0.3420201433256687,-0.9396926207859084,-0.2933810001533641,-0.2183300503104344
13,9.49644921875,0.83915625,115.0208828125,-0.4243751943357568,0.5211131359272503,205.63163859980605,10.783730080424565,279.6203309893608,61833.140213012695,-0.004244446746104627,-0.685129815396713,0.42178275755212885,-0.3420201433256687,-0.9396926207859084,-0.16426374051515025,-0.1457990282350214
14,9.291400390625,0.659509765625,104.588265625,-0.2823860079201439,0.4454520854298701,195.42391854998118,10.502931160910093,279.39111268520355,61892.57406616211,-0.004312179717321911,-0.5248524400469616,0.30776019208512584,-0.3420201433256687,-0.9396926207859084,-0.11414881270046984,-0.06046313938880801
15,9.15565234375,0.58198828125,90.399390625,-0.08277293175907592,0.418613321808266,186.4204474444749,10.351262834883954,279.2033626437187,61941.83360290527,-0.004378821403575196,-0.448400232689952,0.21063976189346564,-0.3420201433256687,-0.9396926207859084,-0.0483522365217734,0.07792274286400357
16,9.031806640625,0.592212890625,88.0268359375,-0.0457453341926335,0.4144566254074893,186.6424842739796,10.216444923849227,279.00895741581917,61962.47172546387,-0.0044282657027801455,-0.44922616438263524,0.1906297040530104,-0.3420201433256687,-0.9396926207859084,-0.027188191011654574,0.12820136865941423
17,8.903103515625,0.61175,86.578037109375,-0.027330748595622456,0.4228938382672665,182.03301269199113,10.066635311457764,278.8027710020542,61956.87921142578,-0.0044637101333883334,-0.46470529036063357,0.1905540725685257,-0.3420201433256687,-0.9396926207859084,-0.021645645273283422,0.1379645816030961
18,8.766640625,0.621654296875,86.43709765625,-0.023002844963907986,0.44241122435865626,174.9037212375952,9.936765704783742,278.58601370453835,61934.013763427734,-0.004487413326910181,-0.47508202071056904,0.19092942088477458,-0.3420201433256687,-0.9396926207859084,-0.018207566608642617,0.14306631984627158
19,8.6063671875,0.620080078125,82.623041015625,0.03866556474852931,0.4737710782939207,142.3930494453341,9.78757176717426,278.18198972940445,61891.71145629883,-0.0045113810570180605,-0.4757923271907039,0.1406606769949901,-0.3420201433256687,-0.9396926207859084,0.033212341789432526,0.19768550605168078
20,8.437517578125,0.59269921875,76.682166015625,0.11732426813551014,0.489852767573331,140.1845419464978,9.688597450856266,277.9750155508518,61859.31269836426,-0.004530460042502439,-0.4352400182902047,0.0798215198660192,-0.3420201433256687,-0.9396926207859084,0.08096963178200911,0.25985146091798667
21,8.279498046875,0.520619140625,72.064087890625,0.19659183992904203,0.5272109582261871,125.63755348274317,9.567678705877283,277.76720413565636,61836.95520782471,-0.0045511962153879934,-0.364030192126865,-0.02127220772416565,-0.3420201433256687,-0.9396926207859084,0.1547728817939543,0.35752591340089684
22,8.1073203125,0.491126953125,62.0435234375,0.33539676977937133,0.5547876954381712,117.78763824094675,9.446434549480065,277.5410085320473,61815.53843688965,-0.0045761712749535464,-0.32059639700369436,-0.10935521410031471,-0.3420201433256687,-0.9396926207859084,0.23693744064131111,0.4593908665150142
23,7.9570390625,0.522779296875,57.947791015625,0.39502710641743766,0.5798601049025797,108.30203246504874,9.333363651922882,277.32378417253494,61816.41805267334,-0.004601874083929902,-0.31217109637279666,-0.17344899175932108,-0.3420201433256687,-0.9396926207859084,0.2932396196824268,0.5222300499051592
