datetime,temp,ws,wdir,katabaticity,ws_model,wdir_model,temp_model,dewpoint_temp,pressure,lapse_rate,u_x,u_y,D_x,D_y,along_valley_component_of_wind,along_valley%
0,1.5131176470588237,2.3276511627906977,202.84883720930233,0.8092890031769255,0.5435190051400268,86.19800678695692,1.7567273450608878,273.96454407447993,58194.693813590115,-0.00469541216449287,0.5983028247506939,1.7457517298616636,0.984807753012208,0.17364817766693033,0.9028582183895798,0.45569549882924293
1,1.3087058823529412,2.5728023255813954,212.4639534883721,0.7372372308248276,0.6151234748762769,82.42885162880879,1.3800971565127214,273.5460943177689,58166.76962209302,-0.00476297302788912,0.7446687883490807,1.6480405568784526,0.9848077530122079,0.17364817766693033,1.019534835615518,0.5413080833506088
2,1.0308823529411764,2.402470930232558,211.91802325581395,0.6834731627213181,0.6858303316959944,74.57228519304117,1.0647661531002466,273.1141884382381,58140.94272347384,-0.004818701000201048,0.684804452239537,1.3798195563048397,0.9848077530122079,0.17364817766693033,0.9140038853243021,0.5013010911412916
3,0.7130000000000001,2.1260406976744184,227.36453488372092,0.6876780473237789,0.7506168759672083,67.74588436882127,0.7289177379926304,272.6817653567292,58122.46575218023,-0.004873278582210347,1.1804830523421272,1.0820343406727821,0.9848077530122079,0.17364817766693033,1.3504421536769102,0.693012423889786
4,0.4814117647058824,2.0110639534883723,225.37662790697675,0.6444963834662591,0.8105885190485492,65.52470959414073,0.38971388874004664,272.23470377367596,58113.792787063954,-0.0049183138286210465,1.0471288352445407,0.8820206234929134,0.984807753012208,0.17364817766693033,1.198315773630198,0.6477290176581671
5,0.3001764705882353,2.030860465116279,228.4017441860465,0.6508364027462131,0.8631595299352017,67.778237799164,0.11586239508785952,271.8820167364076,58119.53842659884,-0.004965689839561945,1.1013504011767312,0.8174492432673408,0.984807753012208,0.17364817766693033,1.2409971851174828,0.6933931774127612
6,0.329,2.0330348837209304,229.26686046511628,0.6473147653638707,0.8987827560388458,67.02158979924901,0.10125409227766889,271.7547992440157,58139.69563045058,-0.0050112435319694636,1.1301445490540365,0.8209657489590758,0.984807753012208,0.17364817766693033,1.270305312168571,0.6933641215346685
7,1.381764705882353,1.775424418604651,222.91895348837207,0.6935346078298398,0.8520556213905096,73.09502196789727,0.977763864353633,272.2977399604265,58168.3734556686,-0.005158263806515867,0.9401364767622483,0.8657994229018583,0.984807753012208,0.17364817766693033,1.0888593383137022,0.6605746666241287
8,3.0006470588235294,1.360081395348837,190.16087209302324,0.7823154940697333,0.7026508628494931,111.1698023138371,2.554100474412747,273.3867435898892,58189.83779978198,-0.0051403853640839174,0.2234205809567726,0.9702817602902857,0.9848077530122079,0.17364817766693033,0.3885139798065908,0.2936246250244318
9,3.9651176470588236,1.5707499999999999,166.01732558139534,0.6352313004579778,0.5878924610388125,170.36207652123645,4.174179825681846,274.1874217543491,58211.80309774709,-0.004900675692005494,-0.21656855291854832,1.0993711276674245,0.9848077530122079,0.17364817766693033,-0.02237459707373456,-0.04700846959532965
10,4.414823529411764,1.9565872093023258,169.25901162790697,0.665546550295621,0.8288319460700947,216.936012305929,5.19408352176197,274.2955384365348,58232.347474563954,-0.004684324894835279,-0.44600470697394745,1.3977234634598064,0.9848077530122079,0.17364817766693033,-0.19651676099577575,-0.013414901403086273
11,4.467,2.516168604651163,178.21982558139536,0.756322495154546,1.0831399932126722,229.65613243691405,5.71077498280805,274.49146093324174,58233.904296875,-0.004538026164563731,-0.3490062597899596,1.9017626157737155,0.9848077530122079,0.17364817766693033,-0.013466457906744653,0.12562366661691213
12,4.319117647058824,3.4373023255813955,179.1360465116279,0.7729071339610678,1.2693110979652855,232.12723459453335,5.87690116062302,274.8498795975086,58233.767396438954,-0.004381127694010382,-0.3827219697051523,2.6776707616053357,0.9848077530122079,0.17364817766693033,0.0880650851310506,0.13650580993437791
13,4.358235294117647,4.3082267441860465,178.89709302325582,0.7638480534370516,1.2848160987323034,235.3289293626289,5.941942796780245,275.39553229753363,58211.96352652616,-0.004298563917908364,-0.4158182019695051,3.3882504133215434,0.9848077530122079,0.17364817766693033,0.17886252060934468,0.13719174877940912
14,4.2287058823529415,4.236744186046511,178.05645348837209,0.7700706457270321,1.254952205362993,238.17964382275898,5.838031662006193,275.68855250158975,58184.951308139534,-0.004236762307763413,-0.35946941454395587,3.355210501773731,0.9848077530122079,0.17364817766693033,0.22861792290830826,0.12521084150882056
15,3.853313953488372,4.240302325581395,176.1593023255814,0.7628365453850904,1.177798240492316,240.4190087808464,5.689410469459832,275.8902667733126,58165.718568313954,-0.00422585715217098,-0.6008639070680271,3.454863286381445,0.9848077530122079,0.17364817766693033,0.008195279582720032,0.09259810836084925
16,3.5152906976744185,3.749360465116279,180.48622093023258,0.7970541431504611,0.9779571182691015,240.02095682090015,5.446208869781568,275.79920640102654,58143.02570857558,-0.004241924648105102,-0.3749087978794544,3.037625192910102,0.9848077530122079,0.17364817766693033,0.15826498835982347,0.15917910633914792
17,3.067732558139535,3.1750058139534882,178.85517441860466,0.806841392597278,0.7995315820013492,241.29983327108536,5.079130521234782,275.52981265755585,58128.56304505814,-0.004296363147701544,-0.28307395981792055,2.6745634979850044,0.9848077530122079,0.17364817766693033,0.18565964717503228,0.14049531831219209
18,2.619186046511628,2.8974593023255815,183.84476744186045,0.7990737802341331,0.5278305779563018,231.3494249628259,4.562178898592436,275.3444299032522,58133.95612281977,-0.004338769843916599,-0.05670721099792118,2.373988441848949,0.9848077530122079,0.17364817766693033,0.3563930656869735,0.21269191103065674
19,2.232674418604651,2.541982558139535,193.2771511627907,0.8131520981315298,0.3432520903707056,179.0824098892125,3.9363160055903235,275.2523711448492,58160.6683775436,-0.004375180064979863,0.2462801134436701,1.9473126547333002,0.984807753012208,0.17364817766693033,0.5875174573151158,0.3451770464005424
20,2.0306976744186045,2.3598895348837208,202.29401162790697,0.7966287222442022,0.3833318049528365,101.24005067394727,3.379100191091019,275.1238845115484,58188.67291969477,-0.004423631299107378,0.5870071194893027,1.6614458103253542,0.984807753012208,0.17364817766693033,0.8872294424494446,0.4634362713830953
21,1.8935465116279069,2.1693081395348837,207.01453488372093,0.8117739223115314,0.46107078049914835,86.58788859435789,2.8165636814650017,274.8324036709098,58217.547011264534,-0.004477426207530106,0.5834330953719868,1.514841555924611,0.984807753012208,0.17364817766693033,0.8575622187392298,0.5086076291875175
22,1.8051744186046512,2.5061337209302326,210.36662790697673,0.7435228042135037,0.48495674401935135,87.24802602709865,2.2398911065981104,274.41247505365413,58222.169422238374,-0.004543587670092697,0.7080222032258963,1.6186766285951026,0.984807753012208,0.17364817766693033,0.989855954791935,0.5104284192433703
23,1.5869186046511627,2.551988372093023,210.8168604651163,0.7709808522338488,0.5185438032454847,87.04522191810175,1.7220757348536757,273.9485173779865,58214.73069585756,-0.004625830156821819,0.710006182869929,1.6902929970806673,0.984807753012208,0.17364817766693033,1.0044151380342372,0.530431132835092
