datetime,Unnamed: 0.1,ws,wdir,temp,ws_model,wdir_model,temp_model,dewpoint_temp,pressure,lapse_rate,temp_era5_uncorrected,u_x,u_y,D_x,D_y,along_valley_component_of_wind,along_valley%
0,532.0,1.0469318181818181,173.03636363636363,0.0,0.5172117560814411,84.57188858831243,0.5050381405782067,272.7921173789284,58121.7890625,-0.004717773840496066,0.15844740434128693,0.23282026215949933,-0.2486550687275879,0.544639035015027,-0.8386705679454239,0.3513113901804256,0.10733857088413776
1,533.0,0.9518181818181817,176.67045454545453,0.0,0.5916454786779997,77.51904778373645,0.03170210807649268,272.3255178278143,58097.13352272727,-0.004798087354758846,-0.3207888516512557,0.20379881811984266,-0.134470255137225,0.544639035015027,-0.838670567945424,0.2524618877684783,-0.03668266261838255
2,534.0,1.0582954545454546,188.7375,0.0,0.6747886724101642,67.2749714628781,-0.4000061552465567,271.7944256175648,58071.55699573864,-0.004872751234784512,-0.7579822887073638,0.23391351483701098,-0.023006413076438623,0.544639035015027,-0.838670567945424,0.15742688367893398,-0.03550678550836828
3,535.0,1.0199999999999998,182.20795454545453,0.0,0.7538808950629055,64.05576703133448,-0.7683443562172275,271.27454688332296,58053.97745028409,-0.004943303081427291,-1.131503573330943,0.06553574525304082,0.02779440202060174,0.544639035015027,-0.8386705679454239,0.012972643750298898,-0.16842912189934325
4,536.0,0.982840909090909,158.7125,0.0,0.7934290821006048,63.593658943558815,-1.1526738549577662,270.74789532748133,58046.22274502841,-0.005001547415129929,-1.5201119856400696,-0.006538323010952426,0.3005182482598878,0.544639035015027,-0.8386705679454239,-0.26776811378049936,-0.35901147701323805
5,537.0,0.9672727272727273,142.30454545454543,0.0,0.8391210405965989,63.93735454548264,-1.4705754604818906,270.34166752208364,58053.06214488636,-0.005060322379851552,-1.8423314874822216,-0.0151186433544922,0.32659938690153456,0.544639035015027,-0.838670567945424,-0.28214349663066424,-0.3033725363492
6,538.0,0.9940909090909091,147.2215909090909,0.0,0.9087675408716129,64.51756298595579,-1.7172263030008603,269.984561920166,58069.255415482956,-0.0051081012351320435,-2.092492398348699,-0.042901395871226856,0.48921914344824774,0.544639035015027,-0.838670567945424,-0.43365947173361846,-0.4325745502680723
7,539.0,1.1881818181818182,164.76818181818183,0.0,0.8819519927496117,69.9550650594511,-0.9334841997141372,270.4113284024325,58101.370916193184,-0.00524288170699022,-1.3186519276011845,0.1778659749585423,0.4508996776025933,0.544639035015027,-0.838670567945424,-0.28782501331324917,-0.31912601622823555
8,528.0,3.577444444444444,178.8033333333333,0.0,0.7229093823030757,97.36540176285038,0.9858637490515504,271.7752682156033,58127.185069444444,-0.0053211605876172016,0.5949452718099185,-0.8442655130110304,1.1376729120842834,0.544639035015027,-0.838670567945424,-1.4139527416166449,0.10256127999015832
9,529.0,2.108111111111111,172.81666666666666,0.0,0.5940981573661324,155.1760708972892,3.055022936219896,272.81697523328995,58151.14505208333,-0.005088367232260909,2.681206597222245,0.5064749031217194,0.028882222528652916,0.544639035015027,-0.838670567945424,0.25162333252391106,0.0694017392944668
10,530.0,2.6719999999999997,148.42,0.0,0.9301421007829521,212.6121976478519,4.5904721049334345,273.11510687934026,58173.33637152778,-0.0048483094393383715,4.234291585286481,-0.055468414330802365,-0.6223821891362054,0.544639035015027,-0.838670567945424,0.49176336038703583,0.13765975858503066
11,531.0,3.4219999999999997,119.91666666666667,0.0,1.2254079826284252,221.54375868496737,5.544968953693407,273.1835910373264,58171.37074652778,-0.004658833466937629,5.202708265516516,-0.10190603795273173,-1.5910482653538787,0.544639035015027,-0.838670567945424,1.2788633461601386,0.36297437614079875
12,532.0,3.9819999999999998,118.14,0.0,1.4183822518187383,226.06083439020844,5.950577203932956,273.5224799262153,58160.54513888889,-0.004474913085049551,5.621828206380231,-0.09898405939503886,-2.032134009369562,0.544639035015027,-0.838670567945424,1.650380401188398,0.3695262591548907
13,533.0,4.420333333333333,160.8111111111111,0.0,1.4187549757529088,229.33143645361537,6.016897228178703,273.9042432996962,58132.113020833334,-0.004364502090783804,5.696259562174502,-0.11907695738419284,-2.1881125523968805,0.544639035015027,-0.838670567945424,1.7702516378849509,0.4040038196799006
14,534.0,4.498,183.0077777777778,0.0,1.3723211999763822,236.05139942876622,5.986955131146745,274.12884758843313,58100.93046875,-0.004259908836994296,5.674001397026933,0.3271610796562416,-2.880887115613765,0.544639035015027,-0.838670567945424,2.5942999281569006,0.5950518644084112
15,535.0,4.452999999999999,170.98,0.0,1.2465119283557726,232.06126287857433,5.695300743618026,274.29058837890625,58075.591319444444,-0.004204638064725611,5.386407470703148,0.11137491381383822,-2.8381591775762494,0.544639035015027,-0.838670567945424,2.440939694961841,0.5306507371699434
16,536.0,4.449777777777777,166.47,0.0,1.0572572213511193,235.16760027392306,5.294673808420426,274.20159301757815,58055.59661458333,-0.004179714278727531,4.987611558702279,0.16812442665185384,-2.6538364377197725,0.544639035015027,-0.838670567945424,2.317261637950823,0.5543641863903259
17,537.0,4.071,234.1622222222222,0.0,0.8614507010923762,228.10933985342328,4.727049011658413,274.0952443440755,58046.652083333334,-0.004193678113247393,4.418960910373286,0.6021993298125156,-1.9874784906683074,0.544639035015027,-0.838670567945424,1.994820976423888,0.4744097682904316
18,538.0,3.2962222222222217,278.0877777777778,0.0,0.5774093333455211,218.55935662861367,3.9258927213751353,274.04713066948784,58052.66111111111,-0.004238827687437798,3.6144877115885645,0.568712356629865,-1.704909984078161,0.544639035015027,-0.838670567945424,1.7396007737586665,0.5192365716835767
