datetime,Unnamed: 0_x,temp,ws,wdir,Unnamed: 0_y,ws_model,wdir_model,temp_model,dewpoint_temp,pressure,lapse_rate,temp_era5_uncorrected,u_x,u_y,D_x,D_y,along_valley_component_of_wind,along_valley%
0,3526.377551020408,2.943843537414966,2.1649013605442176,128.82108843537415,2280.9795918367345,0.7754797685019801,187.67914143331936,5.773851513054012,278.3681176633251,78382.33091517857,-0.0033126398068239384,5.775288297692146,-0.4418725715475171,0.3077419628999825,-0.49999999999999994,-0.8660254037844387,-0.045576071908114656,-0.06921567674474892
1,3532.377551020408,2.9488673469387754,1.949374149659864,129.22006802721089,2281.9795918367345,0.7571495395654269,161.3693609415342,5.46618751089616,278.19305388781487,78367.74402104592,-0.00329062268890591,5.467614746093773,-0.43151747678219365,0.2143780393212529,-0.49999999999999994,-0.8660254037844387,0.0301019103253925,-0.0391952587012146
2,3538.377551020408,2.8222755102040815,2.1005374149659866,119.61020408163265,2282.9795918367345,0.744056535929694,156.5459669233665,5.221523529538463,277.99600282007333,78352.27455357143,-0.0032781554423861404,5.222945357342178,-0.506503581673056,-0.08898718592148148,-0.49999999999999994,-0.8660254037844387,0.3303169544558199,0.016566699794247
3,3544.377551020408,2.774374149659864,2.1240238095238095,118.19863945578231,2283.9795918367345,0.7516178166270109,152.40758608294567,5.070004394137431,277.85689435686385,78333.44690688775,-0.003255140775715902,5.071416239835801,-0.6146676866147666,-0.026373954326236248,-0.49999999999999994,-0.8660254037844387,0.33705299020532414,-0.0023309337651326255
4,3550.377551020408,2.893765306122449,2.5245680272108846,117.2438775510204,2284.9795918367345,0.7469682403478296,156.8525841691293,4.877681074414969,277.67727038325097,78314.51618303571,-0.0032457734055214697,4.879088857222599,-0.7668296368500254,-0.03553501316678096,-0.49999999999999994,-0.8660254037844387,0.422817980937744,0.03818258256811461
5,3556.377551020408,2.973404761904762,2.466081632653061,119.46462585034013,2285.9795918367345,0.7689057425793034,155.45027629406704,4.858013172379997,277.5896665612046,78314.99864477041,-0.0032442123659049615,4.8594202781210365,-0.49483260642604493,-0.02446726096581053,-0.49999999999999994,-0.8660254037844387,0.27420152220315513,-0.03541260464373993
6,3562.377551020408,3.5735408163265308,2.288853741496599,135.5221088435374,2286.9795918367345,0.7705286961663251,154.57864699187115,5.939670537807027,278.3087239168128,78329.89732142857,-0.0033078547464053124,5.9411052470304755,-0.2449610586742602,0.03968591072735792,-0.49999999999999994,-0.8660254037844387,0.0899471791931441,-0.16823154151607048
7,3568.377551020408,4.1682891156462585,2.237537414965986,156.55204081632652,2287.9795918367345,0.7176806291888639,176.71998929612792,7.860658794755289,279.1686323516223,78364.48294005102,-0.00331544084968659,7.862096794284143,-0.225907946300973,0.5538941545070581,-0.49999999999999994,-0.8660254037844387,-0.36673243566032887,-0.45942637457647045
8,3574.377551020408,4.568996598639456,2.375170068027211,178.41020408163266,2288.9795918367345,0.8248840472939116,176.56423128751044,9.367680209692203,278.7987742521325,78378.7578125,-0.0033106900281918835,9.369116148656751,0.02311649531768221,1.1607942059635148,-0.49999999999999994,-0.8660254037844387,-1.016835518589031,-0.7389387379587915
9,3580.377551020408,5.0191224489795925,2.671517006802721,177.25170068027208,2289.9795918367345,0.9255071878495351,176.77484565515942,10.484555023564091,278.3384028843471,78392.14158163265,-0.003275593989194951,10.485975740393837,0.1825492456265388,1.8726608384770542,-0.49999999999999994,-0.8660254037844387,-1.7130464816066657,-0.7486713166288528
10,3586.377551020408,5.380190476190477,2.7482653061224487,184.05578231292517,2290.9795918367345,1.0126251749369823,193.67004090320907,11.356783265070852,278.25812514947387,78395.14756058673,-0.0032302529145499695,11.358184316206975,0.2974267136681114,2.323334803271591,-0.49999999999999994,-0.8660254037844387,-2.160780317963775,-0.8426638429130406
11,3592.377551020408,5.756183673469388,2.9636428571428572,179.37210884353743,2291.9795918367345,1.0462553057316424,184.8865873439051,11.815611596108141,278.30179331253987,78387.3288424745,-0.0031872453110220935,11.816993993642402,0.2471391276176539,2.5895774958256683,-0.49999999999999994,-0.8660254037844387,-2.366209460262347,-0.7990842018061396
12,3598.377551020408,5.853275510204082,3.0274557823129253,183.61530612244897,2292.9795918367345,1.0932331825318862,179.8846685561259,12.04544476496092,278.4117185631577,78373.68391262754,-0.0032059260798637224,12.046835264867688,0.3346507447111108,2.688669502342409,-0.49999999999999994,-0.8660254037844387,-2.4957814637645463,-0.8276439435889932
13,3532.3,6.188006666666666,2.85851,183.09066666666666,2281.96,1.0856736304483103,180.57935731088037,12.07872782241973,278.57880126953125,78364.196015625,-0.003303222391062366,12.080160522460961,0.3641909096703659,2.5582076325072176,-0.49999999999999994,-0.8660254037844388,-2.3975682527416793,-0.8292022119581911
14,3538.26,6.060856666666667,2.77012,178.82266666666666,2282.96,1.0749329929115121,189.34838198981885,11.683328638330098,278.5509979248047,78349.24953125,-0.003417943645170402,11.68481109619143,0.23944966196936338,2.3822389985410863,-0.49999999999999994,-0.8660254037844388,-2.182804321607263,-0.7728446623817031
15,3544.26,5.58202,2.759463333333333,179.77366666666666,2283.96,0.9815088327610184,177.68104146004242,11.167495300766934,278.5724124145508,78360.397578125,-0.003502855788496404,11.169014587402366,0.32841464315561586,2.0536936293706805,-0.49999999999999994,-0.8660254037844388,-1.942758176203081,-0.7454213496827086
