,datetime,Unnamed: 0.1,Unnamed: 0,temp,ws,wdir,katabaticity,ws_model,wdir_model,temp_model,dewpoint_temp,pressure
7078,2022-07-20 22:00:00,28395.0,28395.0,8.58,0.473,136.5,-0.7253743710122876,0.05794679694283875,41.09100946926256,7.243212635156873,279.46031188964844,61945.20703125
7079,2022-07-20 23:00:00,28396.0,28396.0,8.48,0.302,120.9,-0.5135412520581703,0.1580435602081184,83.80199172330812,7.297472889063123,279.49560546875,61970.37890625
7080,2022-07-21 00:00:00,28397.0,28397.0,8.54,0.062,129.2,-0.6320293026648505,0.33374398958956497,91.91738857487306,7.320635730859998,279.33709716796875,61985.9921875
7081,2022-07-21 01:00:00,28398.0,28398.0,8.59,0.209,112.4,-0.3810703763502741,0.31530668747020335,100.12706002394631,7.551012928125623,279.3423156738281,62027.74609375
7082,2022-07-21 02:00:00,28399.0,28399.0,8.77,0.925,134.1,-0.6959127965923143,0.41457503964930376,134.83215094350157,7.723925525781873,279.315673828125,62051.53515625
7083,2022-07-21 03:00:00,28400.0,28400.0,9.18,1.567,126.4,-0.5934188866037013,0.7758800554508009,165.0530136004736,8.17050450527406,279.27967834472656,62052.98828125
7084,2022-07-21 04:00:00,28401.0,28401.0,10.18,1.934,128.5,-0.6225146366376194,0.9498123149812657,183.02788153454867,8.274096424219373,279.6241912841797,62080.23828125
7085,2022-07-21 05:00:00,28402.0,28402.0,11.81,2.517,131.2,-0.6586894601186802,0.8907123690980793,184.5532181504909,8.57797520839906,280.63482666015625,62088.15234375
7086,2022-07-21 06:00:00,28403.0,28403.0,12.45,2.736,136.5,-0.7253743710122876,1.3190499686002874,194.82394413734315,9.792284900781873,282.26824951171875,62073.38671875
7087,2022-07-21 07:00:00,28404.0,28404.0,12.21,2.684,132.0,-0.6691306063588582,1.2950748267886791,190.62562423877432,10.439562732813123,282.92994689941406,62052.08984375
7088,2022-07-21 08:00:00,28405.0,28405.0,11.48,2.896,135.8,-0.716910607650483,1.2426438214505933,199.2356063010637,10.200396473047498,282.6879119873047,62054.59375
7089,2022-07-21 09:00:00,28406.0,28406.0,10.83,1.698,129.8,-0.6401096994849557,1.008550241405981,196.0968548176881,9.125994617578748,281.62583923339844,62036.43359375
7090,2022-07-21 10:00:00,28407.0,28407.0,10.78,0.937,120.0,-0.4999999999999998,0.7781132405199939,197.9041617127513,9.62033360683656,282.10499572753906,61995.3125
