,datetime,Unnamed: 0.1,Unnamed: 0,temp,ws,wdir,katabaticity,ws_model,wdir_model,temp_model,dewpoint_temp,pressure
0,2019-06-05 00:00:00,330.0,330.0,-17.78,6.082,247.7,-0.9909831997148364,0.5974850148284329,344.1766060481121,-1.8677750385657141,270.23143005371094,53445.30078125
1,2019-06-05 01:00:00,331.0,331.0,-17.63,5.7,252.2,-0.977415894286096,0.44169672469380206,337.47118433648177,-1.1505203998938391,270.6741485595703,53493.7265625
2,2019-06-05 02:00:00,332.0,332.0,-17.95,5.14,229.1,-0.9819587126964436,0.23246452112417462,303.8224074213823,0.07297508350459847,270.3272247314453,53533.01953125
3,2019-06-05 03:00:00,333.0,333.0,-17.7,7.045,203.0,-0.7986355100472929,0.2384138643504316,232.53562476076087,0.7225112163170985,270.5812683105469,53568.55859375
4,2019-06-05 04:00:00,334.0,334.0,-16.67,6.801,235.4,-0.9967788784562472,0.47150819757962,210.70395749307454,1.8322676860436609,271.7535858154297,53605.40234375
5,2019-06-05 05:00:00,335.0,335.0,-16.06,6.774,244.2,-0.997314477224458,0.8008171033628795,201.088909100492,2.2440566264733484,272.56776428222656,53613.8046875
6,2019-06-05 06:00:00,336.0,336.0,-15.68,8.74,231.4,-0.9887563810470058,0.9913076483948582,196.60816581750507,2.7005690776452234,274.1243133544922,53626.94921875
7,2019-06-05 07:00:00,337.0,337.0,-14.94,9.52,245.5,-0.9953961983671789,0.881471781212216,204.08643100432477,2.011650010262411,273.23321533203125,53629.140625
8,2019-06-05 08:00:00,338.0,338.0,-14.66,9.27,244.1,-0.997440782930944,1.0268518091391001,217.02921654694026,2.5250624858483484,273.6397705078125,53594.7734375
9,2019-06-05 09:00:00,339.0,339.0,-13.86,7.705,241.1,-0.9998157121216442,1.0874329196079604,219.43672917837424,2.497825547371786,273.9419403076172,53556.17578125
10,2019-06-05 10:00:00,340.0,340.0,-13.63,8.42,230.8,-0.987136265072988,1.1150481564774324,219.77395497323215,2.2977675639733484,274.3155212402344,53532.62109375
11,2019-06-05 11:00:00,341.0,341.0,-13.35,8.79,237.1,-0.998719357184186,0.8248479144824165,229.52376400841018,1.6360091411217859,273.6873321533203,53524.51953125
12,2019-06-05 12:00:00,342.0,342.0,-13.73,8.55,232.3,-0.9909831997148364,0.7984668062261935,212.30808211105665,1.6794966899499109,274.0999298095703,53526.90625
