,datetime,Unnamed: 0.1,Unnamed: 0,temp,ws,wdir,katabaticity,ws_model,wdir_model,temp_model,dewpoint_temp,pressure
7476,2022-08-03 12:00:00,28372.0,28372.0,-1.628,0.787,267.0,-0.9743700647852352,1.238233370186204,191.47083402213568,0.5094432820831377,272.8507537841797,50737.0625
7477,2022-08-03 13:00:00,28373.0,28373.0,-2.611,1.393,278.0,-0.9993908270190958,0.8829004416138585,181.1051521995933,0.05428886313782523,272.55364990234375,50781.75
7478,2022-08-03 14:00:00,28374.0,28374.0,-2.616,0.329,274.0,-0.9945218953682732,0.8476221841622842,179.69882061743292,-0.22528267006529978,272.29689025878906,50832.3828125
7479,2022-08-03 15:00:00,28375.0,28375.0,-3.287,0.103,273.4,-0.9933727656003964,0.7429457561903924,182.1940051607382,-0.6488819132293623,271.9977111816406,50882.3046875
7480,2022-08-03 16:00:00,28376.0,28376.0,-3.473,0.003,167.5,0.3826834323650898,0.8587643830082747,185.28199027549402,-0.7380390177215498,271.9606628417969,50899.7890625
7481,2022-08-03 17:00:00,28377.0,28377.0,-3.8,0.053,98.1,0.9994502159417572,0.8128093585601153,194.41190363678896,-0.7983722696746748,271.9007873535156,50894.890625
7482,2022-08-03 18:00:00,28378.0,28378.0,-3.561,0.002,82.9,0.95579301479833,0.8262148323456944,187.43961963351708,-0.9570484171356123,271.7812042236328,50878.8203125
7483,2022-08-03 19:00:00,28379.0,28379.0,-4.173,0.415,95.0,0.9961946980917455,0.4971888315161547,197.14978734182327,-1.0449695597137372,271.721923828125,50854.48828125
7484,2022-08-03 20:00:00,28380.0,28380.0,-4.631,0.375,127.5,0.8870108331782217,0.38388777693644116,215.06590252964344,-1.5653858194793622,271.2022247314453,50811.3125
7485,2022-08-03 21:00:00,28381.0,28381.0,-5.204,0.767,111.8,0.978867388761685,0.2393553749000244,262.32860121605506,-1.8392505655731122,270.82200622558594,50807.7421875
7486,2022-08-03 22:00:00,28382.0,28382.0,-4.951,1.21,105.7,0.9950555699612262,0.23848548035970624,268.9991580693946,-1.6068897257293622,270.9073028564453,50776.58203125
7487,2022-08-03 23:00:00,28383.0,28383.0,-5.22,0.783,85.4,0.9677091704819712,0.2760281121345694,242.63178957111174,-1.4290027628387372,271.08929443359375,50786.03515625
7488,2022-08-04 00:00:00,28384.0,28384.0,-5.294,0.675,88.7,0.980614658546613,0.22259350047224047,230.24521990448724,-1.3764820108856122,271.21868896484375,50790.953125
7489,2022-08-04 01:00:00,28385.0,28385.0,-4.022,0.363,84.7,0.964557418457798,0.09128534179053892,294.8172816150918,-1.1228199015106122,271.28492736816406,50814.38671875
7490,2022-08-04 02:00:00,28386.0,28386.0,-3.068,0.091,87.2,0.9751493543055632,0.3018443915470595,169.4614784910867,-0.5758991251434248,271.6086730957031,50840.33984375
7491,2022-08-04 03:00:00,28387.0,28387.0,-3.543,0.182,292.6,-0.9759167619387472,0.593052929570121,183.112040656245,-0.3483905802215498,271.8706512451172,50851.95703125
7492,2022-08-04 04:00:00,28388.0,28388.0,-1.078,0.0,0.0,-0.1736481776669303,0.8469241691549081,195.30319389987838,0.18261527915345022,272.15269470214844,50873.3984375
7493,2022-08-04 05:00:00,28389.0,28389.0,-0.88,0.316,280.0,-1.0,0.8540359205349063,194.63560282547385,0.7403392781768877,272.5974426269531,50893.8125
7494,2022-08-04 06:00:00,28390.0,28390.0,-1.015,0.304,240.2,-0.7682835235935231,0.896673196134708,187.34632786093374,1.0006084432159503,273.0245361328125,50883.1171875
7495,2022-08-04 07:00:00,28391.0,28391.0,-0.152,0.595,236.7,-0.7277727576572104,1.2806972942117465,200.8337710334977,0.5036907186065752,272.2444152832031,50845.8125
7496,2022-08-04 08:00:00,28392.0,28392.0,0.896,1.347,252.8,-0.8894163732912975,1.2717207050468107,199.46089397855596,0.4818248738800127,272.52008056640625,50830.7890625
7497,2022-08-04 09:00:00,28393.0,28393.0,0.763,0.971,264.7,-0.964557418457798,1.2826152593323128,201.20713007567082,0.7272014607940752,272.6857452392578,50799.6171875
