,datetime,Unnamed: 0.1,Unnamed: 0,temp,ws,wdir,katabaticity,ws_model,wdir_model,temp_model,dewpoint_temp,pressure
450,2019-06-29 18:00:00,905.0,905.0,-15.99,0.813,358.2,0.3616245700820922,0.6720227208036404,220.6630996259746,-2.3819717813934247,270.69883728027344,50176.11328125
451,2019-06-29 19:00:00,906.0,906.0,-15.6,1.428,265.9,-0.9460853588275456,0.7522287212073325,213.27391630328535,-2.267576639791862,270.9186706542969,50145.8046875
452,2019-06-29 20:00:00,907.0,907.0,-15.83,0.613,300.0,-0.6018150231520483,0.7527385562155542,217.3419141149559,-2.5129532267059247,270.67845153808594,50134.34375
453,2019-06-29 21:00:00,908.0,908.0,-15.87,0.553,282.8,-0.8110638189893267,0.6299810780161695,234.3022884611544,-3.0169205118621747,270.1487121582031,50110.71484375
454,2019-06-29 22:00:00,909.0,909.0,-16.2,0.362,219.2,-0.8845809752150839,0.5052670952310785,253.42356385600633,-3.467802469869987,269.7276306152344,50077.68359375
455,2019-06-29 23:00:00,910.0,910.0,-15.79,2.483,258.2,-0.9809551553491916,0.4972528448507748,279.2958323979486,-3.6068863321746747,269.5810852050781,50075.48046875
456,2019-06-30 00:00:00,911.0,911.0,-15.15,1.536,259.5,-0.9762960071199334,0.37732282018024665,282.53282876541755,-3.272947733541862,269.6033477783203,50101.13671875
457,2019-06-30 01:00:00,912.0,912.0,-14.23,2.472,242.7,-0.9971851335251156,0.3605865669126186,255.07342439315346,-2.8150772501434247,269.9079132080078,50137.73046875
458,2019-06-30 02:00:00,913.0,913.0,-13.88,1.913,217.2,-0.8677654533689283,0.5080801373153102,209.98456297095146,-2.134611551901237,270.284912109375,50162.80078125
459,2019-06-30 03:00:00,914.0,914.0,-13.96,3.507,201.0,-0.6946583704589974,0.7407645026364443,199.95860412659366,-1.5827469278777997,270.0417785644531,50202.34765625
460,2019-06-30 04:00:00,915.0,915.0,-14.32,3.807,208.0,-0.7771459614569709,0.9533654568218807,192.08976132396018,-0.8300003458465497,270.17431640625,50211.54296875
461,2019-06-30 05:00:00,916.0,916.0,-14.36,6.804,209.6,-0.7944146205354179,1.0413744651972696,189.26592257775243,-0.3274521280731122,270.59051513671875,50220.33984375
462,2019-06-30 06:00:00,917.0,917.0,-14.88,6.55,204.7,-0.7396310949786095,1.3524133864863521,179.06648855090418,-0.2026504923309247,271.12864685058594,50219.078125
463,2019-06-30 07:00:00,918.0,918.0,-14.78,5.041,210.1,-0.7996846584870906,1.3014502956235328,177.92649140783368,-0.1716141153777997,271.5610656738281,50211.62109375
464,2019-06-30 08:00:00,919.0,919.0,-14.9,4.662,207.9,-0.776046407066546,1.3327983178937408,185.16942657905378,0.09224086509095031,272.0133972167969,50227.6953125
465,2019-06-30 09:00:00,920.0,920.0,-14.36,5.399,209.9,-0.7975839288252287,1.2678354841285506,186.6728952372525,0.3343215535675128,272.09706115722656,50201.5859375
466,2019-06-30 10:00:00,921.0,921.0,-14.08,5.664,202.7,-0.7156927337037355,1.2997100221143907,191.7034519468894,0.05009608970032531,272.1785125732422,50169.828125
467,2019-06-30 11:00:00,922.0,922.0,-14.38,4.139,206.5,-0.7604059656000309,1.3379665757813062,187.37796707978472,-0.08735508217467469,272.22877502441406,50142.46484375
468,2019-06-30 12:00:00,923.0,923.0,-15.11,2.839,207.9,-0.776046407066546,1.2127757310774971,195.6337774579128,-0.2992538858856122,272.2294158935547,50178.8671875
469,2019-06-30 13:00:00,924.0,924.0,-15.75,1.841,223.7,-0.9184463813430872,1.0002530236998493,189.3482308482307,-0.6795181681121747,272.1100616455078,50197.83203125
470,2019-06-30 14:00:00,925.0,925.0,-15.4,2.426,249.5,-0.9990482215818578,0.9851898008832328,199.83230775316724,-1.0498184610809247,271.9629364013672,50255.13671875
471,2019-06-30 15:00:00,926.0,926.0,-15.04,1.987,263.5,-0.958819734868193,0.8773987723369697,199.5715819460899,-1.5843491007293622,271.5008239746094,50275.140625
472,2019-06-30 16:00:00,927.0,927.0,-15.27,2.356,258.0,-0.981627183447664,0.8363594445302256,205.51502821516448,-2.0426163126434247,271.05345153808594,50289.5390625
473,2019-06-30 17:00:00,928.0,928.0,-15.92,1.864,258.0,-0.981627183447664,0.8054123759891876,205.87716008642374,-2.4550918985809247,270.74481201171875,50275.58203125
474,2019-06-30 18:00:00,929.0,929.0,-16.01,2.429,256.1,-0.9874138067509114,0.7149430419995391,199.3270957869597,-2.5323318888152997,270.64808654785156,50251.00390625
475,2019-06-30 19:00:00,930.0,930.0,-16.17,2.339,259.3,-0.9770455744352636,0.7357949247616491,204.02956617642465,-3.070738260885612,270.159912109375,50223.3515625
476,2019-06-30 20:00:00,931.0,931.0,-16.28,3.182,262.3,-0.964557418457798,0.523443277392957,223.02848484912522,-3.3649124552215497,269.854248046875,50180.6796875
477,2019-06-30 21:00:00,932.0,932.0,-16.57,4.45,246.8,-0.9999939076577904,0.378607520344228,246.06095696333463,-3.460356180807487,269.6898498535156,50156.53515625
478,2019-06-30 22:00:00,933.0,933.0,-15.92,4.554,247.9,-0.9998766324816606,0.29641419413759146,258.8786387479655,-3.526243631979362,269.53257751464844,50146.16796875
479,2019-06-30 23:00:00,934.0,934.0,-15.86,3.04,244.5,-0.9990482215818578,0.23528427976633404,296.3457000953731,-3.9820694376434247,269.0131072998047,50158.08984375
