glacier_name,upred,uera5,uobs,Tdewp,e,es,P,Tera,Qshf(obs),Qlhf(obs),Qthf(obs),Qshf(ERA5L),Qlhf(ERA5L),Qthf(ERA5L),Qshf(param),Qlhf(param),Qthf(param)
Arolla,3.751417716238988,0.849245506,3.382660743,-0.11387053436368433,606.1779077003501,1026.2001184276646,71993.54333877233,7.356431653,46.22095373855826,-50.86742860346247,-4.646474864904214,11.604160224087982,-12.77069692332027,-1.166536699232287,51.259679255481906,-56.41268437499673,-5.153005119514823
Balcony,3.0896218081984426,0.828125985,3.419413085,-3.5148695932603573,471.8411068582027,317.3541005318554,50300.25107341167,-8.708959268,-38.646279227561664,18.912659825171268,-19.733619402390396,-9.359497450688837,4.580337226699794,-4.7791602239890425,-34.91897122081727,17.088595263092554,-17.830375957724716
Bellavista,4.046655219370368,0.88862451,3.578074536,0.8595731917197327,650.4065313476284,816.5534686608039,72869.93120796971,4.058043695,27.29820983342772,-21.28388029851988,6.014329534907841,6.7795844086091135,-5.285909365743542,1.4936750428655712,30.873153197473748,-24.071193719386404,6.801959478087344
Bishop,3.018933281010575,0.746102713,3.179746189,-2.9608136918190553,491.73469406965427,376.43902196133826,50665.54368519073,-6.500839037,-27.020556030068946,13.1254603768841,-13.895095653184846,-6.340163322011282,3.0797871951053484,-3.2603761269059337,-25.6540148244474,12.461651592645724,-13.192363231801677
Camp2,1.3011812906001978,0.800009641,1.101832789,-3.216199071361416,482.474282991446,557.4295033468309,50563.640255781655,-1.26265776,-1.814927926111303,-2.9568320833721633,-4.771760009483466,-1.3177678619701871,-2.1468721907093715,-3.4646400526795587,-2.143292779830176,-3.4917953293276542,-5.635088109157831
Chottashigri_BC,2.069308383875452,0.816180949,2.407582807,-0.4058365972756519,593.4430160555744,718.56619136263,58103.90728180241,2.250518812,8.122485129628327,-10.78519681701325,-2.662711687384924,2.753557469368669,-3.656228208503591,-0.9026707391349218,6.981245474828474,-9.269836173569402,-2.2885906987409284
Chottashigri,1.907427763485007,0.779397647,2.619026647,1.0126811879844695,657.617339093041,803.4866782625462,58176.66245832365,3.828482635,15.049951737610721,-13.677698209610904,1.372253527999817,4.47872379809252,-4.070354081031559,0.40836971706096037,10.960826158951301,-9.961418810100792,0.9994073488505091
Djankuat,3.927833244860648,0.680562497,5.119577144,2.9973123561998705,757.7102007902462,1125.0295602010654,71659.87616001001,8.708456717,82.42729509478713,-67.3266482297923,15.100646864994829,10.957335770671646,-8.94995632356235,2.0073794471092956,63.239728760935314,-51.6542362276818,11.585492533253515
Drangdrung,4.050602531295634,0.703029922,4.203627113,-4.286297200297724,445.33404270202595,675.1802582209442,56415.48144472356,1.379461377,8.440180502048731,-34.59159808869905,-26.151417586650318,1.4115665544336404,-5.785224962258312,-4.373658407824671,8.132932723852342,-33.33236060504151,-25.199427881189166
Hinterisferner,2.951317546698072,0.799428142,3.88572662,0.41143814722698835,629.7021681773207,778.6821539475616,72919.46696370443,3.383468008,24.73417950482199,-20.725702287614382,4.008477217207609,5.088674808891812,-4.263992630400931,0.8246821784908818,18.786297934608942,-15.741747891949409,3.0445500426595338
Kalapathar,1.811091667683916,0.879146375,1.963521594,-1.6440189411915185,542.0339085453155,624.2689245874504,53165.66567230748,0.291675913,0.7855741961266158,-5.78098107635155,-4.995406880224934,0.3517326771086447,-2.588374160359789,-2.236641483251144,0.7245893731446298,-5.3321983778593935,-4.607609004714764
Kennikot,0.8030584899967681,0.862527212,1.972768192,7.109800867300635,1009.0237483102857,1287.025286830313,90928.78307111801,10.71303292,49.580349195463185,-19.635064886548257,29.94528430891493,21.677356992559066,-8.584778405649377,13.092578586909688,20.18276679433665,-7.9928831084782646,12.189883685858387
Langenferner,2.4525343304464475,0.761374842,3.366824183,2.47847623489821,730.3203775721005,970.6973414598633,75768.80892365878,6.545825026,43.08191468024351,-28.97492815901348,14.106986521230027,9.742559812998673,-6.552400764025949,3.190159048972724,31.38265291908235,-21.106539031949218,10.276113887133132
Lirung,1.6363099585465726,0.837769605,0.959412022,1.9372009581664429,702.6840772929493,902.5409869280201,55918.25912875696,5.492396093,7.602218608031453,-6.86488724276204,0.7373313652694131,6.638344667703321,-5.9944984447342,0.6438462229691213,12.9658433812808,-11.708299564783703,1.2575438164970976
Morimoto,2.163405583577101,0.834955278,1.992633634,-0.3011005239369524,597.9838010482413,680.6034358683827,53513.39492434738,1.491009619,4.10194763155166,-5.8941313805523805,-1.7921837490007206,1.7188020751052213,-2.469764647873869,-0.7509625727686475,4.453491228001488,-6.399268044787016,-1.9457768167855285
Place1,2.9738726649079537,0.767711231,2.966269777,4.67819701652013,852.7980823242781,1286.8862255997722,87208.11839535456,10.71140999,71.48812585848,-46.09965284010604,25.388473018373965,18.502105752566763,-11.93122132887863,6.570884423688133,71.67135808228718,-46.21781151058725,25.45354657169994
Place2,3.5505615589390227,0.747199921,3.095600666,5.066609297377852,876.2168611989746,1271.2798646921815,87209.53662965294,10.52828404,73.3307639598956,-43.784498226799386,29.54626573309622,17.70019681140088,-10.568473503516534,7.131723307884345,84.10819730830114,-50.219512480718556,33.88868482758259
Place3,3.2177331746953914,0.770075134,3.200515495,5.375319033029484,895.2339325576274,1320.7543821636796,87207.67961980765,11.10217879,79.94707669769345,-48.75840099875567,31.18867569893778,19.236043661424166,-11.731745164615273,7.504298496808893,80.3771646511229,-49.02070453459779,31.356460116525106
