,Estimator,RMSE,RMSE_era
149,96h,1.499765570596346,2.7798899100506054
150,120h,1.4516284921809195,2.7631153323370894
151,144h,1.417100264463496,2.7517889681533187
152,168h,1.3852814425710729,2.741364823491871
153,192h,1.3536918494662362,2.729603063426081
154,216h,1.3251480602957504,2.7187772731211353
155,240h,1.300956897104531,2.70978557471703
156,1h,1.0656297063860587,0.5192386176172685
157,6h,0.9772993665231037,0.38398197697088127
158,24h,0.828804277161614,0.2265993049256667
159,48h,0.8147117779784383,0.20289526039342448
160,72h,0.8033224022408042,0.189191752113611
161,96h,0.7945244715801086,0.17969418055689756
162,120h,0.787949128140669,0.17265976435598035
163,144h,0.7832458322543553,0.16696630116222827
164,168h,0.7799295782579863,0.1620662768947317
165,192h,0.7768665558565298,0.1587581897432679
166,216h,0.7737014332564265,0.15671545152539273
167,240h,0.7709420912401419,0.15543805316701526
168,1h,1.1148950128025856,1.6240749187680317
169,6h,0.8561327231604492,1.4196139891674509
170,24h,0.6184607308504076,1.2281980300672468
171,48h,0.5691539846131066,1.2104015307307119
172,72h,0.5443495376557363,1.2035148684183283
173,96h,0.5324163406328363,1.1984413234373754
174,120h,0.5243463434942908,1.1935679335328995
175,144h,0.5172553801112738,1.1897805233988787
176,168h,0.510603902083039,1.1867049762431958
177,192h,0.5037101557326716,1.1840596252560098
178,216h,0.49658738937333735,1.1817380651672278
179,240h,0.48952095154084607,1.179567018687321
180,1h,1.2049830010174967,2.7307200113571923
181,6h,1.065411137068567,2.667992632879604
182,24h,0.9049172318099049,2.597550106232398
183,48h,0.8083979266664362,2.5516121020801936
184,72h,0.7429099052370762,2.5146763582141167
185,96h,0.6926796513130183,2.4862207563005883
186,120h,0.6473633907268521,2.463132656764848
187,144h,0.6101988672906506,2.447506870642711
188,168h,0.5814633011321406,2.4406632182865393
189,192h,0.5586589654423912,2.4400364394262595
190,216h,0.54021635821012,2.440203871911846
191,240h,0.5226349844301214,2.4393803863667483
192,1h,1.3713631514499194,2.7041624446507773
193,6h,1.2453899139294384,2.641871011674427
194,24h,1.0254850970109328,2.5517097939809648
195,48h,0.8528482929344017,2.4931812218929243
196,72h,0.7700828578814022,2.46512177632764
197,96h,0.7227566492045943,2.451856813255851
198,120h,0.684519637690326,2.4366143069958253
199,144h,0.6535644907387305,2.424283411381048
200,168h,0.6268828758736433,2.418031750212917
201,192h,0.6067921039864397,2.4163316044773993
202,216h,0.5910222033560094,2.4157040215990517
203,240h,0.5775729090415241,2.4143991089101684
204,1h,1.7230121468417463,3.0579334266265374
205,6h,1.5835452674233663,2.9816495785453805
206,24h,1.3586126020500278,2.875889265471347
207,48h,1.2184063644718672,2.820921662963922
208,72h,1.1154051940997856,2.783760413628947
209,96h,1.0400794062431384,2.75710275553156
210,120h,0.98154288957735,2.7367587395826085
211,144h,0.9357191702623484,2.723792198167546
212,168h,0.9011261347361055,2.717413344040567
213,192h,0.8727386544741929,2.715138563911178
214,216h,0.8489302400560376,2.712054665283317
215,240h,0.8259618242629052,2.7075121110441156
216,1h,1.630374110550568,2.7116541249937547
217,6h,1.4679145450981848,2.616172494242446
218,24h,1.2492963002571582,2.502379871820778
219,48h,1.1300334186843857,2.454247665153366
220,72h,1.0672495094734793,2.4360935165780475
221,96h,1.0269527077244307,2.4286501677383794
222,120h,1.0039470994154895,2.4278766920525787
223,144h,0.9865246648268249,2.4275461591752925
224,168h,0.9691638293089582,2.4256304158088997
225,192h,0.9537335673491826,2.4230880757867954
226,216h,0.9414122756624219,2.4207660558593482
227,240h,0.9330830474158541,2.4193472990930007
228,1h,1.550757775328905,1.7050705775016175
229,6h,1.3101048346578128,1.5195930661214323
230,24h,1.0306883207425481,1.1459429803945544
231,48h,1.0000189648979187,1.130290643377426
232,72h,0.9791372328134372,1.1210820027773873
233,96h,0.9649622824556494,1.1156603077531293
234,120h,0.9541051066254703,1.112198884409419
235,144h,0.9438951727215672,1.1088683477512173
236,168h,0.9341816579563552,1.10600892344748
237,192h,0.9251583201087914,1.1045764468472064
238,216h,0.9167892925855496,1.1037314650423948
239,240h,0.9085507024552657,1.1029185128494976
240,1h,0.7673085301039507,1.1418295253691877
241,6h,0.5953329541450484,0.9555867143344198
242,24h,0.5310943089065406,0.6611442527201041
243,48h,0.4929992722820813,0.6250286542161775
244,72h,0.4779658083149781,0.6097869195641621
245,96h,0.4639480072776554,0.6013422004503706
246,120h,0.4564249293042337,0.6005643577783659
247,144h,0.45178086424105945,0.6014972106294275
248,168h,0.44483224896854834,0.6013168890048172
249,192h,0.43838881825359666,0.600881265294342
250,216h,0.43399177193735894,0.6007308359756441
251,240h,0.4316735499399874,0.6012145253637586
252,1h,2.14733579162088,2.2364473190582155
253,6h,1.9071557725948707,2.006479199692844
254,24h,1.4292415627032948,1.7445290921160441
255,48h,1.1582973420571503,1.6329485740340572
256,72h,1.0092633592664915,1.581709616688144
257,96h,0.9152038443676543,1.552540810392753
258,120h,0.8384379608030932,1.5312374218653653
259,144h,0.7742901119307103,1.5163077133048757
260,168h,0.7206099392160096,1.5030037187421128
261,192h,0.6783379314960806,1.4922793770147937
262,216h,0.6436820454085793,1.4838538370432564
263,240h,0.6127108804207808,1.476940891651977
264,1h,3.9320386713647615,5.124350735531538
265,6h,3.7828077036123107,5.010564165673669
266,24h,3.530993298871682,4.831746175601562
267,48h,3.391332793882634,4.735774627549538
268,72h,3.2753443666430235,4.6586553585091774
269,96h,3.1817463048612167,4.5985707752098985
270,120h,3.104258068429774,4.549756180959099
271,144h,3.042115167609753,4.512010076251749
272,168h,2.9827221196065823,4.473896076977706
273,192h,2.914510525446372,4.425897682117356
274,216h,2.8402232966588614,4.371394875047352
275,240h,2.771379493971855,4.319856430470407
276,1h,0.7426491774753369,1.0450079667517551
277,6h,0.624080719835507,0.9475023368660402
278,24h,0.5298040727582829,0.8469403987846551
279,48h,0.5071213383666052,0.8381102507435501
280,72h,0.4878205638051345,0.8343260537890904
281,96h,0.4736576413031492,0.8321793628132612
282,120h,0.46287630191562334,0.8306680626459927
283,144h,0.4544064278771847,0.829101194916402
284,168h,0.44749150296463175,0.827390927875084
285,192h,0.44093551985249674,0.8262709629185531
286,216h,0.4340562430633926,0.8252848706271736
287,240h,0.427368243316679,0.8245965532336844
288,1h,1.2119079433075823,3.095609865442219
289,6h,1.0408946104818304,3.045558061938313
290,24h,0.760841261039243,2.9892238178204265
291,48h,0.645867167023552,2.9628422095721327
292,72h,0.5678124039843571,2.9346723197194975
293,96h,0.5256899463505967,2.90696515906721
294,120h,0.503105816513587,2.882987707004558
295,144h,0.4890245407174499,2.8677794092764737
296,168h,0.48185941652667,2.857279195109073
297,192h,0.47986175928513747,2.8470032111629084
298,216h,0.4801775420780331,2.83580295142576
299,240h,0.4813412076804511,2.82632316770374
300,1h,1.4236261483126584,2.1509753176212802
301,6h,1.286582642006543,2.0575742529287298
302,24h,1.1208458215894266,1.9596571875668385
303,48h,1.0180010384716236,1.9147259090259785
304,72h,0.955443260328118,1.8929925415480724
305,96h,0.915446982886459,1.8739663497850447
306,120h,0.8818183432180718,1.8630557999873556
307,144h,0.8583716086720531,1.8520648755121272
308,168h,0.8335632221601764,1.845167058008397
309,192h,0.808147945303947,1.8415127063130445
310,216h,0.787410859543268,1.8363342293123703
311,240h,0.7722921008119631,1.8331530995319836
312,1h,1.6977325873525688,1.5269086736507698
313,6h,1.5527195265348537,1.3586062998317099
314,24h,1.3755637813522839,1.1985205784737778
315,48h,1.329111024703515,1.1690317298931932
316,72h,1.3037964674182547,1.1563302292541406
317,96h,1.2860516533584252,1.1499187021552524
318,120h,1.2722515273846309,1.146502616601293
319,144h,1.2622332219155827,1.1449512306320362
320,168h,1.255237786808411,1.1431712455133276
321,192h,1.2492425300637424,1.1419357474831402
322,216h,1.2443150412849557,1.1413825739998202
323,240h,1.2400852180618172,1.1409617021828506
324,1h,0.9139495622646098,0.7510909667363845
325,6h,0.7569563069007289,0.5449207979672782
326,24h,0.6134715087683192,0.38192051037738817
327,48h,0.5890260876313691,0.3547019759654478
328,72h,0.5697856845051832,0.3380453832478616
329,96h,0.5558486024201345,0.32736516676727656
330,120h,0.5464756978887089,0.32110159843095964
331,144h,0.5389959867761179,0.3157503069871908
332,168h,0.530878462549883,0.31001995120325765
333,192h,0.5225444631604452,0.3044262373985715
334,216h,0.5152310019499552,0.2994933227315379
335,240h,0.5086001506228957,0.2947889021067285
