,0
0,2.5526935569432534
1,2.609102940784422
2,2.713489574128504
3,2.4797847980080148
4,0.3773630213365236
5,1.9830680852214928
6,1.9626825013100475
7,4.823810737335469
8,3.5505447115938993
9,3.08827587210722
10,1.6410089979195606
11,1.2585143361070399
12,2.634061877018974
13,0.23318664371511796
14,1.2997175129077227
15,2.2035708634875237
16,2.352869943913
17,2.435761019919425
18,2.205185050693657
19,1.411162635320996
20,0.7681518257987463
21,1.6297576537050278
22,2.2041954721112096
23,0.9484708760182577
24,2.8682226136544804
25,1.8521964848403156
26,1.1543669895083266
27,0.3944618581811163
