,ws_obs,ws_pred,ws_era,temp,datetime,temp_era
0,3.170958333333333,3.219177563113087,0.5354119527513408,,0,4.584268907563025
1,3.132361111111111,3.099489102162732,0.5205181403944726,,1,4.41670868347339
2,3.1191319444444447,3.0260991955612013,0.5120486394234885,,2,4.3253361344537815
3,2.997916666666667,2.958065449596644,0.5081194665272113,,3,4.249551820728291
4,3.0001666666666664,2.8939921680603695,0.5062733263003181,,4,4.144390756302521
5,3.055826388888889,2.833520766888433,0.5041695525447165,,5,4.04577731092437
6,2.984611111111111,2.7851242748796485,0.5098142313426728,,6,3.990546218487395
7,2.9563888888888887,2.7453769223993043,0.5136709698727218,,7,4.149068627450981
8,2.910708333333333,2.7636759435054685,0.5429228924687799,,8,4.484341736694677
9,3.0209402777777776,2.899737344379703,0.6544670142468891,,9,4.8555756302521
10,3.095139470013947,3.0897865777154956,0.7896798486018125,,10,5.2070182841068915
11,3.183967921896792,3.2533606410549005,0.9160885829492948,,11,5.55740506329114
12,3.2488515406162466,3.379456946037439,1.007550742615242,,12,5.943170903954802
13,3.362086834733893,3.454341069847713,1.1011139886479586,,13,6.23603813559322
14,3.3957913165266107,3.5291914526454544,1.1830073410355726,,14,6.4365324858757065
15,3.441827731092437,3.584087513146832,1.2406637122492223,,15,6.519964689265536
16,3.434588563458856,3.6166561288837893,1.2479065638941669,,16,6.491617440225035
17,3.434532775453277,3.6177088053322786,1.1936310784953634,,17,6.42789029535865
18,3.397803347280335,3.593022074140979,1.049187619353834,,18,6.25323488045007
19,3.3892119944212,3.5468724623913483,0.8754725287401284,,19,5.88407876230661
20,3.340334728033473,3.4763291913157257,0.7470270906590706,,20,5.462208157524613
21,3.34826359832636,3.3950312380678267,0.6584054646983503,,21,5.188410689170183
22,3.270278940027894,3.312023526252798,0.5988750646816888,,22,4.9417791842475385
23,3.120683403068341,3.242574583350227,0.5657773925482585,,23,4.731209563994374
