,ws_obs,ws_pred,ws_era,temp,datetime,temp_era
0,3.594347008547009,3.7942659270746146,4.902194444818715,,0,6.684506024096385
1,3.577774358974359,3.6928302635699564,4.868333778280745,,1,6.642678141135973
2,3.504955555555555,3.6750695625185137,4.859198191127865,,2,6.5241531841652325
3,3.4717521367521367,3.661631392835695,4.848137063716354,,3,6.459772805507746
4,3.523365811965812,3.650039300805573,4.923465068484008,,4,6.3713717728055075
5,3.5032324786324787,3.644310941716204,4.918347247294074,,5,6.308721170395869
6,3.449500854700855,3.635898379837412,4.919164307115613,,6,6.273435456110155
7,3.4463504273504277,3.6325938069958417,4.966072024812152,,7,6.266120481927711
8,3.479454700854701,3.644756560637026,5.090466050980764,,8,6.406089500860586
9,3.568196581196581,3.6755063819413896,5.311120222771074,,9,6.589989672977625
10,3.7301299145299143,3.724431368657018,5.5770519916197365,,10,6.91826678141136
11,3.874697435897436,3.783480934959956,5.828606647886672,,11,7.257855421686748
12,4.078080341880342,3.8444401627670164,6.072265457134293,,12,7.561080895008606
13,4.216581196581196,3.899084287720339,6.277041384506192,,13,7.793621342512909
14,4.39751282051282,3.9431999649228966,6.4144755043739305,,14,8.045382099827883
15,4.486373287671233,3.974965712732627,6.484077609099862,,15,8.128351724137932
16,4.570835616438356,3.9939178892622067,6.461249594833573,,16,8.243356896551724
17,4.616698630136987,4.005996743041845,6.414457401199761,,17,8.282665517241378
18,4.62252397260274,3.987057462764785,6.255636807497774,,18,8.106208620689655
19,4.47480308219178,3.9547044092883925,6.014560377878775,,19,7.931332758620689
20,4.28032705479452,3.9120734465205986,5.723199291807754,,20,7.61431724137931
21,4.065661538461538,3.8583717551506775,5.386994703911026,,21,7.315162348877375
22,3.822350427350427,3.8007660324087627,5.107032329281871,,22,7.04287219343696
23,3.6196170940170944,3.749826183208536,4.940584867971469,,23,6.85300518134715
