,ws_obs,ws_pred,ws_era,temp,datetime,temp_era
0,1.3480027548209366,2.1766598006647118,0.4731108896285404,,0,2.232434210526316
1,1.3296270718232044,1.7274514913588312,0.4939551327753309,,1,2.06251875
2,1.1894337016574583,1.6693030226304706,0.5042163778997083,,2,1.8968569444444445
3,1.1812154696132595,1.6310175509622344,0.5190561232235718,,3,1.7499944444444446
4,1.1285911602209946,1.5755977127280385,0.5396883725059716,,4,1.6807895833333333
5,1.1129166666666666,1.5183759811053448,0.5654141548200274,,5,1.6465417827298052
6,1.0618384401114205,1.3546638155033761,0.5486020900802647,,6,1.8843896648044691
7,1.1345959595959596,1.452920718170517,0.5326310871648477,,7,3.237531767955801
8,1.3556014692378329,1.9649421998480834,0.7866287413458739,,8,4.603578729281768
9,2.0419421487603304,2.340005582242721,1.01074925903903,,9,5.385564226519337
10,2.858585164835165,2.517409450665144,1.2173525996704315,,10,5.674077134986226
11,3.488804945054945,2.6277078245696703,1.3749129541839085,,11,5.657210743801653
12,3.8494505494505495,2.7648289152514316,1.4785737458051134,,12,5.36680303030303
13,3.925549450549451,2.8858930179642526,1.5290701067669663,,13,5.037657713498622
14,3.58202479338843,2.9244117833507204,1.4651808535080613,,14,4.690103591160221
15,3.140178571428572,2.904108313807977,1.3687865752752424,,15,4.326732093663912
16,2.6993818681318684,2.8253791028649955,1.1667893152227684,,16,3.9656914600550968
17,2.201923076923077,2.648429738478376,0.9502964366940012,,17,3.565675619834711
18,1.904532967032967,2.5025421629802582,0.7343649458943158,,18,3.2376260330578517
19,1.6473214285714286,2.3528472622882632,0.6450306207750796,,19,3.05331955922865
20,1.461813186813187,2.205895412631338,0.5895747610535403,,20,2.9085571625344353
21,1.4510989010989013,2.111343478833765,0.5412909016117016,,21,2.768296143250689
22,1.3705357142857142,2.0115579911225567,0.515164403822123,,22,2.6151267217630854
23,1.358241758241758,1.909560768739213,0.4884862299931819,,23,2.4206501377410468
