,ws_obs,ws_pred,ws_era,temp,datetime,temp_era
0,4.16546875,3.6169021608881238,0.4080471046615591,,0,4.4738541666666665
1,4.059342105263158,2.6231108511859773,0.4133643078016181,,1,4.198384210526315
2,3.907921052631579,2.402398023837665,0.4258928284700069,,2,3.859415789473684
3,3.7057894736842103,2.21455503498096,0.4378723566763713,,3,3.5905526315789476
4,3.6545,2.041298419156459,0.4663875831435698,,4,3.211457894736842
5,3.5753645833333336,1.8758277299226813,0.4942562416160474,,5,3.0292499999999998
6,3.4729166666666664,1.770882786153446,0.5203476941968097,,6,2.9467916666666665
7,3.3433333333333333,1.9559145161171159,0.5314478413859924,,7,3.6284947916666668
8,2.917760416666667,2.577159683996168,0.5536926220393227,,8,5.141526041666666
9,2.849817708333333,3.4042328973859597,0.65363001651829,,9,6.541104166666667
10,3.339739583333333,4.16558016705207,0.8170784643617388,,10,7.349390625000001
11,4.173932291666667,4.749783985907242,1.0434693883461232,,11,7.4796249999999995
12,4.748736842105263,5.12669589471235,1.2851034680697235,,12,7.582310526315789
13,5.141236842105263,5.317746392354324,1.3477252864948617,,13,7.748026315789474
14,5.329342105263158,5.333990121579681,1.3327815440964543,,14,7.657547368421053
15,5.341119791666667,5.309432989195976,1.2469035364949808,,15,7.608208333333334
16,5.355286458333333,5.21658334210799,1.106939228814773,,16,7.340796875
17,5.0980468750000005,5.058552129877244,0.9406220963434,,17,6.739171875
18,4.950859375,4.804864896663847,0.7479100575860061,,18,6.257265625
19,4.654635416666667,4.426474289569873,0.5100839316508029,,19,5.922833333333333
20,4.390026041666666,3.9812277738031967,0.3936639837076129,,20,5.707010416666667
21,4.253359375,3.584331938489479,0.3872666509386728,,21,5.2597604166666665
22,4.196901041666667,3.236172079954054,0.4034392750275926,,22,4.912817708333333
23,4.261614583333333,2.9170652044338192,0.4047926103758939,,23,4.684692708333333
