,temp,ws,temp1,ws_model,dt,dtemp,ddt,ws_pred,d_ws_pred,ws_pred_upper,ws_pred_lower
1,-1.381471247402958,-0.32516346671960916,-1.8600753970265123,0.7086780268491781,-0.1376641550844102,0.09271461657546684,0.18542923315093368,0.573129625914941,0.09888052773255446,0.6720101536474954,0.47424909818238653
2,-1.45713189413041,-0.3579669349277017,-2.0519829114773787,0.7233601761867106,-0.0756606467274521,0.0920588049872493,0.1841176099744986,0.5359746555157467,0.0987909327247771,0.6347655882405239,0.4371837227909696
3,-1.5478542560963202,-0.36288022972538947,-2.199381755408015,0.7513377332842862,-0.0907223619659101,0.09108818234395494,0.18217636468790988,0.5119923981906894,0.09881182317727344,0.6108042213679629,0.413180575013416
4,-1.657156076421364,-0.3783426574710542,-2.3457690386450087,0.7563296990416137,-0.10930182032504376,0.09309286454923645,0.1861857290984729,0.4831983594559397,0.10050005267236148,0.5836984121283012,0.3826983067835782
5,-1.7346122739184016,-0.3569553742340601,-2.476549385465817,0.7850307004972541,-0.07745619749703758,0.09751270597413673,0.19502541194827347,0.4524382397377653,0.10315760570066648,0.5555958454384318,0.34928063403709886
6,-1.1313609874842676,-0.3787761834826149,-2.369179443269286,0.6926739511665619,0.603251286434134,0.09776497454334872,0.19552994908669744,0.47834455392793274,0.1125116636250337,0.5908562175529665,0.365832890302899
7,0.010526582209671176,-0.3674579986443982,-1.4181521028932318,0.5250288969536911,1.1418875696939388,0.09212917998703042,0.18425835997406084,0.6998957210053094,0.13004067155729626,0.8299363925626057,0.5698550494480131
8,0.7334743110952084,-0.2116977359186183,0.4744349250213826,0.7361936072888027,0.7229477288855373,0.12752251115592497,0.25504502231184994,1.0149985530642336,0.12533893137287075,1.1403374844371044,0.8896596216913628
9,1.1380252255584313,0.1393167919264181,1.558165352785709,0.985023264944819,0.4045509144632229,0.12789513192174842,0.25579026384349685,1.2106421571990067,0.11787927886773703,1.3285214360667437,1.0927628783312697
10,1.491639537209494,0.4929360446654386,2.5051578926614777,1.1456806429918742,0.3536143116510626,0.13870041757151252,0.27740083514302505,1.329343777321787,0.12296369755660394,1.452307474878391,1.2063800797651831
11,1.8652262970046376,0.6720998180756571,3.3019275089401976,1.2718888682386056,0.37358675979514366,0.15592330515910646,0.3118466103182129,1.4377746681801067,0.13204705215098042,1.5698217203310871,1.3057276160291262
12,1.9594699377342026,0.6948697463228971,3.574494909236062,1.3647848599795394,0.09424364072956504,0.16695312515478736,0.3339062503095747,1.5305526193599222,0.1351917726599995,1.6657443920199215,1.3953608466999228
13,2.0046353666882055,0.7034836953130924,3.3058533873783933,1.3746110435054923,0.045165428954002884,0.16445228951392454,0.3289045790278491,1.5555079270364838,0.1344849705139043,1.689992897550388,1.4210229565225796
14,1.8018884150632832,0.6682097012135378,2.8095309656848393,1.2931913198553684,-0.2027469516249223,0.15328879050527774,0.3065775810105555,1.5512028087004675,0.13070695823799566,1.681909766938463,1.4204958504624718
15,1.4199360009406403,0.46417554898856495,2.135283996853506,1.167572940497468,-0.3819524141226429,0.13411451628084822,0.26822903256169645,1.476873876710317,0.12371733717613827,1.600591213886455,1.3531565395341787
16,0.8419054294274408,0.3035937587139169,1.3107338515284042,0.9580066826026208,-0.5780305715131995,0.11133742228873315,0.2226748445774663,1.347104754895775,0.11634471407379215,1.4634494689695672,1.230760040821983
17,0.4220806758718334,0.1512816199855932,0.5491731578867842,0.731191497809258,-0.41982475355560744,0.09730454878517354,0.19460909757034708,1.1836934848887373,0.10368679687894397,1.2873802817676812,1.0800066880097934
18,-0.003407010126998955,0.022379885881546824,-0.10241643748894003,0.5377386891440878,-0.42548768599883235,0.0925637329793204,0.1851274659586408,1.0562683517750207,0.10062630216838413,1.1568946539434048,0.9556420496066366
19,-0.28322603735445373,-0.11711915072731627,-0.5380137399937572,0.5106716158537631,-0.2798190272274548,0.08999203503761542,0.17998407007523085,0.9380989897105212,0.09604874676884301,1.034147736479364,0.8420502429416782
20,-0.48984343760083604,-0.22357387134388662,-0.788688113789517,0.5483659891502893,-0.2066174002463823,0.0900437955921447,0.1800875911842894,0.8587478644057035,0.0951965787589184,0.9539444431646219,0.7635512856467851
21,-0.7137806614794098,-0.26663745515891557,-1.0256823334426963,0.5776785888545637,-0.22393722387857373,0.09212573439300871,0.18425146878601742,0.7949819998222469,0.09689029342291991,0.8918722932451668,0.698091706399327
22,-0.9433512464530356,-0.3037434169817411,-1.2399861713241318,0.62146007933144,-0.2295705849736258,0.09321315963176217,0.18642631926352435,0.7268232353239256,0.09811483333568552,0.8249380686596111,0.6287084019882401
23,-1.1018055580160526,-0.32082820660400224,-1.4388326224600387,0.6517870604809339,-0.15845431156301704,0.0930782099155645,0.186156419831129,0.662523225642152,0.09794859402955233,0.7604718196717044,0.5645746316125997
