,datetime,ws,wdir,temp,Unnamed: 0,ws_model,wdir_model,temp_model,dewpoint_temp,pressure,lapse_rate,temp_era5_uncorrected
66,2022-08-19 02:00:00,0.33,237.25,0.0,1893.0,0.9592990089606044,51.61360892029349,0.9370070501342096,273.3974304199219,58104.2109375,-0.0051283843975265,0.5602508544922102
67,2022-08-19 03:00:00,1.17,197.95,0.0,1894.0,1.0807867925406187,50.325446212001125,0.23793025340071744,272.54937744140625,58090.1953125,-0.0053133019333803,-0.1524108886718522
68,2022-08-19 04:00:00,1.17,179.0,0.0,1895.0,1.2088560632711938,51.26011202389663,-0.6281483415948328,271.53887939453125,58079.734375,-0.0054185388629881,-1.0262207031249773
69,2022-08-19 05:00:00,0.835,256.9,0.0,1896.0,1.3020307180781132,51.23878747570776,-1.3961784567540976,270.74989318847656,58092.4921875,-0.0055903868310079,-1.80687561035154
70,2022-08-19 06:00:00,2.005,237.25,0.0,1897.0,1.3716211979659425,52.339070282863,-1.5801382384203984,270.3350067138672,58085.45703125,-0.0056738853903105,-1.9969696044921648
71,2022-08-19 07:00:00,4.51,268.85,0.0,1898.0,1.3148162755863415,53.42117785488509,-0.35112683353049434,271.1774597167969,58094.5234375,-0.0052070738402953,-0.7336639404296648
72,2022-08-19 08:00:00,3.51,274.45000000000005,0.0,1899.0,1.151466588514281,55.08709965524776,1.7593587973065015,273.93751525878906,58113.9140625,-0.0044881735641242,1.4296356201172102
73,2022-08-19 09:00:00,3.005,5.6,0.0,1900.0,0.6877601314963199,68.9139188114934,4.801406961706887,277.1254272460937,58117.32421875,-0.0038739305221258,4.516809082031273
74,2022-08-19 10:00:00,3.175,355.2,0.0,1901.0,0.290067704228291,141.63438541414098,7.616036976422091,279.2273254394531,58142.37890625,-0.0033832542886329,7.367486572265648
75,2022-08-19 11:00:00,3.505,174.79999999999998,0.0,1902.0,0.8903138692751745,227.79243171785475,9.029158298096574,276.8876342773437,58140.46875,-0.0030929534318152,8.801934814453148
76,2022-08-19 12:00:00,4.675,7.7,0.0,1903.0,1.2733764218526529,230.87973134277567,9.356461561017177,276.3412170410156,58141.84375,-0.003146986354021,9.125268554687525
77,2022-08-19 13:00:00,6.845,9.100000000000001,0.0,1904.0,1.3749733890681917,233.9213996232126,9.4645249769469,276.8462829589844,58132.7265625,-0.003116671037221,9.235559082031273
78,2022-08-19 14:00:00,6.68,9.8,0.0,1905.0,1.226576823006534,240.03936966753488,9.012890217408303,276.9425506591797,58092.0859375,-0.0031348790896768,8.782586669921898
79,2022-08-19 15:00:00,5.845,12.6,0.0,1906.0,1.2526886094708178,240.82492130353475,8.611507230439816,276.48126220703125,58074.0703125,-0.0029736951419172,8.393045043945335
80,2022-08-19 16:00:00,6.35,11.2,0.0,1907.0,1.0392856919942788,244.9121811987219,8.175524486313298,277.0112762451172,58077.8203125,-0.0031422316181303,7.944680786132835
81,2022-08-19 17:00:00,4.845,179.7,0.0,1908.0,0.6916670786959119,261.64495500377217,7.66472178918598,276.9575653076172,58064.50390625,-0.0032369507872658,7.426919555664085
82,2022-08-19 18:00:00,3.84,345.4,0.0,1909.0,0.6135625851469931,249.37424418502167,7.043710318545915,277.3148956298828,58076.7578125,-0.0032910347254691,6.801934814453148
83,2022-08-19 19:00:00,3.505,339.7,0.0,1910.0,0.0535382102871089,84.75696790491175,6.143401821245792,277.50416564941406,58099.9765625,-0.003403273100131,5.89338073730471
84,2022-08-19 20:00:00,2.505,301.15,0.0,1911.0,0.2909306815847304,56.3249346415621,5.213771349397637,277.3659973144531,58106.64453125,-0.0035577486878314,4.95240173339846
85,2022-08-19 21:00:00,2.335,185.3,0.0,1912.0,0.3337383381832255,65.4081871501049,4.615851163506998,277.03887939453125,58145.828125,-0.0036848004322725,4.345147705078148
86,2022-08-19 22:00:00,2.67,141.1,0.0,1913.0,0.4124610415876883,55.72520297880713,3.6051270985981376,276.21165466308594,58150.6015625,-0.0039581749681675,3.31434020996096
87,2022-08-19 23:00:00,2.505,330.6,0.0,1914.0,0.5687636743329129,51.89599825242379,2.6413509642687933,275.1447448730469,58136.04296875,-0.0042963066802007,2.325723266601585
88,2022-08-20 00:00:00,3.01,176.2,0.0,1915.0,0.5025689294675366,32.44083912276272,4.022139869301192,276.4736022949219,58103.109375,-0.0042747849698328,3.7080932617187727
89,2022-08-20 01:00:00,2.34,188.15,0.0,1916.0,0.5760928077514808,38.98071530180166,3.698945274073654,276.134033203125,58059.5,-0.004395276725303,3.3760467529297102
90,2022-08-20 02:00:00,1.0,238.64999999999998,0.0,1917.0,0.7165796377616337,46.42231830044272,3.751383880803611,276.1085510253906,58035.57421875,-0.0044128517300768,3.4271942138672102
91,2022-08-20 03:00:00,1.5,182.5,0.0,1918.0,0.8601716630323633,37.26052222852601,3.8025528949647627,276.0297241210937,57994.27734375,-0.0044764941569247,3.473687744140648
92,2022-08-20 04:00:00,0.5,50.55,0.0,1919.0,0.8170225166586579,41.27239463293972,3.688840582458737,275.8814697265625,57947.13671875,-0.0045674155916005,3.3532958984375227
93,2022-08-20 05:00:00,1.17,38.599999999999994,0.0,1920.0,0.5184084997058829,64.64213261765426,3.6821465803101483,275.54840087890625,57952.34375,-0.0046372660926337,3.341470336914085
94,2022-08-20 06:00:00,1.67,180.39999999999998,0.0,1921.0,0.5676358299208595,69.17373650764675,3.6721293130250086,275.1786193847656,58015.4453125,-0.0046523262110307,3.3303466796875227
95,2022-08-20 07:00:00,1.505,23.85,0.0,1922.0,0.6442420968774251,55.83813982253661,3.714641932841693,275.1335144042969,58073.05859375,-0.0045511976748704,3.380288696289085
96,2022-08-20 08:00:00,1.335,189.55,0.0,1923.0,0.6130164730053357,64.76950973953805,4.5230280465614685,275.5279541015625,58083.3515625,-0.004283551560721,4.208337402343773
97,2022-08-20 09:00:00,1.67,320.79999999999995,0.0,1924.0,0.3525663454755917,96.8469712113554,6.075723465251164,275.7665710449219,58097.83203125,-0.0039332514773539,5.786767578125023
98,2022-08-20 10:00:00,0.835,37.9,0.0,1925.0,0.8727491204927802,235.0373592197909,7.7233569766453565,275.1713409423828,58121.08203125,-0.003595385013657,7.459222412109398
99,2022-08-20 11:00:00,2.34,181.8,0.0,1926.0,1.3309196829891707,243.0037654156034,8.020573198872611,276.09532165527344,58103.84765625,-0.003322955525474,7.776452636718773
100,2022-08-20 12:00:00,1.67,336.95000000000005,0.0,1927.0,1.6270725465772369,236.8946116539744,7.795948902805141,276.1605834960937,58136.87109375,-0.0032141243852224,7.55982360839846
101,2022-08-20 13:00:00,3.005,346.79999999999995,0.0,1928.0,1.5231780501644423,237.1376684320153,7.304237320335299,276.1492919921875,58110.1015625,-0.0030934890534865,7.07697448730471
102,2022-08-20 14:00:00,3.67,346.1,0.0,1929.0,1.424640357536617,238.16341990277692,7.0192882562039225,276.1757049560547,58082.7421875,-0.0030844702540581,6.792687988281273
103,2022-08-20 15:00:00,3.675,348.9,0.0,1930.0,1.3363813213556293,237.31643817299823,6.788684369635369,276.74229431152344,58051.7421875,-0.0030423366355816,6.565179443359398
104,2022-08-20 16:00:00,3.34,348.9,0.0,1931.0,1.1607330651191978,234.69032313458635,6.764016062573027,276.7867889404297,58016.171875,-0.0030802085286872,6.53772888183596
105,2022-08-20 17:00:00,3.67,348.2,0.0,1932.0,1.0569919895063875,236.9217622359934,6.1870059539673985,276.6413269042969,57991.8515625,-0.0031371324279258,5.956536865234398
106,2022-08-20 18:00:00,3.34,354.5,0.0,1933.0,0.8781041895075771,243.6584688642872,5.634022226805797,276.6764831542969,58000.109375,-0.0032836989516288,5.392785644531273
107,2022-08-20 19:00:00,3.34,352.4,0.0,1934.0,0.5746389802898493,249.22956025601027,4.919972040865807,276.6953125,58013.04296875,-0.0034515234537993,4.666406250000023
108,2022-08-20 20:00:00,2.675,355.2,0.0,1935.0,0.4043908151157833,194.47407562974655,4.507899993429293,276.7807922363281,58057.40234375,-0.003657240921793,4.239221191406273
109,2022-08-20 21:00:00,2.34,179.7,0.0,1936.0,0.3948396678773172,161.18834102134696,4.270777779282546,276.70497131347656,58097.90234375,-0.0038547567185626,3.987588500976585
110,2022-08-20 22:00:00,1.17,46.3,0.0,1937.0,0.3096969827438918,147.62775358173585,4.055399721891892,276.4867553710937,58102.78515625,-0.0039797897954808,3.7630249023437727
111,2022-08-20 23:00:00,2.17,187.45,0.0,1938.0,0.317405728099752,165.01375790697142,4.034585585185593,275.97381591796875,58079.08203125,-0.0040773940038901,3.735040283203148
112,2022-08-21 00:00:00,3.01,313.1,0.0,1939.0,0.2464542964531869,139.85196459428886,3.7587603654062365,276.2103881835937,58094.30859375,-0.0041825987808806,3.4514862060547102
113,2022-08-21 01:00:00,2.34,341.15,0.0,1940.0,0.3411130812458988,110.72193079952002,3.627683131187235,275.8538055419922,58076.26171875,-0.004262090903428,3.3145690917968977
114,2022-08-21 02:00:00,2.84,176.2,0.0,1941.0,0.3696420092760966,85.87158142100284,3.236341010043025,275.59642028808594,58049.15625,-0.0043532725595928,2.9165283203125227
115,2022-08-21 03:00:00,1.67,17.55,0.0,1942.0,0.3789146722884942,84.3286656368566,3.0955485071394206,275.59136962890625,58002.8359375,-0.0043734243125614,2.7742553710937727
116,2022-08-21 04:00:00,1.17,24.6,0.0,1943.0,0.4413784839117344,97.95250499877903,3.0886715576399717,275.18785095214844,58011.0390625,-0.0044216759798577,2.763833618164085
117,2022-08-21 05:00:00,0.67,35.8,0.0,1944.0,0.4195815997616081,74.76242518432925,2.734417866129564,275.0562438964844,58018.8125,-0.0045397814631866,2.4009033203125227
118,2022-08-21 06:00:00,0.335,103.2,0.0,1945.0,0.5194222743337035,65.11376883884778,2.8388734449425073,275.00390625,58036.28515625,-0.0045893392788589,2.50171813964846
119,2022-08-21 07:00:00,1.0050000000000001,202.2,0.0,1946.0,0.3059091655505994,74.69449938440336,3.175093006713836,275.3491668701172,58080.12890625,-0.004688721510835,2.8306365966797102
120,2022-08-21 08:00:00,0.33,173.4,0.0,1947.0,0.2010279483183067,195.0277859640328,3.8732691872544978,274.8884582519531,58096.95703125,-0.0046508521093772,3.5315948486328352
121,2022-08-21 09:00:00,0.5,160.75,0.0,1948.0,0.5351243307608159,201.89181719231163,4.535612623537349,275.1642608642578,58107.578125,-0.0045692958087464,4.199929809570335
122,2022-08-21 10:00:00,1.67,182.5,0.0,1949.0,0.7633435717134118,212.8793937331777,4.824034891246522,275.7914733886719,58132.3359375,-0.0045155097142271,4.492303466796898
123,2022-08-21 11:00:00,3.175,351.0,0.0,1950.0,0.8957271341153824,226.90105900992705,4.866409536460622,275.74977111816406,58118.2265625,-0.0044328578507405,4.540750122070335
124,2022-08-21 12:00:00,4.005,2.0999999999999996,0.0,1951.0,1.1648117101999005,251.5111729998036,5.26018972081718,275.7831573486328,58144.875,-0.0046548449867511,4.91822204589846
125,2022-08-21 13:00:00,5.01,13.350000000000001,0.0,1952.0,1.309232486603877,245.93621535451013,5.976952177123055,275.8434143066406,58096.5390625,-0.0044524903427453,5.64985046386721
126,2022-08-21 14:00:00,5.675,15.45,0.0,1953.0,1.2073072979859931,242.65542505357587,5.588557626523793,276.0850524902344,58066.0859375,-0.004443803159752,5.26209411621096
127,2022-08-21 15:00:00,5.675,10.55,0.0,1954.0,1.0402443356382678,243.87395378807923,5.926530162263155,276.43817138671875,58032.078125,-0.004332136052899,5.608270263671898
128,2022-08-21 16:00:00,5.01,180.39999999999998,0.0,1955.0,1.0622230321747423,252.5468441637288,6.050505174979279,276.2665710449219,57991.54296875,-0.0042143330885833,5.740899658203148
129,2022-08-21 17:00:00,4.675,4.9,0.0,1956.0,0.8378438409946765,254.8557100273177,5.869858100357382,275.90025329589844,57947.40234375,-0.0041210985217035,5.567102050781273
130,2022-08-21 18:00:00,3.675,170.6,0.0,1957.0,0.3024761467609671,252.4845860284219,5.267811157377611,275.838134765625,57962.890625,-0.0041304973485178,4.96436462402346
131,2022-08-21 19:00:00,3.675,349.6,0.0,1958.0,0.2430860832912125,208.73531939270777,4.337458506658012,275.9983367919922,57993.69140625,-0.0041258050914507,4.034356689453148
132,2022-08-21 20:00:00,3.17,352.4,0.0,1959.0,0.301294880608916,106.40296798307725,3.4663305386356984,275.7908477783203,58050.03125,-0.004159194709197,3.16077575683596
133,2022-08-21 21:00:00,2.17,353.79999999999995,0.0,1960.0,0.3989883689505867,77.78372890999503,2.4766828349730248,274.86785888671875,58081.03515625,-0.0043401960368569,2.1578308105468977
134,2022-08-21 22:00:00,1.17,24.549999999999997,0.0,1961.0,0.3838761112025632,70.29163714648861,2.0827053742038544,274.3942108154297,58082.40625,-0.0043878206303177,1.7603546142578352
135,2022-08-21 23:00:00,1.335,23.150000000000002,0.0,1962.0,0.4872002269876081,64.63880174673504,1.7556858334003862,273.8818054199219,58053.26953125,-0.0043521888430147,1.4359527587890852
136,2022-08-22 00:00:00,0.5,42.8,0.0,1963.0,0.5819629144635767,56.315348978023096,1.8981533281307479,274.37001037597656,58038.50390625,-0.0044836120947253,1.5687652587890852
137,2022-08-22 01:00:00,0.33,52.599999999999994,0.0,1964.0,0.7603220772789232,47.18200508718364,1.3996172779691385,273.8956604003906,57987.25390625,-0.0045940972784592,1.0621124267578352
138,2022-08-22 02:00:00,0.5,176.9,0.0,1965.0,0.8964597491131608,46.6049077943594,0.9721038705839129,273.38482666015625,57958.37109375,-0.0046718777212976,0.6288848876953352
139,2022-08-22 03:00:00,1.0,221.85000000000002,0.0,1966.0,0.9852550865075148,47.40321006383251,0.31247802432040517,272.713134765625,57919.90625,-0.0047337231179208,-0.0352844238281022
140,2022-08-22 04:00:00,0.835,230.25,0.0,1967.0,0.9767609908104776,50.82616695198587,-0.17484620998164951,272.2474670410156,57930.46484375,-0.0047317954336276,-0.5224670410156023
141,2022-08-22 05:00:00,0.835,183.2,0.0,1968.0,1.000808758395707,49.11377716922301,-0.6938360850971559,271.69970703125,57935.328125,-0.0047964902921613,-1.0462097167968525
142,2022-08-22 06:00:00,0.835,181.10000000000002,0.0,1969.0,1.0825540614568585,50.50523045788945,-0.8671007867750891,271.32000732421875,57962.9765625,-0.004823268143674,-1.2214416503906025
143,2022-08-22 07:00:00,0.835,183.9,0.0,1970.0,1.146919329152818,49.60511637345414,0.03910700718751786,271.5779266357422,58007.171875,-0.0052437051632121,-0.3461212158202897
144,2022-08-22 08:00:00,1.67,233.75,0.0,1971.0,0.9249492976455104,50.25406189543629,1.7827511142784356,273.1497344970703,58024.5625,-0.0055073743179647,1.3781524658203352
145,2022-08-22 09:00:00,2.17,264.65,0.0,1972.0,0.5455775719631801,55.47282507426113,3.8277347317873978,274.96653747558594,58044.80078125,-0.0052606342213888,3.4412628173828352
146,2022-08-22 10:00:00,3.175,9.100000000000001,0.0,1973.0,0.3273225084573114,243.1158695389024,5.8331072564038715,276.14439392089844,58057.046875,-0.0049715328083393,5.467874145507835
147,2022-08-22 11:00:00,4.345,9.8,0.0,1974.0,0.9424895132004022,238.85505634328808,7.113413369396615,275.1263732910156,58074.9375,-0.0046811950810963,6.769509887695335
148,2022-08-22 12:00:00,5.675,4.199999999999999,0.0,1975.0,1.2190062928941194,237.42862059063745,8.079594809008176,275.0701141357422,58101.13671875,-0.004321801785822,7.76209411621096
149,2022-08-22 13:00:00,5.51,4.2,0.0,1976.0,1.2695626392748014,242.81315212711277,8.26532973608773,275.1849670410156,58043.52734375,-0.0040688883401295,7.966409301757835
