,datetime,Unnamed: 0_x,temp,ws,wdir,Unnamed: 0_y,ws_model,wdir_model,temp_model,dewpoint_temp,pressure,lapse_rate,temp_era5_uncorrected
2756,2008-08-02 20:00:00,2756.0,7.2,7.2,163.8,4409.0,0.5474028296564952,177.7123262972784,11.735058703272447,281.7812194824219,71920.28125,-0.0029874047071313,11.159051513671898
2757,2008-08-02 21:00:00,2757.0,8.3,7.5,130.1,4410.0,0.6563342281343151,187.16506139771653,11.373922797294114,281.7045288085937,71947.21875,-0.0029554009983904,10.80408630371096
2758,2008-08-02 22:00:00,2758.0,9.5,8.6,120.1,4411.0,0.765398989135143,190.1805250033605,10.987441030652477,281.61932373046875,71869.53515625,-0.0027998572941259,10.447595214843773
2759,2008-08-02 23:00:00,2759.0,10.0,8.2,126.9,4412.0,0.7340400330131749,199.53901074710504,10.393243248151233,281.8641052246094,71868.32421875,-0.0027994342312234,9.853479003906273
2760,2008-08-03 00:00:00,2760.0,9.6,8.2,141.9,4413.0,0.769481854251653,198.4337811326021,9.890038414733663,281.5682067871094,71859.09765625,-0.0028228566120742,9.345758056640648
2761,2008-08-03 01:00:00,2761.0,9.0,8.0,137.1,4414.0,0.7166837620492155,198.07300880917103,9.709835030136686,281.6488800048828,71831.7421875,-0.0028414692059358,9.161965942382835
2762,2008-08-03 02:00:00,2762.0,8.1,7.2,125.3,4415.0,0.6958824317489091,192.4848098213026,9.22289439119004,281.59178161621094,71803.35546875,-0.0028342564137794,8.676416015625023
2763,2008-08-03 03:00:00,2763.0,8.4,7.5,117.9,4416.0,0.877480633600941,195.30265031427209,9.304269221990983,281.6608123779297,71780.734375,-0.0027661960420343,8.770913696289085
2764,2008-08-03 04:00:00,2764.0,7.9,7.1,127.1,4417.0,0.8261934113760485,194.60503110485385,9.448005306945992,281.4577331542969,71764.3671875,-0.002786288289078,8.91077575683596
2765,2008-08-03 05:00:00,2765.0,7.6,6.8,138.4,4418.0,0.6480671348445818,187.8175996696184,9.50190047227911,281.14453125,71762.08203125,-0.0027283649399606,8.97583923339846
2766,2008-08-03 06:00:00,2766.0,7.9,7.1,135.3,4419.0,0.7004692848144082,179.45456675942432,9.611998654173838,281.16259765625,71764.6015625,-0.0027719221717442,9.077539062500025
2767,2008-08-03 07:00:00,2767.0,8.2,7.6,141.2,4420.0,0.8087649148673799,168.10164082616512,10.19403032214949,280.6090850830078,71773.75390625,-0.0028699765824516,9.640664672851583
2768,2008-08-03 08:00:00,2768.0,8.5,8.6,140.9,4421.0,0.6492754661047623,156.28565619696496,11.238432286640776,280.3408660888672,71792.80078125,-0.0028663304591424,10.685769653320335
2769,2008-08-03 09:00:00,2769.0,8.0,7.9,138.6,4422.0,0.4977552095189956,155.2230193320536,12.640948331269238,280.39122009277344,71801.78515625,-0.0028431660322897,12.092752075195335
2770,2008-08-03 10:00:00,2770.0,7.9,8.2,124.4,4423.0,0.6605173321202108,143.3953537953428,12.867075685144133,281.0634155273437,71844.5625,-0.0029945164564067,12.289697265625025
2771,2008-08-03 11:00:00,2771.0,7.9,7.6,132.2,4424.0,0.5291520271107001,146.5541737644024,13.677269712002918,281.9167175292969,71843.66015625,-0.0031240558737579,13.074914550781273
2772,2008-08-03 12:00:00,2772.0,9.7,11.0,117.3,4425.0,0.3666883500668856,145.4376935088914,13.40683585998504,282.1874694824219,71835.02734375,-0.0034530213128919,12.741052246093773
2773,2008-08-03 13:00:00,2773.0,8.8,9.9,136.2,4426.0,0.0870863888438728,207.5528115767178,13.758672032288285,283.0620422363281,71835.61328125,-0.0035475863612709,13.07465515136721
2774,2008-08-03 14:00:00,2774.0,10.6,13.2,150.2,4427.0,0.2530051527521062,104.34466081055976,14.202096850158552,283.4561767578125,71832.3046875,-0.0034023114668083,13.54609069824221
2775,2008-08-03 15:00:00,2775.0,10.8,14.1,147.7,4428.0,0.4343613218479787,127.53251234070434,13.301185581147681,282.69615173339844,71806.4921875,-0.0037773378769227,12.572869873046898
2776,2008-08-03 16:00:00,2776.0,10.0,11.2,145.2,4429.0,0.2490302262596321,199.42971375564449,13.327784536503119,283.24501037597656,71820.10546875,-0.0036994017075508,12.614495849609398
2777,2008-08-03 17:00:00,2777.0,10.3,12.6,140.5,4430.0,0.4906923144719973,182.47554498788676,12.70973861352125,282.575439453125,71814.0546875,-0.0036056816795365,12.014520263671898
2778,2008-08-03 18:00:00,2778.0,9.1,9.2,129.5,4431.0,0.8850100510695424,174.43852136466973,12.774499921159922,282.57232666015625,71789.77734375,-0.0034102258941564,12.116967773437525
2779,2008-08-03 19:00:00,2779.0,9.3,9.1,133.2,4432.0,0.8229479661334237,173.57522218907664,12.418465911233788,282.34307861328125,71780.90625,-0.0032836012059275,11.78534851074221
2780,2008-08-03 20:00:00,2780.0,10.1,9.2,140.7,4433.0,0.7922612403808581,173.19636301276282,11.689797796578345,281.9305877685547,71791.6953125,-0.0032568530002361,11.06183776855471
2781,2008-08-03 21:00:00,2781.0,10.6,9.3,109.3,4434.0,0.8219826705851027,177.5199642808888,11.000274663350872,282.0103912353516,71825.65625,-0.0032914689985209,10.365640258789083
2782,2008-08-03 22:00:00,2782.0,10.4,9.1,111.3,4435.0,0.9371716894277418,183.3425216641476,10.489806990514838,281.8441162109375,71768.14453125,-0.0033568364160143,9.842568969726583
2783,2008-08-03 23:00:00,2783.0,10.8,9.5,123.2,4436.0,0.9595952779564864,188.788034666202,9.974274262161618,281.31739807128906,71743.40234375,-0.0033221776083456,9.333718872070335
2784,2008-08-04 00:00:00,2784.0,10.1,9.0,139.9,4437.0,0.8988459356816493,190.28155312008525,9.477951876798377,280.66114807128906,71705.19921875,-0.0032998619112664,8.841699218750023
2785,2008-08-04 01:00:00,2785.0,10.5,9.3,141.2,4438.0,0.8483098519026306,189.77932517882329,8.993463447041412,280.3010711669922,71685.765625,-0.0033581524476512,8.345971679687523
2786,2008-08-04 02:00:00,2786.0,10.7,9.4,120.6,4439.0,0.7855485350127964,188.0215013033659,8.57918369151519,279.9907989501953,71638.98828125,-0.0033837743883842,7.926751708984398
2787,2008-08-04 03:00:00,2787.0,10.9,9.8,115.9,4440.0,0.6590446733029254,185.81368358596052,7.0995669647064865,279.4150848388672,71597.375,-0.0035834272884898,6.40863952636721
2788,2008-08-04 04:00:00,2788.0,10.9,9.2,131.9,4441.0,0.4991393237011907,179.43424227144655,5.3729319628009575,277.74322509765625,71570.27734375,-0.0037257374581677,4.654565429687523
2789,2008-08-04 05:00:00,2789.0,9.6,8.2,139.4,4442.0,0.4197917697866335,174.86364481376438,5.482111968122529,277.75518798828125,71539.03125,-0.0037005889831934,4.768594360351585
2790,2008-08-04 06:00:00,2790.0,8.9,7.5,129.7,4443.0,0.3200951099674166,170.10190257578083,5.398138193253208,277.5434112548828,71529.296875,-0.0037175795367956,4.68134460449221
2791,2008-08-04 07:00:00,2791.0,10.7,9.2,131.5,4444.0,0.3553312740048371,185.6558450438409,7.1002772148842626,279.1014862060547,71564.55859375,-0.0034362735018888,6.437722778320335
2792,2008-08-04 08:00:00,2792.0,11.5,10.8,125.2,4445.0,0.5382814419742045,201.942333188432,10.726927245272242,280.2492218017578,71578.78125,-0.0028649064152279,10.174539184570335
2793,2008-08-04 09:00:00,2793.0,11.8,14.0,98.7,4446.0,0.6747271441407521,202.28299812079192,13.1479005494781,279.0570983886719,71598.90234375,-0.0026363478608144,12.639581298828148
2794,2008-08-04 10:00:00,2794.0,11.7,14.9,80.0,4447.0,0.9487242459878056,197.87958775559323,14.231337510911374,279.7135162353516,71616.6015625,-0.0028945065726406,13.673242187500025
2795,2008-08-04 11:00:00,2795.0,13.0,16.7,87.3,4448.0,1.3351324330070344,195.08647221101305,15.438529704640013,279.66514587402344,71611.3828125,-0.0029531913234189,14.869119262695335
2796,2008-08-04 12:00:00,2796.0,12.8,16.5,105.8,4449.0,1.3382042975469288,193.5428101010136,15.754560830412386,279.5557556152344,71585.0078125,-0.0031352421180767,15.150048828125025
2797,2008-08-04 13:00:00,2797.0,12.6,16.7,75.7,4450.0,1.2803920055177145,198.2822637946938,15.671232832803568,279.6190643310547,71588.96484375,-0.0033651399136405,15.022393798828148
2798,2008-08-04 14:00:00,2798.0,12.7,15.8,92.6,4451.0,1.168587485757237,207.3299175956176,15.337237369591328,279.6806182861328,71587.19140625,-0.0035410066478526,14.65448913574221
2799,2008-08-04 15:00:00,2799.0,12.6,14.7,104.2,4452.0,1.207780497985151,213.0320533347075,15.224313518377448,279.47052001953125,71589.04296875,-0.0034333329780963,14.56232604980471
2800,2008-08-04 16:00:00,2800.0,12.3,14.7,124.1,4453.0,0.922202672208764,214.3906035035673,14.828048438806734,279.55592346191406,71580.58203125,-0.0035000759088756,14.153192138671898
2801,2008-08-04 17:00:00,2801.0,12.7,15.0,125.2,4454.0,0.7267280950687244,216.0068978202205,14.030391406661389,279.9190979003906,71572.07421875,-0.0035738128369809,13.34131774902346
2802,2008-08-04 18:00:00,2802.0,13.2,15.9,126.0,4455.0,0.6163492365312633,206.8964626978038,13.194433198160796,280.3858184814453,71575.234375,-0.0035854970277543,12.503106689453148
2803,2008-08-04 19:00:00,2803.0,10.9,11.6,138.8,4456.0,0.6194017330517592,197.5109754518517,12.486070924824563,280.3347473144531,71588.44140625,-0.0035667230743805,11.798364257812525
2804,2008-08-04 20:00:00,2804.0,10.3,10.1,135.7,4457.0,0.4667985494136706,196.69224799618507,11.649885420318688,280.54803466796875,71606.8984375,-0.003457175751289,10.983300781250025
2805,2008-08-04 21:00:00,2805.0,8.9,8.6,141.5,4458.0,0.383952633141448,199.8276703542792,10.962428013436362,280.76422119140625,71634.578125,-0.0034265327541808,10.301751708984398
2806,2008-08-04 22:00:00,2806.0,8.4,8.0,137.5,4459.0,0.3823590369343866,197.42768130314136,10.289487655183235,280.84490966796875,71572.63671875,-0.0034486266137471,9.624551391601583
2807,2008-08-04 23:00:00,2807.0,7.9,7.4,107.5,4460.0,0.4242722762154279,189.73164053854853,9.884335295326162,281.10264587402344,71553.41015625,-0.0034020881975385,9.228372192382835
2808,2008-08-05 00:00:00,2808.0,7.8,7.0,128.7,4461.0,0.5458880529712559,201.61761633129535,9.579005183804034,281.10182189941406,71544.8203125,-0.0033576034864979,8.931619262695335
2809,2008-08-05 01:00:00,2809.0,7.8,6.9,126.5,4462.0,0.5188416642848761,199.81783802975184,9.048852474988053,281.1119384765625,71540.12109375,-0.0033955828693555,8.394143676757835
2810,2008-08-05 02:00:00,2810.0,7.3,6.6,145.5,4463.0,0.6437525832051465,209.07359883606523,8.474393828263402,280.85423278808594,71496.33203125,-0.0034905707326326,7.801370239257835
2811,2008-08-05 03:00:00,2811.0,7.3,6.2,118.1,4464.0,0.5276443951193263,208.35114288448037,8.195550924491531,280.54054260253906,71493.0546875,-0.0035903443470463,7.503289794921898
2812,2008-08-05 04:00:00,2812.0,6.9,5.8,124.1,4465.0,0.3082636810112906,190.8532846183022,8.088054410950342,280.44384765625,71475.0546875,-0.0035713597620962,7.399453735351585
2813,2008-08-05 05:00:00,2813.0,6.7,5.7,116.8,4466.0,0.0629659546605548,122.89290001505452,7.593926668676552,279.94580078125,71467.890625,-0.0036296723000825,6.894082641601585
2814,2008-08-05 06:00:00,2814.0,6.0,5.6,125.8,4467.0,0.0626870723312333,101.48498109344334,7.374880780980229,279.7096710205078,71475.6015625,-0.0037141609425193,6.658746337890648
2815,2008-08-05 07:00:00,2815.0,5.9,5.6,136.7,4468.0,0.0103246992557232,293.6099833742805,7.648382340614661,279.8632354736328,71489.2265625,-0.0038880432773387,6.898721313476585
2816,2008-08-05 08:00:00,2816.0,6.5,6.7,109.9,4469.0,0.1675121934888601,321.3198145525871,9.50665331010922,281.0172424316406,71515.41015625,-0.0036958677074284,8.794046020507835
2817,2008-08-05 09:00:00,2817.0,5.9,5.6,134.2,4470.0,0.2112672141789955,327.8928505338008,11.358332943953306,279.8618621826172,71525.1875,-0.0034029515875361,10.702203369140648
2818,2008-08-05 10:00:00,2818.0,5.5,5.1,119.8,4471.0,0.6197554926456942,219.44126517582893,12.605137058356531,280.12181091308594,71556.375,-0.0033594694492236,11.957391357421898
2819,2008-08-05 11:00:00,2819.0,5.3,5.0,104.7,4472.0,0.4072262025849835,221.14270548242004,13.499756287223285,281.4667510986328,71542.734375,-0.0033884946369958,12.846414184570335
2820,2008-08-05 12:00:00,2820.0,5.6,5.4,92.2,4473.0,0.3856105253808446,198.1352589384958,13.387465720916111,282.07763671875,71527.953125,-0.0035234193860161,12.708108520507835
2821,2008-08-05 13:00:00,2821.0,6.1,6.5,114.4,4474.0,0.3698649153744068,238.9482764214269,13.089559119315119,282.2403564453125,71530.85546875,-0.003801858708814,12.35651550292971
