,Unnamed: 0,datetime,Unnamed: 0.1,Unnamed: 0.1.1,temp,ws,wdir,katabaticity,ws_model,wdir_model,temp_model
3,3,3,38285.5,38285.5,9.638121890547264,0.9827114427860696,145.52580845771143,0.5320208221855545,0.7209428256014995,204.51413360205635,7.202209864810323
4,4,4,38963.340579710144,38963.340579710144,10.584359903381642,1.301207729468599,133.2280193236715,0.6993583255249725,0.9845710850402432,211.5833057059016,7.76316761610641
5,5,5,39130.111510791365,39130.111510791365,11.49136690647482,1.578956834532374,132.85000000000002,0.7447847917133236,1.179378022239419,215.46253135637124,8.256609543264744
6,6,6,38971.16666666666,38971.16666666666,11.91382850241546,1.6174516908212562,135.47590579710143,0.743139696009916,1.3371422007544451,216.88255590313068,8.664930308606229
7,7,7,38975.25724637681,38975.25724637681,11.84963768115942,1.6543478260869566,136.69365942028983,0.7268296509991323,1.4255729451848342,217.05914512146535,8.94961263608769
8,8,8,38477.903703703705,38477.903703703705,11.360432098765433,1.632530864197531,137.34253086419753,0.7638645587722396,1.4468499681770297,217.8831411189201,8.985959873248365
9,9,9,38309.5,38309.5,10.810323383084576,1.466542288557214,137.855223880597,0.7305821336837722,1.3600930050285251,219.66672239806888,8.746815046104429
10,10,10,37781.65648854962,37781.65648854962,10.03416030534351,1.3028625954198474,137.78759541984732,0.7314442334606679,1.2251883243027286,221.4633684263825,8.283663952871963
11,11,11,37602.81538461539,37602.81538461539,9.239423076923076,1.105576923076923,138.86211538461538,0.7047669855336699,1.034987997346586,223.8647853638329,7.670160458960851
12,12,12,37606.79615384615,37606.79615384615,8.582307692307692,1.0253846153846156,143.39615384615385,0.6837743814224873,0.8113738959169505,229.35718358408585,7.104186250674019
13,13,13,37610.78076923077,37610.78076923077,8.081923076923077,0.8851282051282051,144.2249358974359,0.5776763606581873,0.6007969671463195,230.75160717806955,6.583982952975468
14,14,14,37614.769230769234,37614.769230769234,7.779230769230769,0.7596153846153846,154.63846153846154,0.4316156307787994,0.4956318172867206,207.1889355353944,6.178166358838443
15,15,15,37618.75,37618.75,7.540384615384616,0.7290384615384616,172.6526923076923,0.28846865421892,0.4643577926236193,195.85914596193547,5.9266975351462285
16,16,16,37622.72692307692,37622.72692307692,7.323846153846154,0.6815384615384615,175.91384615384615,0.2029412097998204,0.4596054844132769,183.99167616627295,5.698678137217261
17,17,17,37626.70384615385,37626.70384615385,7.091730769230769,0.6651923076923076,180.6390384615385,0.1074239835082398,0.4681818729698946,176.77638757646787,5.463606155110403
18,18,18,37445.86046511628,37445.86046511628,6.862596899224806,0.6348837209302326,199.53217054263567,0.0051684831794601,0.4799979111440121,162.64927152985754,5.276919638423337
19,19,19,37505.75,37505.75,6.67890625,0.640625,199.1982421875,-0.0374821784644657,0.4815738448454402,147.9055570923116,5.133992108248902
20,20,20,37509.75,37509.75,6.4841796875,0.6119140625,201.05703125,-0.0928279742710557,0.5027355444467749,141.9555878994614,4.989242777104209
21,21,21,37513.75,37513.75,6.3259765625,0.6037109375,213.7947265625,-0.2193701045679067,0.5257545394664357,126.89308788059527,4.891426288723958
22,22,22,37517.75,37517.75,6.2013671875,0.5517578125,219.5525390625,-0.2772415660374835,0.5534068349032591,117.637591339697,4.753219799758663
23,23,23,37521.75,37521.75,6.05,0.566015625,221.9185546875,-0.3222911035491601,0.5672830007962559,109.1151196473988,4.624565622141294
24,0,24,37558.85384615385,37558.85384615385,6.040576923076923,0.5765384615384616,237.7742307692308,-0.4154440493744776,0.6001241946354942,93.12887156720237,4.468119803358894
25,1,25,37745.36259541985,37745.36259541985,6.551908396946565,0.5654580152671755,220.22003816793887,-0.2740416812654481,0.5667307389758318,98.82366401051482,5.016189981412785
26,2,26,37749.34732824427,37749.34732824427,8.399427480916032,0.6591603053435114,182.4435114503817,0.1716413525966725,0.4836624668670033,151.3214543909572,6.241409637658288
27,3,27,38285.5,38285.5,9.638121890547264,0.9827114427860696,145.52580845771143,0.5320208221855545,0.7209428256014995,204.51413360205635,7.202209864810323
28,4,28,38963.340579710144,38963.340579710144,10.584359903381642,1.301207729468599,133.2280193236715,0.6993583255249725,0.9845710850402432,211.5833057059016,7.76316761610641
29,5,29,39130.111510791365,39130.111510791365,11.49136690647482,1.578956834532374,132.85000000000002,0.7447847917133236,1.179378022239419,215.46253135637124,8.256609543264744
30,6,30,38971.16666666666,38971.16666666666,11.91382850241546,1.6174516908212562,135.47590579710143,0.743139696009916,1.3371422007544451,216.88255590313068,8.664930308606229
31,7,31,38975.25724637681,38975.25724637681,11.84963768115942,1.6543478260869566,136.69365942028983,0.7268296509991323,1.4255729451848342,217.05914512146535,8.94961263608769
32,8,32,38477.903703703705,38477.903703703705,11.360432098765433,1.632530864197531,137.34253086419753,0.7638645587722396,1.4468499681770297,217.8831411189201,8.985959873248365
33,9,33,38309.5,38309.5,10.810323383084576,1.466542288557214,137.855223880597,0.7305821336837722,1.3600930050285251,219.66672239806888,8.746815046104429
34,10,34,37781.65648854962,37781.65648854962,10.03416030534351,1.3028625954198474,137.78759541984732,0.7314442334606679,1.2251883243027286,221.4633684263825,8.283663952871963
35,11,35,37602.81538461539,37602.81538461539,9.239423076923076,1.105576923076923,138.86211538461538,0.7047669855336699,1.034987997346586,223.8647853638329,7.670160458960851
36,12,36,37606.79615384615,37606.79615384615,8.582307692307692,1.0253846153846156,143.39615384615385,0.6837743814224873,0.8113738959169505,229.35718358408585,7.104186250674019
37,13,37,37610.78076923077,37610.78076923077,8.081923076923077,0.8851282051282051,144.2249358974359,0.5776763606581873,0.6007969671463195,230.75160717806955,6.583982952975468
38,14,38,37614.769230769234,37614.769230769234,7.779230769230769,0.7596153846153846,154.63846153846154,0.4316156307787994,0.4956318172867206,207.1889355353944,6.178166358838443
39,15,39,37618.75,37618.75,7.540384615384616,0.7290384615384616,172.6526923076923,0.28846865421892,0.4643577926236193,195.85914596193547,5.9266975351462285
40,16,40,37622.72692307692,37622.72692307692,7.323846153846154,0.6815384615384615,175.91384615384615,0.2029412097998204,0.4596054844132769,183.99167616627295,5.698678137217261
41,17,41,37626.70384615385,37626.70384615385,7.091730769230769,0.6651923076923076,180.6390384615385,0.1074239835082398,0.4681818729698946,176.77638757646787,5.463606155110403
42,18,42,37445.86046511628,37445.86046511628,6.862596899224806,0.6348837209302326,199.53217054263567,0.0051684831794601,0.4799979111440121,162.64927152985754,5.276919638423337
43,19,43,37505.75,37505.75,6.67890625,0.640625,199.1982421875,-0.0374821784644657,0.4815738448454402,147.9055570923116,5.133992108248902
44,20,44,37509.75,37509.75,6.4841796875,0.6119140625,201.05703125,-0.0928279742710557,0.5027355444467749,141.9555878994614,4.989242777104209
45,21,45,37513.75,37513.75,6.3259765625,0.6037109375,213.7947265625,-0.2193701045679067,0.5257545394664357,126.89308788059527,4.891426288723958
46,22,46,37517.75,37517.75,6.2013671875,0.5517578125,219.5525390625,-0.2772415660374835,0.5534068349032591,117.637591339697,4.753219799758663
47,23,47,37521.75,37521.75,6.05,0.566015625,221.9185546875,-0.3222911035491601,0.5672830007962559,109.1151196473988,4.624565622141294
48,0,48,37558.85384615385,37558.85384615385,6.040576923076923,0.5765384615384616,237.7742307692308,-0.4154440493744776,0.6001241946354942,93.12887156720237,4.468119803358894
49,1,49,37745.36259541985,37745.36259541985,6.551908396946565,0.5654580152671755,220.22003816793887,-0.2740416812654481,0.5667307389758318,98.82366401051482,5.016189981412785
50,2,50,37749.34732824427,37749.34732824427,8.399427480916032,0.6591603053435114,182.4435114503817,0.1716413525966725,0.4836624668670033,151.3214543909572,6.241409637658288
51,3,51,38285.5,38285.5,9.638121890547264,0.9827114427860696,145.52580845771143,0.5320208221855545,0.7209428256014995,204.51413360205635,7.202209864810323
52,4,52,38963.340579710144,38963.340579710144,10.584359903381642,1.301207729468599,133.2280193236715,0.6993583255249725,0.9845710850402432,211.5833057059016,7.76316761610641
53,5,53,39130.111510791365,39130.111510791365,11.49136690647482,1.578956834532374,132.85000000000002,0.7447847917133236,1.179378022239419,215.46253135637124,8.256609543264744
54,6,54,38971.16666666666,38971.16666666666,11.91382850241546,1.6174516908212562,135.47590579710143,0.743139696009916,1.3371422007544451,216.88255590313068,8.664930308606229
55,7,55,38975.25724637681,38975.25724637681,11.84963768115942,1.6543478260869566,136.69365942028983,0.7268296509991323,1.4255729451848342,217.05914512146535,8.94961263608769
56,8,56,38477.903703703705,38477.903703703705,11.360432098765433,1.632530864197531,137.34253086419753,0.7638645587722396,1.4468499681770297,217.8831411189201,8.985959873248365
57,9,57,38309.5,38309.5,10.810323383084576,1.466542288557214,137.855223880597,0.7305821336837722,1.3600930050285251,219.66672239806888,8.746815046104429
58,10,58,37781.65648854962,37781.65648854962,10.03416030534351,1.3028625954198474,137.78759541984732,0.7314442334606679,1.2251883243027286,221.4633684263825,8.283663952871963
59,11,59,37602.81538461539,37602.81538461539,9.239423076923076,1.105576923076923,138.86211538461538,0.7047669855336699,1.034987997346586,223.8647853638329,7.670160458960851
60,12,60,37606.79615384615,37606.79615384615,8.582307692307692,1.0253846153846156,143.39615384615385,0.6837743814224873,0.8113738959169505,229.35718358408585,7.104186250674019
61,13,61,37610.78076923077,37610.78076923077,8.081923076923077,0.8851282051282051,144.2249358974359,0.5776763606581873,0.6007969671463195,230.75160717806955,6.583982952975468
62,14,62,37614.769230769234,37614.769230769234,7.779230769230769,0.7596153846153846,154.63846153846154,0.4316156307787994,0.4956318172867206,207.1889355353944,6.178166358838443
63,15,63,37618.75,37618.75,7.540384615384616,0.7290384615384616,172.6526923076923,0.28846865421892,0.4643577926236193,195.85914596193547,5.9266975351462285
64,16,64,37622.72692307692,37622.72692307692,7.323846153846154,0.6815384615384615,175.91384615384615,0.2029412097998204,0.4596054844132769,183.99167616627295,5.698678137217261
65,17,65,37626.70384615385,37626.70384615385,7.091730769230769,0.6651923076923076,180.6390384615385,0.1074239835082398,0.4681818729698946,176.77638757646787,5.463606155110403
66,18,66,37445.86046511628,37445.86046511628,6.862596899224806,0.6348837209302326,199.53217054263567,0.0051684831794601,0.4799979111440121,162.64927152985754,5.276919638423337
67,19,67,37505.75,37505.75,6.67890625,0.640625,199.1982421875,-0.0374821784644657,0.4815738448454402,147.9055570923116,5.133992108248902
68,20,68,37509.75,37509.75,6.4841796875,0.6119140625,201.05703125,-0.0928279742710557,0.5027355444467749,141.9555878994614,4.989242777104209
69,21,69,37513.75,37513.75,6.3259765625,0.6037109375,213.7947265625,-0.2193701045679067,0.5257545394664357,126.89308788059527,4.891426288723958
70,22,70,37517.75,37517.75,6.2013671875,0.5517578125,219.5525390625,-0.2772415660374835,0.5534068349032591,117.637591339697,4.753219799758663
71,23,71,37521.75,37521.75,6.05,0.566015625,221.9185546875,-0.3222911035491601,0.5672830007962559,109.1151196473988,4.624565622141294
72,0,72,37558.85384615385,37558.85384615385,6.040576923076923,0.5765384615384616,237.7742307692308,-0.4154440493744776,0.6001241946354942,93.12887156720237,4.468119803358894
73,1,73,37745.36259541985,37745.36259541985,6.551908396946565,0.5654580152671755,220.22003816793887,-0.2740416812654481,0.5667307389758318,98.82366401051482,5.016189981412785
74,2,74,37749.34732824427,37749.34732824427,8.399427480916032,0.6591603053435114,182.4435114503817,0.1716413525966725,0.4836624668670033,151.3214543909572,6.241409637658288
75,3,75,38285.5,38285.5,9.638121890547264,0.9827114427860696,145.52580845771143,0.5320208221855545,0.7209428256014995,204.51413360205635,7.202209864810323
76,4,76,38963.340579710144,38963.340579710144,10.584359903381642,1.301207729468599,133.2280193236715,0.6993583255249725,0.9845710850402432,211.5833057059016,7.76316761610641
77,5,77,39130.111510791365,39130.111510791365,11.49136690647482,1.578956834532374,132.85000000000002,0.7447847917133236,1.179378022239419,215.46253135637124,8.256609543264744
78,6,78,38971.16666666666,38971.16666666666,11.91382850241546,1.6174516908212562,135.47590579710143,0.743139696009916,1.3371422007544451,216.88255590313068,8.664930308606229
79,7,79,38975.25724637681,38975.25724637681,11.84963768115942,1.6543478260869566,136.69365942028983,0.7268296509991323,1.4255729451848342,217.05914512146535,8.94961263608769
80,8,80,38477.903703703705,38477.903703703705,11.360432098765433,1.632530864197531,137.34253086419753,0.7638645587722396,1.4468499681770297,217.8831411189201,8.985959873248365
81,9,81,38309.5,38309.5,10.810323383084576,1.466542288557214,137.855223880597,0.7305821336837722,1.3600930050285251,219.66672239806888,8.746815046104429
82,10,82,37781.65648854962,37781.65648854962,10.03416030534351,1.3028625954198474,137.78759541984732,0.7314442334606679,1.2251883243027286,221.4633684263825,8.283663952871963
83,11,83,37602.81538461539,37602.81538461539,9.239423076923076,1.105576923076923,138.86211538461538,0.7047669855336699,1.034987997346586,223.8647853638329,7.670160458960851
84,12,84,37606.79615384615,37606.79615384615,8.582307692307692,1.0253846153846156,143.39615384615385,0.6837743814224873,0.8113738959169505,229.35718358408585,7.104186250674019
85,13,85,37610.78076923077,37610.78076923077,8.081923076923077,0.8851282051282051,144.2249358974359,0.5776763606581873,0.6007969671463195,230.75160717806955,6.583982952975468
86,14,86,37614.769230769234,37614.769230769234,7.779230769230769,0.7596153846153846,154.63846153846154,0.4316156307787994,0.4956318172867206,207.1889355353944,6.178166358838443
87,15,87,37618.75,37618.75,7.540384615384616,0.7290384615384616,172.6526923076923,0.28846865421892,0.4643577926236193,195.85914596193547,5.9266975351462285
88,16,88,37622.72692307692,37622.72692307692,7.323846153846154,0.6815384615384615,175.91384615384615,0.2029412097998204,0.4596054844132769,183.99167616627295,5.698678137217261
89,17,89,37626.70384615385,37626.70384615385,7.091730769230769,0.6651923076923076,180.6390384615385,0.1074239835082398,0.4681818729698946,176.77638757646787,5.463606155110403
90,18,90,37445.86046511628,37445.86046511628,6.862596899224806,0.6348837209302326,199.53217054263567,0.0051684831794601,0.4799979111440121,162.64927152985754,5.276919638423337
91,19,91,37505.75,37505.75,6.67890625,0.640625,199.1982421875,-0.0374821784644657,0.4815738448454402,147.9055570923116,5.133992108248902
92,20,92,37509.75,37509.75,6.4841796875,0.6119140625,201.05703125,-0.0928279742710557,0.5027355444467749,141.9555878994614,4.989242777104209
93,21,93,37513.75,37513.75,6.3259765625,0.6037109375,213.7947265625,-0.2193701045679067,0.5257545394664357,126.89308788059527,4.891426288723958
94,22,94,37517.75,37517.75,6.2013671875,0.5517578125,219.5525390625,-0.2772415660374835,0.5534068349032591,117.637591339697,4.753219799758663
95,23,95,37521.75,37521.75,6.05,0.566015625,221.9185546875,-0.3222911035491601,0.5672830007962559,109.1151196473988,4.624565622141294
96,0,96,37558.85384615385,37558.85384615385,6.040576923076923,0.5765384615384616,237.7742307692308,-0.4154440493744776,0.6001241946354942,93.12887156720237,4.468119803358894
97,1,97,37745.36259541985,37745.36259541985,6.551908396946565,0.5654580152671755,220.22003816793887,-0.2740416812654481,0.5667307389758318,98.82366401051482,5.016189981412785
98,2,98,37749.34732824427,37749.34732824427,8.399427480916032,0.6591603053435114,182.4435114503817,0.1716413525966725,0.4836624668670033,151.3214543909572,6.241409637658288
99,3,99,38285.5,38285.5,9.638121890547264,0.9827114427860696,145.52580845771143,0.5320208221855545,0.7209428256014995,204.51413360205635,7.202209864810323
100,4,100,38963.340579710144,38963.340579710144,10.584359903381642,1.301207729468599,133.2280193236715,0.6993583255249725,0.9845710850402432,211.5833057059016,7.76316761610641
101,5,101,39130.111510791365,39130.111510791365,11.49136690647482,1.578956834532374,132.85000000000002,0.7447847917133236,1.179378022239419,215.46253135637124,8.256609543264744
102,6,102,38971.16666666666,38971.16666666666,11.91382850241546,1.6174516908212562,135.47590579710143,0.743139696009916,1.3371422007544451,216.88255590313068,8.664930308606229
103,7,103,38975.25724637681,38975.25724637681,11.84963768115942,1.6543478260869566,136.69365942028983,0.7268296509991323,1.4255729451848342,217.05914512146535,8.94961263608769
104,8,104,38477.903703703705,38477.903703703705,11.360432098765433,1.632530864197531,137.34253086419753,0.7638645587722396,1.4468499681770297,217.8831411189201,8.985959873248365
105,9,105,38309.5,38309.5,10.810323383084576,1.466542288557214,137.855223880597,0.7305821336837722,1.3600930050285251,219.66672239806888,8.746815046104429
106,10,106,37781.65648854962,37781.65648854962,10.03416030534351,1.3028625954198474,137.78759541984732,0.7314442334606679,1.2251883243027286,221.4633684263825,8.283663952871963
107,11,107,37602.81538461539,37602.81538461539,9.239423076923076,1.105576923076923,138.86211538461538,0.7047669855336699,1.034987997346586,223.8647853638329,7.670160458960851
108,12,108,37606.79615384615,37606.79615384615,8.582307692307692,1.0253846153846156,143.39615384615385,0.6837743814224873,0.8113738959169505,229.35718358408585,7.104186250674019
109,13,109,37610.78076923077,37610.78076923077,8.081923076923077,0.8851282051282051,144.2249358974359,0.5776763606581873,0.6007969671463195,230.75160717806955,6.583982952975468
110,14,110,37614.769230769234,37614.769230769234,7.779230769230769,0.7596153846153846,154.63846153846154,0.4316156307787994,0.4956318172867206,207.1889355353944,6.178166358838443
111,15,111,37618.75,37618.75,7.540384615384616,0.7290384615384616,172.6526923076923,0.28846865421892,0.4643577926236193,195.85914596193547,5.9266975351462285
112,16,112,37622.72692307692,37622.72692307692,7.323846153846154,0.6815384615384615,175.91384615384615,0.2029412097998204,0.4596054844132769,183.99167616627295,5.698678137217261
113,17,113,37626.70384615385,37626.70384615385,7.091730769230769,0.6651923076923076,180.6390384615385,0.1074239835082398,0.4681818729698946,176.77638757646787,5.463606155110403
114,18,114,37445.86046511628,37445.86046511628,6.862596899224806,0.6348837209302326,199.53217054263567,0.0051684831794601,0.4799979111440121,162.64927152985754,5.276919638423337
115,19,115,37505.75,37505.75,6.67890625,0.640625,199.1982421875,-0.0374821784644657,0.4815738448454402,147.9055570923116,5.133992108248902
116,20,116,37509.75,37509.75,6.4841796875,0.6119140625,201.05703125,-0.0928279742710557,0.5027355444467749,141.9555878994614,4.989242777104209
117,21,117,37513.75,37513.75,6.3259765625,0.6037109375,213.7947265625,-0.2193701045679067,0.5257545394664357,126.89308788059527,4.891426288723958
118,22,118,37517.75,37517.75,6.2013671875,0.5517578125,219.5525390625,-0.2772415660374835,0.5534068349032591,117.637591339697,4.753219799758663
119,23,119,37521.75,37521.75,6.05,0.566015625,221.9185546875,-0.3222911035491601,0.5672830007962559,109.1151196473988,4.624565622141294
120,0,120,37558.85384615385,37558.85384615385,6.040576923076923,0.5765384615384616,237.7742307692308,-0.4154440493744776,0.6001241946354942,93.12887156720237,4.468119803358894
121,1,121,37745.36259541985,37745.36259541985,6.551908396946565,0.5654580152671755,220.22003816793887,-0.2740416812654481,0.5667307389758318,98.82366401051482,5.016189981412785
122,2,122,37749.34732824427,37749.34732824427,8.399427480916032,0.6591603053435114,182.4435114503817,0.1716413525966725,0.4836624668670033,151.3214543909572,6.241409637658288
123,3,123,38285.5,38285.5,9.638121890547264,0.9827114427860696,145.52580845771143,0.5320208221855545,0.7209428256014995,204.51413360205635,7.202209864810323
124,4,124,38963.340579710144,38963.340579710144,10.584359903381642,1.301207729468599,133.2280193236715,0.6993583255249725,0.9845710850402432,211.5833057059016,7.76316761610641
125,5,125,39130.111510791365,39130.111510791365,11.49136690647482,1.578956834532374,132.85000000000002,0.7447847917133236,1.179378022239419,215.46253135637124,8.256609543264744
126,6,126,38971.16666666666,38971.16666666666,11.91382850241546,1.6174516908212562,135.47590579710143,0.743139696009916,1.3371422007544451,216.88255590313068,8.664930308606229
127,7,127,38975.25724637681,38975.25724637681,11.84963768115942,1.6543478260869566,136.69365942028983,0.7268296509991323,1.4255729451848342,217.05914512146535,8.94961263608769
128,8,128,38477.903703703705,38477.903703703705,11.360432098765433,1.632530864197531,137.34253086419753,0.7638645587722396,1.4468499681770297,217.8831411189201,8.985959873248365
129,9,129,38309.5,38309.5,10.810323383084576,1.466542288557214,137.855223880597,0.7305821336837722,1.3600930050285251,219.66672239806888,8.746815046104429
130,10,130,37781.65648854962,37781.65648854962,10.03416030534351,1.3028625954198474,137.78759541984732,0.7314442334606679,1.2251883243027286,221.4633684263825,8.283663952871963
131,11,131,37602.81538461539,37602.81538461539,9.239423076923076,1.105576923076923,138.86211538461538,0.7047669855336699,1.034987997346586,223.8647853638329,7.670160458960851
132,12,132,37606.79615384615,37606.79615384615,8.582307692307692,1.0253846153846156,143.39615384615385,0.6837743814224873,0.8113738959169505,229.35718358408585,7.104186250674019
133,13,133,37610.78076923077,37610.78076923077,8.081923076923077,0.8851282051282051,144.2249358974359,0.5776763606581873,0.6007969671463195,230.75160717806955,6.583982952975468
134,14,134,37614.769230769234,37614.769230769234,7.779230769230769,0.7596153846153846,154.63846153846154,0.4316156307787994,0.4956318172867206,207.1889355353944,6.178166358838443
135,15,135,37618.75,37618.75,7.540384615384616,0.7290384615384616,172.6526923076923,0.28846865421892,0.4643577926236193,195.85914596193547,5.9266975351462285
136,16,136,37622.72692307692,37622.72692307692,7.323846153846154,0.6815384615384615,175.91384615384615,0.2029412097998204,0.4596054844132769,183.99167616627295,5.698678137217261
137,17,137,37626.70384615385,37626.70384615385,7.091730769230769,0.6651923076923076,180.6390384615385,0.1074239835082398,0.4681818729698946,176.77638757646787,5.463606155110403
138,18,138,37445.86046511628,37445.86046511628,6.862596899224806,0.6348837209302326,199.53217054263567,0.0051684831794601,0.4799979111440121,162.64927152985754,5.276919638423337
139,19,139,37505.75,37505.75,6.67890625,0.640625,199.1982421875,-0.0374821784644657,0.4815738448454402,147.9055570923116,5.133992108248902
140,20,140,37509.75,37509.75,6.4841796875,0.6119140625,201.05703125,-0.0928279742710557,0.5027355444467749,141.9555878994614,4.989242777104209
141,21,141,37513.75,37513.75,6.3259765625,0.6037109375,213.7947265625,-0.2193701045679067,0.5257545394664357,126.89308788059527,4.891426288723958
142,22,142,37517.75,37517.75,6.2013671875,0.5517578125,219.5525390625,-0.2772415660374835,0.5534068349032591,117.637591339697,4.753219799758663
143,23,143,37521.75,37521.75,6.05,0.566015625,221.9185546875,-0.3222911035491601,0.5672830007962559,109.1151196473988,4.624565622141294
144,0,144,37558.85384615385,37558.85384615385,6.040576923076923,0.5765384615384616,237.7742307692308,-0.4154440493744776,0.6001241946354942,93.12887156720237,4.468119803358894
145,1,145,37745.36259541985,37745.36259541985,6.551908396946565,0.5654580152671755,220.22003816793887,-0.2740416812654481,0.5667307389758318,98.82366401051482,5.016189981412785
146,2,146,37749.34732824427,37749.34732824427,8.399427480916032,0.6591603053435114,182.4435114503817,0.1716413525966725,0.4836624668670033,151.3214543909572,6.241409637658288
147,3,147,38285.5,38285.5,9.638121890547264,0.9827114427860696,145.52580845771143,0.5320208221855545,0.7209428256014995,204.51413360205635,7.202209864810323
148,4,148,38963.340579710144,38963.340579710144,10.584359903381642,1.301207729468599,133.2280193236715,0.6993583255249725,0.9845710850402432,211.5833057059016,7.76316761610641
149,5,149,39130.111510791365,39130.111510791365,11.49136690647482,1.578956834532374,132.85000000000002,0.7447847917133236,1.179378022239419,215.46253135637124,8.256609543264744
150,6,150,38971.16666666666,38971.16666666666,11.91382850241546,1.6174516908212562,135.47590579710143,0.743139696009916,1.3371422007544451,216.88255590313068,8.664930308606229
151,7,151,38975.25724637681,38975.25724637681,11.84963768115942,1.6543478260869566,136.69365942028983,0.7268296509991323,1.4255729451848342,217.05914512146535,8.94961263608769
152,8,152,38477.903703703705,38477.903703703705,11.360432098765433,1.632530864197531,137.34253086419753,0.7638645587722396,1.4468499681770297,217.8831411189201,8.985959873248365
153,9,153,38309.5,38309.5,10.810323383084576,1.466542288557214,137.855223880597,0.7305821336837722,1.3600930050285251,219.66672239806888,8.746815046104429
154,10,154,37781.65648854962,37781.65648854962,10.03416030534351,1.3028625954198474,137.78759541984732,0.7314442334606679,1.2251883243027286,221.4633684263825,8.283663952871963
155,11,155,37602.81538461539,37602.81538461539,9.239423076923076,1.105576923076923,138.86211538461538,0.7047669855336699,1.034987997346586,223.8647853638329,7.670160458960851
156,12,156,37606.79615384615,37606.79615384615,8.582307692307692,1.0253846153846156,143.39615384615385,0.6837743814224873,0.8113738959169505,229.35718358408585,7.104186250674019
157,13,157,37610.78076923077,37610.78076923077,8.081923076923077,0.8851282051282051,144.2249358974359,0.5776763606581873,0.6007969671463195,230.75160717806955,6.583982952975468
