glacier_name,Glacier_ID,Down_glacier_direction,Distance from terminus,channel_width_100m_from_lowest_point,channel_width_from_below,channel_width_Q,channel_width_100_above_station,channel_width_at_station,lat,lon,relief_0.1,relief_1,relief_10,relief_20,relief_100,mean_wind_obs,stddev_1,stddev_10,stddev_20,stddev_100,Slope_120m,Slope_60m,Slope_1km,Slope_10km,aspect_eastness_0.1km,aspect_eastness_1km,aspect_northness_0.1km,aspect_northness_1km,rgi_aspect,rgi_slope,station_z,Z_max,Z_min,glacier_length,glacier_area,glacier_width,glacier_width_at_station,Unnamed: 40,Distance from head,Distance from centerline,continentality,sensitivity,delay,A,B,mean_temp_era5,mean_wind_era5,mean_temp_obs,T_range_continentality,rel_distance_from_terminus,localtime,Mean_elev
Camp2,RGI2000-v7.0-G-15-08331,150,14.103,1,0.628,1,1.21,0.65,27.981,86.9023,40,576,3686,4607,8292,1.006269192,102.3060144,848.1885654,763.6817028,1253.931466,0.296689272,0.296689272,0.296689272,0.297078544,-0.882947593,-0.882947593,-0.469471563,-0.469471563,303,23.56,6484.964856,7981,4879,18.546,26.35,1.420791545,2.088,,3.043,0.39,32.99166523,0.087329131,1.066935882,0.087329131,-0.093174584,-1.316530725,0.788734246,-3.311150755,16.88037109,0.760433517,0,6474.495041
Kalapathar,RGI2000-v7.0-G-15-06739,25,-0.56,0.796,0.689,1,1.19,0.55,27.96,86.81,80,481,2344,4173,8366,1.993463113,113.0598157,351.1586431,626.9383633,1282.556399,0.296689272,0.296689272,0.296689272,0.296815134,0.069756474,0.069756474,0.99756405,0.99756405,303,23.56,5103.400631,7981,4879,1.73,0.83,0.479768786,0.577,,15.195,0.436,30.86469729,1.075057854,-0.184190907,1.075057854,0.198015882,0.818983381,0.865812958,0.543783779,16.61791992,-0.323699422,1,5095.734896
Hinterisferner,RGI2000-v7.0-G-11-03116,300,4.255,1.231,0.639,1,1.76,0.92,46.79867,10.76042,23,346,1791,2262,3667,4.023811255,79.15113039,305.7873124,384.9585212,686.1367428,0.010280821,0.010280821,0.010280821,0.010280821,-0.777145961,-0.777145961,-0.629320391,-0.629320391,77,18.1,3026.504762,3694,2413,8.548,8.036,0.940102948,0.92,,4.228,0.703,27.07775221,0.061075066,-1.736129374,0.061075066,0.106034216,4.189189024,0.786871799,5.598427858,20.22045898,0.497777258,1,3024.118577
Lirung,RGI2000-v7.0-G-15-05739,303,1.792,0.922,0.383,1,1.18,0.361273,28.24,85.56,48,572,3807,4553,7567,0.949922899,135.8730585,759.5799753,719.927965,1564.966084,0.301911384,0.301911384,0.301911384,0.301911384,-0.882947593,-0.882947593,-0.469471563,-0.469471563,139,32.48,4275.60443,7216,3988,8.57,4.786,0.558459743,0.361273,,5.934,0.281,28.287984,0.2504947,-0.024641785,0.2504947,0.006172637,6.536397181,0.78233097,8.454834009,15.40234375,0.209101517,1,4271.562606
Trakarding,RGI2000-v7.0-G-15-08533,52,0.42985,0.718,0.96,1,1.83,0.29821,27.843,86.487,49,351,2557,3258,8307,1.631054633,92.04592469,467.7578452,532.7034206,1601.199158,0.296689272,0.296689272,0.296689272,0.296689272,-0.809016994,-0.809016994,-0.587785252,-0.587785252,327,16.99,4820.895238,6677,4545,17.869,32.09,1.795847557,0.29821,,17.535,0.65216,22.68107123,0.512998566,0.631176895,0.512998566,-0.323792842,3.422056537,0.756070596,5.107480108,13.8046875,0.024055627,1,4818.349591
Djankuat,RGI2000-v7.0-G-12-00647,130,1.176,0.853,0.616,1,0.961,1.217,43.198,42.757,25,393,2052,3149,5094,3.963628704,97.11901055,437.8489401,558.5766797,731.4355554,0.109018967,0.109018967,0.109018967,0.109018967,-0.139173101,-0.139173101,-0.990268069,-0.990268069,329.3,25.05,2975.605096,3706,2689.7,3.152,2.989,0.948286802,1.217,,1.677,0.114,41.56018593,0.025193282,-7.587328999,0.025193282,0.191149721,8.560823383,0.687363453,7.598983773,26.15673828,0.373096447,1,2983.446262
Pyramid,RGI2000-v7.0-G-15-08331,30,5.545,1.35,1.15,1,2.94,0.872,27.99,86.83,59,428,2927,4529,8265,3.224457912,90.7405461,449.5057654,675.3717621,1200.63798,0.296689272,0.296689272,0.296689272,0.297191269,-0.139173101,-0.139173101,-0.990268069,-0.990268069,303,23.56,5410.542857,7981,4879,18.546,26.35,1.420791545,0.872,,11.841,1.292,31.89661326,0.461316354,1.321224562,0.461316354,-0.609502498,2.452417026,0.83500587,3.280989995,16.1496582,0.298986304,0,5406.767993
Yala,RGI2000-v7.0-G-15-05917,36,1.354,,0.94047619,0,0.648,0.648,28.23,85.62,17,486,2872,3516,7538,1.114681788,112.9249811,609.2177873,555.1936894,1546.928357,0.301911384,0.301911384,0.301911384,0.301911384,-0.139173101,-0.139173101,-0.990268069,-0.990268069,225.8,22.72,5213.642405,5644,5080,2.184,2.054,0.94047619,0.648,,0.491,0.281151,28.98079014,0.069593185,2.592350898,0.069593185,-0.180409956,3.259881223,0.808418251,1.627204694,15.66137695,0.61996337,1,5202.667983
Bishop,RGI2000-v7.0-G-15-08331,90,18.3,1.04,1.05,0,1.35,1.420791545,27.9735,86.9308,21,405,3750,4486,8317,2.315317701,92.07092416,845.3285524,715.2857717,1277.494468,0.296689272,0.296689272,0.296689272,0.296984485,-0.874619707,-0.874619707,-0.48480962,-0.48480962,303,23.56,7857.022222,7981,4879,18.546,26.35,1.420791545,1.47,,0.087,0.476,33.32736931,0.182017846,0.85462188,0.182017846,-0.155556434,0.914878469,0.68789106,-16.94311232,24.10099792,0.986735684,0,7888.399211
Bellavista,RGI2000-v7.0-G-11-03243,250,-0.983,0.783,0.58,0,1.11,2,46.78284,10.79138,24,435,1852,2395,3675,3.577623842,89.73548101,375.9041724,399.205892,699.4236633,0.010280821,0.010280821,0.010280821,0.010280821,-0.874619707,-0.874619707,-0.48480962,-0.48480962,340.2,15.3,2799,2657,3405,3.183,3.09,0.970782281,1.47,,1.649,1.177,26.89,,,,,,,,20.12,-0.30882815,1,2818.282572
Kennikot,RGI2000-v7.0-G-01-05740,344,5.496,,4.5,1,5.96,5.1,61.4841,-142.9283,4,50,1437,1773,4740,1.965662602,9.263435636,187.093511,384.1307008,784.2640494,0.047209304,0.047209304,0.047209304,0.047209304,0.939692621,0.939692621,-0.342020143,-0.342020143,154,13.4,657,4952,407,44.9,292.5,6.514476615,4.56,,39.1,0.226,28.27,,,,,,,,23.58,0.122405345,1,608.1140607
Morimoto,RGI2000-v7.0-G-15-05844,132,1.77,0.697,0.415,1,1,0.417,28.25296,85.68152,51,358,2703,4186,7491,,90.90092999,495.5043496,540.7106316,1462.869521,0.301911384,0.301911384,0.301911384,0.301911384,-0.139173101,-0.139173101,-0.990268069,-0.990268069,89,22,4925,5914,5198,4.64,1.38,0.297413793,0.205,,2,0.2,,,,,,,,,,,1,4919.709614
Mullwitzkeez,RGI2000-v7.0-G-11-03803,30,1.455,0.87,1.94,0,1.412,1.412,47.0839,12.3634,37,394,1968,2547,3207,2.410974746,89.48093625,332.3447284,480.9654033,600.6888984,0.019513212,0.019513212,0.019513212,0.019513212,-0.139173101,-0.139173101,-0.990268069,-0.990268069,210.5,17.2,2976,3407,2644,3.066,3.01,0.98173516,1.412,,2.166,1.238,24.8,,,,,,,,19.16,0.474559687,0,2975.566272
Place4,RGI2000-v7.0-G-02-07366,42,2.94,0.634,0.634,0,0.634,0.634,50.412846,-122.615898,10,343,2152,2462,2843,,64.53562702,385.2287578,597.8875535,557.1139097,0.060966317,0.060966317,0.060966317,0.060966317,-0.139173101,-0.139173101,-0.990268069,-0.990268069,21.4,11.83,2330,2560,1839,3.821,3.015,0.789060455,0.612,,0.9,0.03,,,,,,,,,,,1,2309.265577
Southcol,RGI2000-v7.0-G-15-08331,257,17.09,1.05,1.05,0,1.35,1.42,27.9719,86.9295,72,575,3760,4497,8322,,121.4592227,855.5799613,718.8731727,1281.559884,0.296689272,0.296689272,0.296689272,0.296964543,-0.139173101,-0.139173101,-0.990268069,-0.990268069,304,23.56,7905,7981,6050,18.56,26.35,1.419719828,1.47,,0.087,0.476,,,,,,,,,,,0,7935.570178
