,glacier_number,Down_glacier_direction,Distance from terminus,distance_to_nearest_glacier_km,lat,lon,relief,stddev,relief_1,relief_10,relief_20,relief_100,stddev_1,stddev_10,stddev_20,stddev_100,Slope_120m,Slope_60m,Slope_1km,Slope_10km,Slope_1km_20p,aspect_1km_50p,rgi_aspect,rgi_slope,station_z,Z_max,Z_min,glacier_length,glacier_area,glacier_width,glacier_width_at_station,Unnamed: 33,Distance from head,Distance from centerline,Distance from nearest bend,continentality,sensitivity,delay,A,B,mean_temp_era5,mean_wind_era5,mean_temp_obs,mean_wind_obs,T_range_continentality,channel_width_at_station,Sensitivity_linear,PM_sensitivity,PM_delay,Unnamed: 51,rel_distance_from_terminus,rel_z,rel_distancefromterminus,rel_distancefromhead,rel_distancefromcenterline,rel_distancefromedge,local_aspect_normalised,asrgi_aspect_normalised,se_S_pred,se_U_pred,se_D_pred,era_5_wind_error_rms,era_5_temp_error_rms,mean_wind_pred,S_pred,delay_pred
10,10,160,0.913,779,50.426073,-122.601628,2511,572.2206859,144,2102,2401,2805,34.16804894,491.7332145,566.6917941,554.9580966,3.978988614,6.255695254,7.391336231,28.21461916,4.685905546,302.2306023,21.4,11.83,1970.368254,2560,1839,3.821,3.015,0.789060455,0.922,,2.909,0.007,,25.70293348,0.047880957,-0.294943304,0.047880957,0.014122168,11.91807616,0.75243269,5.25542797,2.893004112,20.28979492,0.922,0.048463288,0.170078203,-0.062715465,,0.238942685,0.182202849,0.238942685,0.761319026,0.007592191,0.992407809,0.996861766,0.614892503,0.057028265,0.094614771,0.379431936,6.66264819,6.66264819,3.090400606,0.045581982,1.080289055
11,11,130,1.176,459,43.198,42.757,3119,563.6287506,401,2038,3105,5081,95.60345101,432.9496554,556.1718885,730.0915421,18.92334965,16.91022026,18.66282181,30.24965442,12.58401169,300.4006914,329.3,25.05,2975.605096,3706,2689.7,3.152,2.989,0.948286802,1.217,,1.677,0.114,,41.56018593,0.025193282,-7.587328999,0.025193282,0.191149721,8.560823383,0.687363453,7.598983773,3.963628704,26.15673828,1.217,0.033976964,0.289389988,-3.154477717,,0.373096447,0.281319587,0.373096447,0.532043147,0.093672966,0.906327034,-0.458607304,0.617462366,0.17526587,0.461604426,7.817544159,0.96183961,0.96183961,3.789296434,0.117329138,0.454881006
12,12,260,4.913,434,32.228297,77.506293,3010,524.2127446,295,2471,3030,5721,69.0172268,382.5878201,521.9869631,1150.055865,19.69138324,14.09249702,11.40749633,27.74906412,6.410460434,98.26315789,338.5,16.9,4870.749206,5752,4273,9.516,16.764,1.761664565,0.608,,4.76,0.281,,46.41871021,0.335721424,1.279230521,0.335721424,-0.429465092,3.457245516,0.767844293,3.576515426,2.359289739,24.06958008,0.608,0.314935447,0.45791467,2.371620761,,0.516288357,0.404157678,0.516288356,0.500210172,0.462171053,0.537828947,0.945979626,-0.000881758,0.135247451,0.087100117,0.884610409,0.11926991,0.11926991,2.383105923,0.164731571,1.040619585
13,13,200,2.929,662,50.155944,-122.760257,2455,436.3472894,120,1693,2516,2871,32.04481798,275.8115907,453.7608504,573.6487649,7.516405106,6.327646529,5.72451356,24.74616796,3.975985575,42.50528131,14.18,11.88,2164.47619,2759,1655,6.503,8.111,1.247270491,1.325,,3.71,0.178,,24.13993496,0.068523458,2.732008134,0.068523458,-0.187206645,9.012362882,0.653672954,4.406618197,3.548298643,19.46020508,1.325,0.060992272,0.235677749,3.018840898,,0.450407504,0.461482056,0.450407504,0.57050592,0.134339623,0.865660377,-0.802740531,-0.345200625,0.054246874,0.127988009,2.412554653,4.605744685,4.605744685,3.477744856,0.075713985,1.252516695
14,14,224,8.004,2030,33.787596,76.333945,2577,451.0651908,78,2217,2501,5829,15.68357642,394.6429098,449.0443637,735.2004697,4.549667543,4.80295157,4.797014818,26.21817746,2.951896109,82.1715439,3.49,13.9,4600.615873,6523,4079,24.737,68.36,2.763471723,1.492,,16.417,0.1642,,45.21829593,0.241200909,1.980169446,0.241200909,-0.47761867,0.021489909,0.697072527,5.960437725,4.19207221,24.10099792,1.492,0.220999688,0.404862797,2.356530268,,0.323563892,0.213427117,0.323563892,0.663661721,0.110053619,0.889946381,-0.395002102,0.453899704,0.119715965,1.135878406,0.222128186,5.938947816,5.938947816,3.493236606,0.356541077,1.865186652
15,15,30,5.545,1556,27.99,86.83,4237,648.5934463,425,2750,4507,8243,92.3091806,443.965532,670.0752831,1199.138736,24.83737437,23.63334124,21.86879797,25.77159619,13.6165301,148.4286615,303,23.56,5410.542857,7981,4879,18.546,26.35,1.420791545,0.872,,11.841,1.292,2.78,31.89661326,0.461316354,1.321224562,0.461316354,-0.609502498,2.452417026,0.83500587,3.280989995,3.224457912,16.1496582,0.872,0.431714293,0.60656151,1.508453992,,0.298986304,0.171354886,0.298986304,0.638466516,1.481651376,-0.481651376,-0.999007837,0.983809888,0.073908912,1.297303003,0.548950679,0.828572969,0.828572969,1.847555676,0.383542476,0.758101025
16,16,0,-6.753,3135,27.89,86.82,5489,702.0676875,197,3027,5489,8434,44.71695245,475.2980847,702.0676875,1451.230961,13.51121044,14.77866236,16.09422793,27.23251614,6.873199981,180,,,4251.627389,7981,4879,18.546,26.35,1.420791545,,,23.588,,,29.49497543,0.877319925,0.986859864,0.877319925,-0.865791821,4.787688405,0.801746152,7.657059251,3.038026954,15.71313477,0.755,0.834905501,0.998263629,1.12202082,,0.364121644,-0.202247779,-0.364121643,1.271864553,,,-0.820581057,,0.581112459,1.136683737,0.004455147,2.869370846,2.869370846,1.749586495,0.341379282,1.067927191
17,17,90,18.3,163,27.9735,86.9308,2577,451.0651908,358,3724,4467,8298,84.20799055,837.793014,712.3108625,1276.382766,10.0766664,20.65023232,29.61745759,37.77062876,16.90969887,204.2891156,303,23.56,7857.022222,7981,4879,18.546,26.35,1.420791545,,,0.087,,,33.32736931,0.182017846,0.85462188,0.182017846,-0.155556434,0.914878469,0.68789106,-16.94311232,2.315317701,24.10099792,1.420791545,0.175187124,0.18410796,1.083094612,,0.986735684,0.960032954,0.986735684,0.004691038,,,0.78375774,0.983809888,0.307790229,1.718231916,0.301596421,17.85799079,17.85799079,4.049494891,0.440119544,0.34235795
18,18,180,-0.888,1630,46.872909,10.714437,2158,366.3823265,335,1775,2158,3636,70.58860104,357.0042862,366.3823265,650.5398475,10.45149612,12.53682884,17.90264821,24.28017612,10.89882275,110.6038322,351,21,2456.741214,3487,2617,2.538,2.52,0.992907801,,,2.275,,,26.65790955,0.140253751,2.292775663,0.140253751,-0.321570388,6.97429868,0.729130253,9.140726964,1.913134184,20.02905273,0.874,0.126632446,0.261125519,1.512230788,,0.349881797,-0.184205501,-0.349881797,0.896375099,,,-0.857502576,-0.086654049,0.037305735,0.991391201,2.817328479,2.166428284,2.166428284,2.929006033,0.102094275,0.476712069
19,19,300,4.255,241,46.79867,10.76042,2316,393.8226361,350,1760,2238,3670,78.73866453,305.8704465,385.5513935,685.4929852,20.5546501,23.15585166,21.87783246,21.25548869,11.34125415,102.547605,77,18.1,3026.504762,3694,2413,8.548,8.036,0.940102948,0.92,,4.228,0.703,,27.07775221,0.061075066,-1.736129374,0.061075066,0.106034216,4.189189024,0.786871799,5.598427858,4.023811255,20.22045898,0.92,0.06505582,0.174398421,-1.034969615,,0.497777258,0.478926434,0.497777258,0.494618624,0.764130435,0.235869565,0.720201601,0.557905161,0.230761175,1.174742409,1.877876392,1.409238834,1.409238834,2.999810875,0.225913075,0.448965542
20,20,120,-2.707,1966,46.8435,11.0236,2064,416.7725897,476,1639,2064,3692,98.30571951,331.4744378,416.7725897,718.7207866,6.748565982,19.15246356,28.29669601,27.25030537,9.252614127,200.2945205,7.5,25.1,2260.721519,3421,2463,2.855,2.648,0.000927496,,,2.978,,,25.21152889,0.228209783,-0.079512321,0.228209783,0.01814549,8.107303848,0.805900818,6.975123119,2.678229167,19.31005859,0.785,0.228940525,0.317124409,0.00300356,,0.948161121,-0.21114664,-0.948161121,1.043082312,,,-0.978594448,-0.777668793,0.04290266,0.013378423,0.663818924,1.132180729,1.132180729,2.754494047,0.182986667,-0.071179279
21,21,20,-19.8,5752,27.69,86.72,5116,994.6191266,527,3717,5116,8487,99.29105141,668.4905843,994.6191266,1758.544733,6.524381161,10.56791854,20.11107893,36.2400538,10.07575716,240.75,303,23.56,2581.269841,7981,4879,21.6,26.35,1.420791545,,,,,,23.68003775,0.261555419,0.795480495,0.261555419,-0.208062234,10.22739015,0.733824584,14.45631722,0.9041533,13.55126953,0.412,0.250964435,0.290753905,0.172399818,,0.916666667,-0.74072539,-0.916666667,,,,-0.714823855,0.983809888,0.173058442,0.585943968,0.35875951,4.22892707,4.22892707,1.215141283,0.418878237,0.946689681
22,22,20,-11.4,5325,27.8456,86.7472,4105,705.5037313,532,3285,4086,8460,116.0197424,590.1975871,697.2373269,1546.565366,5.583032131,25.68569501,31.67012642,32.75789186,15.3168978,226.5168699,303,23.56,3769.584127,7981,4879,21.6,26.35,1.420791545,,,,,,27.07260733,0.588332469,0.370058577,0.588332469,-0.217717477,7.96933953,0.691158251,10.11162094,1.181247053,14.72387695,0.338,0.577853343,0.53714323,0.404570803,,0.527777778,-0.357645349,-0.527777778,,,,-0.856997427,0.983809888,0.09158202,0.239016031,0.456462285,2.14228141,2.14228141,1.186528884,0.503276965,0.326505781
23,25,150,14.103,1775,27.981,86.9023,4507,754.8155423,588,3650,4582,8271,103.6192277,839.0646736,760.305235,1252.051247,16.57497052,15.6691927,20.63104729,37.26445936,10.07568777,222.462556,303,23.56,6484.964856,7981,4879,18.546,26.35,1.420791545,2.088,,3.043,0.39,,32.99166523,0.087329131,1.066935882,0.087329131,-0.093174584,-1.316530725,0.788734246,-3.311150755,1.006269192,16.88037109,0.65,0.083041295,0.090624611,1.539225727,,0.760433517,0.517719167,0.760433517,0.164078507,0.186781609,0.813218391,-0.749054284,0.983809888,0.322690326,0.910956922,0.230969124,1.99462003,1.99462003,1.677828803,0.374505003,0.824510739
24,29,25,-0.56,1397,27.96,86.81,4507,670.0752831,488,2314,4134,8336,112.8900797,344.5249213,624.6227272,1280.554354,39.01501465,28.38405927,23.14967973,23.74055804,10.83728713,170.3776379,303,23.56,5103.400631,7981,4879,1.73,0.83,0.479768786,0.577,,15.195,1.41,,30.86469729,1.075057854,-0.184190907,1.075057854,0.198015882,0.818983381,0.865812958,0.543783779,1.993463113,16.61791992,0.55,1.084560523,1.213809801,-0.009957233,,0.323699422,0.072340629,-0.323699422,8.783236994,2.443674177,-1.443674177,-0.547685921,0.983809888,0.996697488,0.214587578,0.427973298,0.275199602,0.275199602,1.620828517,0.127661297,0.170246246
